star,comment
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
4.0,"Thick flavors, heavy on the tounge; corn chowder, vanilla bark, spent matchsticks, and Altoid pepper mints. Like a triple-stamp on a double-stamp!"
4.0,null
3.5,null
4.25,null
4.0,null
4.5,"Rich sweet aroma, maple syrup
Deep wood flavor, absolutely fantastic, then a spice kick on the tail. Good length tail too. 
Medium rich body."
4.0,Great. Easy drinking. Smooth. Had it at company party
4.25,null
4.0,Pretty smooth with water. Probably a good sipper.
4.0,null
4.0,null
4.0,null
