star,comment
5.0,Love it. Subtler and more complex than Alberta  Premium.
2.0,null
3.0,null
2.0,null
4.0,"Nose: sweet, but alcohol smell is present. Taste: alcohol heat is overpowering in the begining then pretty spicy (peppery, rye), becomes nicer as heat disappers, sherry flavours. Finish: nothing to rave about, oak wood. (Jan 9th, 2015) lingering cocoa finish, liking it more now (Jan 13th, 2015)"
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,"Sharp at first, tastes of burnt wood. Neutralizes itself as you drink it."
3.0,null
4.0,A great whiskey. Full body and flavour without sacrificing on smoothness. One of my favorite Canadian whiskeys
3.0,null
3.0,null
4.0,null
1.0,null
4.0,"Primarily oak and caramelized brown sugar on the nose. Vanilla and caramel. Black liquorice is faintly present. Orange peel.

On the tongue a spicy rye tang is matched by vanilla- and honey-sweet oak. Slight touches of bourbony corn and sherry. Ginger and pepper heat."
5.0,Delicious and smooth with a slight caramel flavor. Perfect served neat!
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,"Fun whiskey. Definitely has a dark flavor, you need to be in the mood for sweet. Never had a whiskey remind me of beer but on the finish think of your favorite dark beer."
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
3.0,null
2.0,null
5.0,null
5.0,null
3.0,"surprising sweet, dark flavour but not as smooth."
3.0,null
4.0,null
4.0,"Particularly for the price (sub-$30 in Canada), Dark Horse is a pretty fabulous whisky. A lot of people take shots at Canadian whisky for the law that it can contain up to 1/11th additive, but the Dark Horse actually brilliantly uses that law to its advantage, mixing in a small amount of sherry and some bourbon (rumoured to be pulled from the stocks that would go into Old Grand Dad/Basil Hayden's). Flavours of oak, vanilla. Toffee, caramel, and a very bourbon-y kind of vanilla. Fairly big rye spice, some herbal character, charcoal, berries, brown sugar. Raisins, sourdough bread. Peppery rye spice on the taste; sweetness with a spicy twang. Licorice. Faint wood smoke. Supposedly Beam-Suntory is going to begin distributing this in the US under a slightly different name, and frankly that's a pretty smart business decision. It's tasty stuff."
4.0,null
4.0,"N: Dark berries, brandy and alcohol. P: Bitter chocolate, rye. F: Quick and smooth."
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,House whiskey. Full flavour. Warms up the cold Canadian winters.
3.0,null
5.0,null
3.0,null
2.0,null
4.0,null
4.0,null
3.0,null
4.0,"The deep maroon hue of this whiskey is instantly seductive. At first, the nose burns with ethyl and little else. After it's rested a bit it starts to smell like the lumber department of your local hardware store. Cherries on the nose as well. Woodiness immediately apparent on the palate, and I mean wood, not vanilla or tannins; straight wood. Fruity fire accompanies the woodiness, not dissimilar from cooked apples dredged in cinnamon.  There's an unshakeable richness here and a viscosity akin to maple syrup. It finishes with vanilla and some spicy fire, the embers of which take their time dying off. Overall: this whiskey cost me next to nothing (especially spending U. S. bucks in Canada) and was well worth the purchase."
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
2.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,"Surprisingly good for the price, great spicey sweet flavors."
4.0,A nice Whisky that is easy on the wallet.
4.0,null
4.0,null
4.0,"Something odd I've noticed about this one is sometimes it has a funky taste and sometimes it doesn't.  This obviously comes down to ones own palate.  Perhaps something eaten earlier or even bad breath that doesn't agree with it.  That being said this has got to be the only whisky I've encountered this issue with.  Otherwise it's very good and I like it a lot. It's more in line with the stronger rye's like norther harvest and lot 40 than the typical lower strength Canadian blends.  Its full flavored..Nose is Peppery, floral, oaky with sweet maple syrup and brown sugar in the background.  A terrific nose!   Palate is menthol, floral, earl grey tea (orange), and obviously overall rye.   Aside from the occasional off note I get this is an exceptional value.  Great Canadian whisky!"
5.0,null
3.0,"Funky. Leathery, dried fruits, savoury, fiery. 3.5"
5.0,null
5.0,null
3.0,null
3.0,null
3.0,"Alberta Distillers makes some of the best Rye in the world. This is not a good example of their work. The nose is excellent and did draw me it. The initial taste also came out strong with Rye pepper and some caramel sweetness. However, it starts to fall apart for me after that. The sweetness continues and edges on candied cherries. When we get to the finish a bitterness begins to pick up. As I drink this into the night, the bitterness just continues to grow. Eventually it overwhelmed me. There is some dry oak in there but in the end I can't recommend this. Too bad, because these people know their Rye."
3.0,null
3.0,null
5.0,null
1.0,null
3.0,null
3.0,"A good whisky, and at $35 CAD, who the hell can possibly complain? The rye is unmistakable, the oak complimentary, there's notes of wild blueberries, and a certain je me sais quoi sweetness (either the touch of bourbon or sherry can take credit). It's an overall balanced and medium-bodied whisky I can recommend - just make sure to add some water."
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,"Bold and rich flavours on the palate, but an unfortunate medicinal finish. I'd recommend the standard Alberta Premium over the Dark Horse."
5.0,null
3.0,null
3.0,null
3.0,null
4.0,null
5.0,"Bold nose. You can smell it from across the table. Sweet on the nose. Spicy and rich with a single malt bite to it. Really terrific. The premium version of Alberta Premium, though I prefer the regular AP. Can't go wrong with this though. Alberta makes delicious rye."
3.0,"Stephanie’s review says it well. The bourbon, and slight sherry, really shine through and cancel out the rye spice. Rich, slightly burnt caramel, leather, and a hint of sherry sweetness. Better than I expected. An actually good dark Canadian whisky, and at a bargain price. $32 in Ontario."
3.0,null
4.0,null
3.75,"A nose dominated by ethanol with some mild spice and fruit - almost fig and canned fruit like notes. Opens with the spice of rye, vanilla and caramel dominating. The spice, and leather notes linger in a moderate to long close with tobacco and malty notes slowly emerging."
4.0,null
4.25,null
4.0,"Nice sweetness, spice, oak notes.  The addition of the bourbon and sherry makes this Canuck a winner for me."
4.25,null
5.0,null
3.0,null
2.5,null
4.0,"Smooth, a lot like Pendleton. Good taste and sweet"
4.0,null
null,null
5.0,null
3.5,null
3.75,null
4.5,"★★★★½
Avent 2019 - 2/24.
Je vais changer un peu ce que j'ai dit la dernière fois, ce n'est pas l'un des meilleurs whiskys canadiens, c'est LE meilleur, rien de moins. Je ne me lasse pas de porter mes lèvres à ce délectable produit à prix modique et d'une puissance incontestée. Je vous conseille de courir en acheter une ou deux bouteilles lorsqu'il est disponible à la SAQ. Bonne dégustation!"
3.5,"Cherry oak, sugar. Sweet, rich."
3.75,null
4.0,Sweet candy notes coupled with vanilla and caramel.  Very rye forward with the sweetness of the bourbon and sherry to finish it off.
3.5,null
3.0,null
4.0,null
3.0,"Nose is bourbon-y with candy, toffee, wood shavings  Cinnamon is hot on the palate, butterscotch finish."
4.0,null
5.0,"spicy, vanilla"
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.75,"Smooth, grainy and a light peppery finish"
0.25,Very strong mildew taste.  Just terrible.  May be the first bottle I ever pour down the drain.
4.0,GREAT price point/value - have heard many describe as 'bourbony'... one of my favorite Canadian whiskeys
3.75,null
3.5,sweet and spicy
3.5,null
2.0,null
3.25,"A thoughtful gift from a good friend and neighbor who traveled to Port Hope, Ontario to visit friends. He had a bottle also and insisted we open his to taste. It seems to have a good reputation in Canada. I love the color of this whisky.  In the glass the legs are plentiful. For me, it noses very well of Maple, Vanilla, Cinnamon, Peach and Butter Toffee. Upon hitting the tongue it feels somewhat syrupy and chewy, with strong alcohol but not great heat. Holding it in the mouth, I get many of the flavors from the nosing but the overall impression is just sweetness, reminiscent of Maraschino. This kind of whisky is an obvious product creation. With so many influences acting upon it, including a small amount of liquid sherry, you might not associate this as a Rye whisky. My neighbor asked me how I would rate it after a sip or two. I thought awhile and being generous said I'd give it a 6.5-7 or so out of 10. This seems in-line with the ratings I found here and elsewhere later on. It's not that it's that great of a whisky but I think we all consider a great many factors in our scoring. This one goes down easy and has enough of that ""where'd you get this from"" quality to it to merit 3.5 stars. I'll share it over a bonfire with neighbors and friends."
