star,comment
3.0,null
4.0,"Great whisky for the price. Add an ice cube or soften with a splash of water and the maple syrup notes open up. Nice bright finish down the throat. I really, really like this for a sweeter Rye on it's own and it also makes a delicious Manhattan."
4.0,null
4.0,null
3.0,Smooth and sweet.  You certainly taste the sherry barrel.  A very nice sipper with a small cube of ice.
4.0,"Smooth, slightly sweet"
2.0,null
4.0,null
2.75,"Perfectly passable and moderately enjoyable rye whiskey.
The fruity sherry notes are unmistakable. You can tell that this is definitely sweeter than any whiskey would normally be without this kind of addition or significant barrel finishing.

Yes, it drinks hotter than its proof (90) but not any more than 100pf.  Undercurrents of chocolate, plum, and fig.  It almost tastes like there is a touch of chocolate rye malt in the mix.

Interesting and worth $20 a bottle. I wish it were higher proof"
3.75,null
4.0,null
4.0,null
4.0,null
4.5,null
4.25,null
4.0,null
4.0,null
4.25,Very nice deep flavor.  Great as a stand alone or in cocktails.
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
null,Great whiskey for the money!!!   I use it exclusively in my Manhattans.   I like the sherry taste!!!
3.0,"I get strong Sherry notes on the nose with some maple syrup. It's difficult to get past the Sherry but with time I get the maple syrup again on the palate with vanilla and baking spices, leading towards a moderate peppery finish with baking spices and dried fruits. Pretty strong value for the price at $32 a bottle."
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,A smooth rye with hints of maple syrup and spice
4.0,null
4.0,null
4.0,null
4.0,"I don't much like finished bourbons.  It can be nice in a lot of scotches.   But I was surprised how much I enjoyed this sherry finish in this Rye.

This is good sipping stuff."
3.5,"Dominant sherry profile.  I give high marks as a very smooth, very unique offering.  This has more in common with a sherried Scotch than most rye whiskeys, but the blend offers a very clearly complex experience, except one that ends up rich, zesty, smooth, and sweet, all in a complimentary and enjoyable balance.  Often ""complex"" whiskies just feel muddled, clashing, or without purpose beyond taking a ""man's"" palate to appreciate.  perhaps benefitting from the freedom of blending, this feels purposeful and well-crafted.  It is quite different, but do yourself a favor and see if it's to your liking."
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,null
null,SN rec
3.0,null
3.0,null
3.0,null
5.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
2.0,null
3.0,null
4.0,null
2.0,"Nose is oddly reminiscent of vodka once you get past the sherry. On the palate, syrupy sherry takes over, pushing the rye and bourbon along with any hint of complexity to the back of the bus."
4.0,null
3.0,null
4.0,null
5.0,null
1.0,This might possibly be the worst rye ever made. The nose is so terribly astringent that your pretty sure you must be ready to drink nail polish. It does not taste as bad as it smells but still that is hard to get past. I have a lot of whisky and this was recommended by a local store employee. I now realize I will never ever take his advice on anything again.
3.0,null
3.0,null
4.0,Drinking some right now.  Smooth but a little sweet due to the Sherry finish.  Good palete- oal and vanilla with a little dry fruit.  Coukld use a little more spice.
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
3.0,null
5.0,Yes! Yes! Yes!
5.0,null
3.0,First visit 05/02/17......WJ.....(86)....
1.0,null
4.0,null
3.0,null
5.0,"Dark and syrupy with crazy rum like legs
Nose - smells like a Manhattan
Taste, so Manhattany you'll be trying to pick a cherry out of it.
Finish is smooth and sweet
I recommend to serve this chilled"
3.0,"The makeup of the bottle alone makes it worth sampling - a blend of two different ryes make up 91% of the content, with some bourbon and actual added sherry. Not just sherry finishing in a cask - actual sherry. It's also bottled at 45% abv, which might help explain why this seems notably more rich and full than the average Canadian bottling. And, it IS rich and lush, with appropriately dark notes given the name of dried fruit and nutty grains. I'm reminded of whole grain flapjacks topped with a pat of butter and dried dark fruit simmered in maple syrup. Or maybe I'm just jonesing for some breakfast food - we report, you decide. Regardless, the sherry influence alongside the spicy-smooth, nutty rye base, with that hint of maple, is pleasant...until the rather bitter finish, which takes the edge off of an otherwise enjoyable whisky."
4.0,"Very well balance, not harsh"
4.0,"Amber to maple syrup in color. Spicy leather, woody, concord grapes, and  molasses on the nose.. Spicy, earthy, leather with a bourbon whiskey and sweet sherry wash on the finish. Has some heat but it adds to the feel of this nice Rye whiskey."
2.0,null
4.0,null
3.0,Not great.
4.0,null
3.0,null
3.0,null
4.0,null
3.0,Needs an ice cube otherwise it is cloyingly sweet.  Not sure that I would buy it again but not lamenting the purchase either.
4.0,null
3.0,null
4.0,null
1.0,"To the point:  This stuff tastes like someone mixed a cheap bottom-shelf plastic jug whisky with grape kool-aide mix.  I can't find anything good to say about it.  I don't know what I'm going to do with it.  I'd dump it down the drain, but I don't think my septic tank deserves the pain."
3.0,null
4.0,null
4.0,null
