star,comment
4.0,Pretty good. Smooth
2.0,null
1.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,Mycket lättdrucken.
5.0,null
4.0,null
4.0,null
4.0,Good entry level scotch
5.0,null
3.0,null
4.0,null
5.0,null
4.0,null
3.0,"Nose: Best part of An Cnoc 12yo, fresh with floral and citrus notes. Hints of sweet honey nicely on the back.

Taste: Sweet and very subtle. Spicy herbs and hints of chocolate. Hard to notice anything else on the palate.

Finish: Length is good but otherwise a dull finish. Oak with barley with a drying ending.

Balance: Medium bodied and light whisky. For my taste, definitely too flat. Decent single malt."
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
2.0,null
3.0,null
3.0,"Honing en limoen in de neus, licht prikkelend kruidig citrussmaakje met terug een vleugje zoet."
4.0,null
3.0,Doesn't really stand out among the crowd of Highland Malts.  Fairly average at best.
5.0,null
3.0,Whisky on the Hudson 9/18/2014 :  Light lemon and honey nose and that carries over onto the palate.  Medium light body that finishes oaky with drying tannins. This is a good everyday dram. Not dynamic or flashy.
4.0,"One of the most interesting bottles under $50 I've ever had. It isn't near my favorite flavor profile, but  I find a new note every time I pour a glass. When my 86 (probably 2012) proof bottle goes empty, I'll get this 80 proof to see if it is nearly as interesting."
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
5.0,null
3.0,null
null,"Nose - a little lcohol-y. 
Tasty - a little hot, earthy. 
With water - Slight vanilla"
2.0,null
4.0,null
4.0,null
3.0,null
3.0,null
3.0,null
3.0,Sweet sour like crabapples
5.0,null
5.0,Such a great flavor for a 12. Very happy with this one. I can see it becoming a favorite.
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
1.0,Too much bite for me
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,Something interesting and unique in the under-$50 range.
4.0,A scotch for bourbon drinkers. Take your time with this one. Very nice.
4.0,null
4.0,null
3.0,null
4.0,"Sweet, smokey, fruity (citrus, pineapple, berries), cinnamon, nutty."
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,"Very sweet on the nose.  Lemon and orange zest; whipped cream and vanilla extract.  Sweet and subtly spicy at the beginning, then barley and a little oil arrive.  Spice picks up a lot at the end with a lingering finish.  Even a little water dampens both the nose and taste too much.  90/100."
4.0,null
4.0,null
4.0,null
1.0,ca sent la poche de hockey
3.0,null
4.0,null
4.0,null
4.0,null
3.0,Big sweet citrus taste. Found it a touch to sweet for my personal preference.
4.0,null
3.0,null
3.0,Smooth but a little flat as compared to other single malts from the same region.
3.0,null
3.0,null
5.0,null
3.0,I've had better. But I've certainly had worse at this price point. A little more acidic than what I personally enjoy. No specific notes stand out to me. Not overly fruity or smoky or sweet. Pretty well balanced outside of the acidity.
3.0,null
4.0,null
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,Super super sweet but really good flavor
4.0,null
4.0,null
4.0,null
4.0,null
1.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,"Nose: Nice and light, sweet, fruity and flowery.
Taste: Smooth and flowery with light malty sweetness.
Finish: Quickly over, but the sweets linger.
Verdict: To light for me, but pleasent nonetheless."
4.0,null
4.0,null
2.0,null
3.0,null
4.0,null
3.0,"light, lemony, citrus, mild, hard to dislike but nothing wild about it"
4.0,"Part of the flight at Royal Mcgregor.
Based on the flavor profile I am surprised how much I like it. Many layers. Haven't really tastes anything that unfolds like this through a sip."
4.0,Layered nose. Very distinct waves of flavors.  When you think it's done it comes back for the finish.
3.0,null
5.0,null
4.0,"Light, floral with a smooth finish."
4.0,null
null,Muy rico un aroma suave
