star,comment
3.0,null
4.0,null
3.0,null
5.0,null
5.0,null
5.0,null
3.0,null
4.0,"Oaky, Rich, and peaty. Nose of leather jacket and acetone. Not my favourite Ardbeg, but a tasty dram nonetheless."
4.0,null
4.0,null
null,"Here’s the deal (correct me if I’m wrong) I have Corry, and Oogie- they are both fantastic and different enough to stand on their own. However, I recently cracked open a few bottles of grooves and kelpie and I feel like I’m basically tasting some sort of reconnoitering of their same NAS whiskey with new names and marketing- I think my bitch is that because of the lack of age statements I’m only deciphering char and vatting for most new ardbegs- not aging... it feels kinda like I’m eating at lunch Buffett where they serve the same 5 things daily - but just mix it together In different amounts and put a differ label on it.. somebody please tell me otherwise."
3.0,null
3.0,null
5.0,null
5.0,"To borrow a phrase from Tommy Boy, ‘That. Was...Awesome!’

I’m sure there are many who can describe this whisky infinity better than I, so I’ll defer to those people.

I thoroughly enjoyed the peat and leather vibe to this edition."
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,Smokey finish
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,Extremely smooth and acceptable smokey flavour
5.0,fantabulous
4.0,null
3.0,null
4.0,Easy drinking
5.0,null
2.0,null
4.0,null
4.0,"More subdued than the committee release, naturally, but delicious nonetheless.  The lower ABV version of the annual special often disappoints - not so this year."
5.0,"oily, salty, dried fruit, smoke"
4.0,null
4.0,null
4.0,Extremely smooth. Not heavy peat but it’s in there. And a ton of barrel. Many other things going on with different food pairings
5.0,Up front was thick and sweet. Reminding of a sweet rum. Smooth all the way through. Finished with pretty standard Ardbeg peat. Perhaps a little light on peat. Overall very pleasing.
null,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,"Thanks to @Dreaming-of-Islay for the pour!  I can’t give Ardbeg anything less than 4 stars.  Just can’t.  In fact, they can mature whisky in barrels that previously held snail snot, and I’m sure we all would be raving about it here.  So...I remember having the Committee version of this some time back...this one here is the same, just pulls its punches a wee bit.  But, hell...it’s Ardbeg.  Even if it pulls its punches, you’re still gonna feel it as if Mike Tyson just gave you an uppercut.  Peat and orchard fruits galore here.  Green apples, bonfire, clotted cream.  It’s Ardbeg...it’s good.  Thanks @Dreaming-of-Islay for the sample!"
3.0,"Not as good as the kelpie, but good. Has more sweetness than the kelpie? Tiny bit"
4.5,null
4.5,null
5.0,null
4.75,null
4.0,null
4.0,Nice and peaty and smoky. Smokier than Talisker
4.0,All smoke
4.0,null
5.0,null
4.5,null
4.5,null
3.5,null
4.5,null
2.75,"not one of my favorite ardbegs.  the finish, I can't quite place what it is, maybe the supposed popcorn or vanilla."
4.5,null
4.25,"info: il s'agit de la bouteille de célébration du Ardbeg day 2018. Celle-ci se veut être une expression plus extravagante que ce que la gamme Ardbeg nous offres habituellement. En effet, ce scotch de Islay est vieilli en fût de vin rouge dit bousiné soit des fûts si intensément brulés que le bois à la surface des douelles est strié de grosses rainures, des « grooves » en anglais.

Au nez: Gros caramel épais, mélasse sucré et fumé de viande beef jerky salé de style Ardbeg. Des notes d'herbes ou d'algues. Des notes florales ou de lavande. Très complexe au nez.

En bouche: Cerise et smoke meat. Fumé de feu de camp et algue verte. Marin et sucré. Le caramel est la mais on passe vite à autre chose. Rond, belle texture épaisse et huileuse. Bel équilibre sur son 46% selon moi juste parfait en intensité aromatique; je m'en voudrais de diluer un si parfait équilibre avec une goutte d'eau.

Final: Longue et belle. Sur la viande fumé et le sucre. Vraiment, l'image du smoke meat avec une sauce bbq sucré à la cerise me reste en tête et est probablement ce qui résume le mieux ce scotch. 

Overall: ooooh que j'aime ça! différent mais habile. J'aime Ardbeg de façon général mais je reste la tête froide lorsque j'évalue. 180$ CAD en SAQ pour cette bouteille, c'est dire que l'on paie pour l'exclusivité de ce produit plus que ce qu'il vaut vraiment en qualité. Pas que je trouve le produit est de mauvaise qualité, loin de là. Mais, j'ai du mal a dire qu'il trône dans cette catégorie de prix... surtout que je viens d'acheter un Cairdeas Fino pour 105$ et que je le compare à un Corryvreckan que j'ai payé près de 115$. Bref, il y a de la compétition! En dehors, de son rapport/qualité prix plus ou moins bon, ce scotch est une merveille aromatique tout simplement! Énorme complexité que l'on reconnait comme une constance de la distillerie. 92% moins 5 point pour le prix = 87%"
2.0,Tastes a little like burnt permanent markers.
4.0,null
5.0,null
null,"On the nose there is baked cinnamon apples ,caramel, hard candy with faint iodine and bandaid scents. On the palate this is oily, baked fruit, peaty, and smoked poultry. It finishes with a briny campfire, iodine, and a sharp warmth."
4.0,"Ardbeg day is upon us. Kids dropped off at swimming and I'm here at my local retailer celebrating. Now I've already tasted the committee which was a great dram. This...this is good but not the same level of deep rich char, tastes like what it is a watered down version. The char still seems to over power anything else going on...which is weird as I thought the reduced abv would help. Elements of the lemony flavour largely absent in the committee come through.  Definitely not in my top Ardbegs. Kelpie, Dark Cove, Cory and Uggie I'd have put ahead of this once price is factored in from memory. Although interestingly I also drank the Kelpie and Uggie with this one after I typed that up and although the Uggie kept its place the Kelpie wasn't as good as I remembered but it was the third dram. Solid 4 I'll give it down from the 4.25 for the committe which amazingly is the same price so I might get a bottle of that as if I don't drink I def won't lose $$."
5.0,null
