star,comment
5.0,null
1.0,null
4.0,null
3.0,null
5.0,null
5.0,null
5.0,null
4.0,null
null,null
3.0,"dominating taste of chocolate but not developing, wood, non smokey and strong"
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
4.5,"Palate: Rich, Velvet, Smooth, Vanilla, Flavorful"
4.25,null
4.0,null
3.0,null
4.0,null
4.25,null
null,null
4.0,Great nose of cut grass and honey. Taste goes to vanilla char and sweet prunes with honey.
4.0,"nose: musty tangerines, roses/honeysuckle, perfume and a clay-like minerality.

taste: immediately opens with alcohol burn (I find that typical of Arran). However, it does have that wonderful Arran cask taste. quickly evolves into muted citrus, oak and that earthy minerality.

finish: fairly short without and new developments.

batch 3, 53.2abv, 13,800 btls, bottled 09/2017"
3.0,null
4.0,"First thing on the nose is a sweet fruityness with the main ingredient strawberries and vanilla. Some citrus and almonds.
The relative young age is apparent in the taste. there is a burn here. i get dried fruits on the palate, with lemon peel. after that there is a caramel taste dominating. The white oak is quite dominant, together with spices. I get a bit if cinnamon, peppercorn, and a hint of licorice. Overal full and sweet.
the finish is long with chocolate dominating."
4.25,null
3.5,null
3.25,null
3.0,"향 : 신선, 가벼움, 배향,꿀
맛 : 배향, 버번의 오크향, 플로랄x2, 약한 바닐라
피니쉬 : 스파이시, 얼얼, 짧음"
4.0,null
4.0,"Big intense Scotch at 56% ABV! On the nose dried fruit, chocolate, vanilla. Good depth of character. On the palate warm and some spice. Smooth creamy finish. Drank at 1824 Discovery Primea"
3.5,null
4.0,null
3.5,"info: Un Arran NAS, maturé en ex fut de bourbon et fini en quarter cask de chênes américain pendant 18 mois. Le quarter cask est, comme le nom l'indique, un petit tonnelet contenant environ le quart d'un fut normal. Il est utilisé souvent avec des plus jeunes whisky afin d' ""accélérer"" son processus de maturation. La surface par volume étant plus élevé, le liquide prendra moins de temps à être aromatisé par le fût. Il s'agit d'un cask strength donc au taux naturel de 55,7% sans dilution. Sans filtration à froid, sans colorant ajouté. 12 000 bouteilles par batch

nez: Agrumes et noix. Crèmeux. Je n'ai pas gouté beaucoup de Arran encore mais celui là me rappelle le champ aromatique du 10 ans. Alcool forte évidemment vue son jeune âge et son taux d'alcool. Fruits secs. Me rappel un peu le nez du Glenfarclas 17 mais avec des agrumes plus prononcé. 

Bouche: ça brule. Dominance d'agrumes. Ensuite vanille et noix. Ok, ça fini bien: la brulure est passé. Aromatiquement intense. Il faut aimer les cask strenght (CS), sans quoi ce n'est probablement pas celui qui vous fera aimé davantage les CS. Belle texture huileuse! C'est harsh même après plusieurs plongés. Je pense que je vais ajouter de l'eau. C'est mieux. La plupart des Arrans que j'ai gouté avait ce fort éthanol. Probablement que leur liquide supporte moins bien les haut taux.

Finale: Sur le chênes et la vanille... les agrumes. moyenne. 

Overall: Pour le prix ici, environ 95$ CAD en SAQ, je trouve qu'il est un peu cher. À 70-80$ je dirais rien mais là il y a trop d'autres bouteille qui passe avant à ce prix. La texture est très belle et les arômes bien présente. Je n'aime pas ajouté de l'eau dans mon scotch mais, je pense que c'est le genre de scotch qui en nécessite afin d'en dévoilé sa complexité. Bref, j'apprécie mon verre, c'est bien balancé et c'est un produit d'une bonne qualité mais, j'achèterai seulement si je peux le trouver moins cher par princinpe que ça reste un jeune liquide et que pour ce prix je peux avoir, par exemple, un Redbreast CS, un Lot 40 CS 11 ans, un Laphroaig Cairdeas, etc. 72%"
