star,comment
3.0,"Very fruity. Solid all-around, but nothing exceptional. Maybe just a little too sweet. I'd give it 3.5 stars."
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.5,null
5.0,Bovey castle
4.0,null
3.0,null
4.0,null
3.0,"Age: NAS
Alcohol: 43%
Paid: $65

Auchentoshan is a fresh and light spirit.  Unfortunately by using extra “maturation” in really shit Oloroso and PX sherry casks, you get an unbalanced and, at times, unpleasant Three Wood.

There are some good flavors in here.  Some cherries, and dark chocolate sundae fudge with chestnuts and hazelnuts.  But I can’t ignore the plastic and the Sulphur.  It’s just bad sherry casks, bad cask storage, not enough maturation, or all three.  It’s shameful to charge premium NAS prices for this.  It’s not a terrible whisky; it’s worth maybe $30-40, but it’s priced at twice that, and I don’t see where the money went.  The wood is garbage.  It was shit that was going to be tossed anyways.  It’s obvious.  Reminds me somewhat of Laphroaig Three Wood, except that was salvaged by an intriguing play with the medicinal Laphroaig peat.  This is a sad whisky by a sad distillery.

MARK: 75/100.
Not recommended."
5.0,"This is my favorite Scotch so far.  It is an enchanted forest in a glass.  The nose has black cherries and plums with raw sugar and a hint of chocolate (reminiscent of Black Forest cake).  The palate proceeds with the notes from the nose but also earthy wood and tree nuts.  The finish is an old forgotten library with dusty, leather bound books and old oak shelves while the cherries linger.  It all stays with you and slowly fades like a pleasant dreams coming to an end.  Magic."
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,Fruity PX on the nose. Sweet with some peppery heated spice that trails into fruity sweet. Red fruits stone fruits.
5.0,null
3.0,null
4.0,null
5.0,null
3.0,"sweet vanilla notes on the nose. sweet throughout, almost cloying. good, but not as good as most speysides"
4.0,null
2.0,Smells honestly like beef ramen noodles to me. Just so off putting
5.0,"Very distinct oaks. Hints of vanilla, honey and lights florals floating above distinct woody flavours. Can clearly distinguish 2 oaks - third takes a few more sips. Great body to the whisky. Light peat. Fabulous whisky"
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,Consistently lovely dram. Well balance flavours
3.0,"Oily, sweet, caramel, soury, krenten, gedroogde abrikoos, rokerig"
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,"Quite tasty. A little sweet, but a great flavor on the palate.  Had it at dinner; will be adding a bottle to the cabinet."
null,null
4.0,null
4.0,"Sucré, nez intéressant d'alcool sherry, bcp de rondeur, longue finale"
3.0,null
3.5,null
4.5,null
3.5,null
3.5,null
5.0,Beautiful buquet of fruits. Sweet and mellow. Meanwhile my favorite.
4.0,null
4.0,Nice finish.  Chocolate toffee and citrus
4.0,null
4.0,null
4.0,null
4.0,null
4.5,Sweet. Rich. Smooth. Cinnamon.
4.0,null
5.0,null
3.0,When she introduces u as her dad to the guys she’s flirting with.
3.0,null
5.0,null
null,null
5.0,"Soft nose, perfumy palate, woody"
4.0,"Auchentoshan Three Wood. My first Lowland I believe. (actually no, I think I tried the Blood Oak....) Still have that 21 year old Auchentoshan bottling from Clydesdale I got for my birthday....I have to say, after this I'm even more exited for that. 

The nose is a very interesting combination of sherry bomb highland with spices and less sweetness. Fruity, malty notes are dominant, along with some dried plums and a dash of pepper. To be honest, if this had a bit of peat, I think we would have a top shelf candidate on our hands. 

The taste is surprising. It offers even less raw sweetness than the nose promises, and that's not nessecarily a bad thing. There is the typical vanilla and malt, together with some honey sweetness. That has a tiny bit of bitterness in it, just to balance everything. I also get reminded of blueberries, plums are blueberries are always a winning combination. The taste is almost a bit chewy, like the dried plums. There is also a really strong coffee note that I have no idea where it comes from, but it gives this malt just the right spice to not degrade into a full on dessert drink. 

Plums and coffee are what clings onto your tongue the longest. Very interesting dram, and not that expensive to boot. Auchentoshan is doing things right in my opinion."
4.0,"Nose: vanilla, caramel, butterscotch
Taste: Blackberries, brown sugar finish
Oily on the palate and one of my top noses by far"
4.0,"Caramel on the nose
Chocolate, dried fruit( fig?)
almost sherry"
5.0,null
3.0,"seaweed, old wooden saloon"
3.0,Plum & figgy nose. Rich taste with intense woody vanilla & dark fruits.
4.0,null
4.0,null
4.25,null
4.0,null
4.0,"brown sugar, raisins, and vanilla nose like cookie dough being mixed
brown sugar with a tobacco finish"
4.0,"Super sweet, but better with a smidge of water. Would be a wonderful after dinner drink."
4.0,null
3.25,null
2.75,buttery at the start but finishes with a bite.  bite on the finish after a Woody palate is not how it should be
3.5,null
3.0,3.5
3.0,"Too sweet for my taste.
Definitely fruity, maybe a little licorice. 
Better with ice than drops of water. Better with more ice than less ice."
4.0,null
4.0,null
4.0,null
5.0,"Delicious stuff. Smooth with flavors of chocolate, caramel, raisins, and toffee"
4.0,null
5.0,null
3.0,null
4.0,null
5.0,Auchentoshan Three Wood
5.0,null
4.0,null
5.0,null
4.25,null
3.75,null
4.0,From the bottle I got Marty
3.5,null
3.5,null
4.25,null
null,"Color is leaning towards a dark amber and deep copper hue. The nose is so well integrated and balanced. You’re first hit with huge amounts of sweet pipe tobacco as if you were opening up a fresh bag. Once that blows off, it morphs and unveils blackberry, blood orange, brown sugar, dark cocoa, toasted walnut, and a refreshing minerality buried underneath. The palate stays cohesive throughout all stages. The initial palate hits with tobacco and then rather quickly swells into citrus, sweet berries and honey. The finish leaves you with sweet walnut notes into tomorrow. Sláinte to the Lowlands of Scotland!"
4.0,Very sweet all the way.
3.75,null
3.25,null
3.75,null
4.0,I currently own the glenmorangie Duthac aged in pedro ximenez which is delicious but this adds a dimension of Smokey and wooden taste! Lots of depth for the price and smooth with a little burn aftertaste and nice and oily
3.75,null
3.5,null
3.75,null
4.25,null
3.5,null
4.5,null
5.0,"Very complex, best one, smooths with 1 ice cube"
4.0,null
4.0,null
2.75,null
5.0,"Favorite dram of all time. This has sweetness, hints of smoke, and is smooth as Paula Deen’s arteries after fried butter balls."
3.5,null
3.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.75,null
3.5,"NOSE: Cherry jam & fresh plums.

TASTE: Toffee first. Raisin finish lingers.

OVERALL: Balanced. Smooth. Good."
4.5,null
3.75,null
4.25,null
3.5,null
null,null
4.25,null
4.25,null
4.0,null
4.0,null
4.0,"Dark color, certainly thanks to the PX sherry.  Very strong, sticky sweet sherry nose and palate.  Hazelnuts.  Raisin.  A sweet, dark, bold supercharged sherry malt.  Buttery with some hints of orange rind."
4.25,Very approachable. Deep caramel and sweet notes
4.25,null
2.5,"Luke's Whiskeyfest 2018
Oily,  smooth
Tasted medicinal"
3.5,null
3.75,null
3.25,null
4.25,null
4.0,null
3.25,null
5.0,....fucking fantastic.
4.25,null
4.75,null
4.0,null
4.0,very caramel apple and baking spices in the nose. taste is some toffee then baked apples with a very fruit finish.  all that Sherry cask shows on the finish
4.0,null
