star,comment
2.0,"Fresh cut grass, beeswax and lumberwood on the nose. Lemon zest, ginger, and peppery oak spice on the palate. Considerably sour and bitter finish of medium length. Unfortunately, I found this whisky to be unbalanced and unpleasant to drink."
3.0,null
2.0,"Definitely the weaker of the three Flora and Fauna whiskies I've sampled, this whisky is marred by an overwhelming and unpleasant aroma of spices. There are also touches of oak, citrus and floral notes, but none of them can salvage this one."
4.0,"Liqurice smell, rich of spices, rather smooth, seaweed"
3.0,Little bit of vanilla. Not very fond of this one. Oak cask and a bit dry
5.0,null
3.0,null
5.0,"I recently discovered this gem during a whisky weekend getaway. It made me buy a bottle.
A beautiful, fresh, zesty number, with enough about it to give that warm satisfaction a decent whisky should, and a decent smooth finish."
4.0,null
4.0,null
4.0,"In my journey through Scotland's distilleries I've come to be quite fond of the Flora and Fauna bottlings. Nothing fancy or mind blowing but good solid work horses that at the end of a long hard day you crack open and enjoy. Not all are perfect but this one is another decent example. Nice biscuity, malted barley and honeyed viscosity. Bit of bitterness on the after taste mars it. 3.5 rounding up to 4 on VFM."
4.0,"Softly. young, fresh. Medium sweet.
若いフレッシュモルトの香りと仄かに柔らかい甘さ。新緑よりは少し湿り気を帯びた香り。"
3.0,null
4.0,"Friday night. Finished work late and pulled this sample of the 11 year old from Exclusive Malts (not the 10 year as my SDT cohorts previously mentioned.)

The core of the nose is sherry, saw dust and petrichor (thanks for that word @Davie-Warner). Sliced apples, cherries, cinnamon, light vanilla, cereal.

For me, water was needed to draw other flavors (or tone down the high abv). Sweet and spicy in the mouth. Vanilla, toffee, chocolate. Grilled plumbs. A bit of salt and earth comes out in the back end of the palate towards the finish.  Undiluted, the concentration is sweeter (maple syrup) and baking spice intense. I actually found it really richer and more alive without water. 

Finishes fruity with of plumbs, black cherry, ginger and a pinch of cinnamon. Long lasting and deep in the stone fruits. 

This is somewhat unique in profile. Salt, earthy and sweet all mixed in one. The high abv is refreshing welcome.  Quite the enjoyable dram. Quite a ride. Thanks @LeeEvolved. [90/100][Tasted: 2/23/18]"
1.0,"gelblich. bissig sprittig im Geruch, leichte fruchtsüße. säuerlich bitter, aber vanillig. säuerlich in Abgang"
5.0,"DISCLAIMER:  This review is for the 11yo Exclusive Malts bottle from Auchroisk and not the one listed.  

Well, the holidays are finally past us and my credit card is still gently weeping.  I’ve been very busy pulling down 50-65 hour work weeks to pay for this massive whisky bill I created for myself.  So I suppose it’s time to get back to enjoying the so-called fruits of my labor:  Scotch-freaking-whisky.

This review is for an independent bottling from the Speyside distillery Auchroisk.  Which is oddly enough pronounced Awwth-Rusk.  This is a bottle I supplied for my group of friends as we attempt to lay claim to having tried a whisky sample from every Scottish distillery that is currently active.  We are now a year into this experiment and have reached the point where the distillery list is growing smaller while the bottles are becoming more rare, more elusive and more expensive.

The Exclusive Malts released this 11 year old at cask strength (56.4%).  It’s also natural in color (new penny copper) and with no chill filtering.  It was distilled in September 2003 and bottled in January 2015.  There were only 269 total bottles available.

The nose is heavily sherry and oak influenced.  The ABV is present here as well, but you can really get down into it and pick up lots of berries, cinnamon and even a beautiful vanilla sweetness.  To be so strong it also displays a lovely balance.

The palate is so damn savory!  Cherries, apples and cinnamon.  A monster cherry/apple pie hybrid where you can even pick up notes like the baked crust.  The vanilla holds off any harshness I expected from the cask strength and young spirit, along with keeping too much oak spice from creeping in.  The overall mouthfeel is also fantastic.  It goes from oily and coating, to mouthwatering to dry.  It’s a great progression that continually amazes you.  Very well done.

The finish is hot enough to reward the hardcore whisky drinkers and American bourbon lovers, alike.  There’s no doubt what you’re drinking.  The finish goes on and on and actually teases you along and has you wanting to take another big sip.  And I do mean big sip, I found myself topping off the Glencairn and treating it like a shooter- before restraining myself to keep the liquid topside and enjoy the entire dram.

This is eerily reminiscent of the better batches of Aberlour A’Bunadh that I love.  They are big, hearty sherry bombs that will sneak up on you and leave you hurting the next day.  But, damn, are they good while they last.  This bottle set me back just under $100, but I think there’s a ton of value here where the A’Bunadh leaves you guessing.  There’s a freaking age statement!  If you guys see bottles of this lingering or collecting dust at your local store or bar- give it a go.  It’s fantastic stuff.  4.5 stars.  Cheers, guys."
null,"Crap this is good.  This review is for the Auchroisk 11 yr old by Exclusive Mlats. I'm not rating it here, so not to throw off the average for this Flora & Fauna listing, but I'd give it a solid 4 stars.  Thanks to Lee, as part of the round 4 sampling team, I got to try this distillery that I didn't even know existed prior till today.  Scottish butter cookies on the nose, with a healthy topping of lemon cream.  I can nose this all day.  Palette changes to earthy mineral with a vanillla backbone.  Really full oily mouth.  Great balance and deep complexity.  Thank you Lee!"
4.0,"DISCLAIMER: This review is for the 11 year old from Exclusive Malts, not the 10 year Flora and Fauna. 

Interesting nose..Slight sweetness with sawdust (pleasant), and light spices like nutmeg, along with vanilla, caramel, and toffee. The palate brings brown sugar, butter, a little nice bite of alcohol. A few drops of water brings out a  fresh cut grass, and vegetative notes. This reminds me of the great plains prairies, so the theme of this dram is ""Song for America"" by Kansas.  A nice long finish indeed! 4.25. Awesome job at finding this one Lee. Thanks!"
