star,comment
5.0,null
3.75,null
3.75,null
3.5,null
3.75,"Corn on the Cobb extra butter, that new house smell (fresh paint)."
4.5,null
3.75,null
1.75,"Corn forward, light profile.  Not a lot of flavor from this one."
3.0,"Batch No. B817-1; Date 03-07-17 (no idea what the date refers to)

We don't often get Balcones products in NC, and when we do, this and Rumble are the cheapest offerings on the shelves. I picked this up last summer and have avoided it, it's just not my jam. For a product with a 6-month age statement the color and oak influence are insane. If you were unsure what happens in Texas heat, this is a prime example of what it can do.

The nose is a cinnamon bun without vanilla frosting. It is sweet and bready, similar to Brown-Forman products, especially their double oaked offerings. It is sickly sweet on the tongue. Too sweet for my palate, and I have a gigantic sweet tooth. Most BF whiskeys I've had have balanced sugar, oak, and alcohol flavors. That sugar overpowers other nuanced flavors you may get if this was aged in a different climate or had a different mashbill. It tastes very malty to me with the classic malt funk replaced by oak and cinnamon bread.  

My opinion has not changed since I first bought the bottle. It is too damn sweet. It's kind of like George Dickel going off the rails and adding artificial sweetener to its GD12 or BiB. Actually for me the closest comparison is Rua American Single Malt. Yes I know this is corn and that is malted barley, but I think the similarities in flavor come from aging. Balcones has that Texas heat, Rua has NC heat combined with aging in small barrels. I think the flavor in both is primarily influenced by the oak barrels and not the new make itself. Because the Rua wasn't as sweet and had more complex flavors, I enjoyed it much more. If you are interested in corn whiskey I suggest trying something cheaper first."
4.0,null
2.0,null
5.0,null
3.0,null
3.0,null
4.0,null
3.0,null
2.0,null
2.0,null
1.0,"Full strength True Blue is quite good, but this watered down bastardization is neither pleasant, nor balanced. Use your money for something more worthwhile."
4.0,null
4.0,null
1.0,null
3.0,"Tasty - not sure I'm a big corn whiskey guy, but definitely tasty."
5.0,Baby blue only cements my love of Balcones spirits and corn whiskey. The only thing I don't like about it: how fast it disappears!
3.0,null
2.0,null
4.0,null
4.0,null
3.0,null
3.0,Buttery sweet. Kind of odd but in a good way.
4.0,null
4.0,null
5.0,"First time trying corn whiskey, at Nihon in San Francisco. 

 not overly sweet, very pleasant aroma, and an almost peppery bite at the end without having a bitter alcohol chemical flavor like many whiskeys."
4.0,null
4.0,null
5.0,null
5.0,null
1.0,null
4.0,null
3.0,null
4.0,null
1.0,null
5.0,"Great whiskey, toasted corn on the nose with a distinct sweetness. Spicy on the palate with a long smooth finish."
3.0,null
4.0,null
3.0,Rich. Warming. Pure.
3.0,"All bananas foster and whipped cream on the nose, as you pull the glass away there is a hint of oatmeal with brown sugar. Sweet caramel taste, light burn, and banas at the finish."
1.0,null
4.0,null
2.0,null
3.0,null
5.0,null
3.0,null
2.0,null
3.0,null
2.0,Strong nose of banana. Fairly smooth and sweet but just not enough flavor for me.
3.0,null
3.0,null
4.0,null
3.0,null
4.0,A good little corn whiskey. A little bit of funk on the end that makes it unique.
4.0,null
1.0,null
5.0,null
4.0,null
3.0,null
4.0,null
1.0,null
2.0,null
2.0,null
4.0,"This was a gift from a friend, I waited to open it... Very unique whisky, floral, one of those that leaves you guessing. Complex whisky I must say, definitely on my top 10 list.  Can't wait to try the brimstone he brought me also."
4.0,A hint of vanilla
3.0,null
3.0,null
5.0,null
3.0,Hints of caramel and very strong corn taste.
2.0,Not a fan -- the nose is more like tequila than whiskey
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
3.0,"I tried this at a bar, first straight, then with a cube. Can't say it's a bad whiskey; far from it. But I couldn't get past the plumes of campfire smoke on the back end to the more floral notes I could tell were underneath. Maybe I'll try it again another time, but I'm guessing that's just me being polite to an inanimate bottle of whiskey."
3.0,null
4.0,Caramel initially. Absolutely no burn. Slight corn scent but not as much as I had anticipated. Color me impressed.
4.0,null
3.0,null
3.0,null
3.0,"Sweet nose. Light body, good flavor."
3.0,null
4.0,null
3.0,"Bag of tortilla chips on the nose, strong floral on the palate (tequila taste), green bananas on the finish; wait 30 seconds. Similar boat for me as Corsair Quinoa."
4.0,null
2.0,null
2.25,null
3.0,null
4.0,null
4.0,sweet cream!
2.0,null
3.0,null
2.0,null
3.0,null
4.0,null
2.0,"I don't think this whiskey is bad, but I don't like it. The nose is sweet, and buttery, full of corn, and something like tequila. Then I get this funky hit around the back, something oniony and sour. And it's there on the palate as well. It reminds me of sour cream and onion chips, just nowhere near as strong (or disgusting). It's not as apparent if you don't add water. Yeah, not for me. Well crafted though."
4.0,null
3.0,null
2.0,null
5.0,null
5.0,null
2.0,null
4.0,null
