star,comment
4.0,Very smooth with little alcohol burn and some hints of smoke. My favorite mass production blend.
4.0,null
4.0,null
3.0,Just a nice and agreeable whiskey. Nothing fancy. No smoke but perhaps a bit caramel in the aftertaste.
3.0,null
4.0,null
2.0,null
1.0,null
2.0,null
4.0,Very good for this price. Very sweet and easy to drink. It's not for tasting but for rekaxing without thinking.
2.0,null
2.0,"For its price, a very good whiskey. However, given more options, this wouldn't necessarily end up in my glass."
1.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
2.0,"1965 bottling. Ethanol honey nose.   Simple sugary sweetness that pushes vanilla and a faint hint of smoke.  Goes down like water, and leaves a  Metallic finish.  At touch of oak, and a funky pepper spice. Fine with ice, otherwise go for something else."
3.0,null
2.0,null
1.0,null
2.0,null
3.0,null
2.0,null
2.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
2.0,null
2.0,null
2.0,null
4.0,null
3.0,"Gentle gold. The soft golden glow is a fitting introduction to this ballantine stalwart. On the nose I found oak and honey without the traditional alcohol kick. Easy on the pallet with a short to medium spice finish. If you're looking for everyday drinking whiskey. I believe that this is the most reliable, affordable and enjoyable blended scotch on the market. It's cheap but drinkable."
2.0,Ok relax whisky.
2.0,null
3.0,null
2.0,"I guess it's some of its creamy sweetness and thin smoky coat that keeps this careless fellow aboard. An option on my shelf when in the mood for some whiskey, but still want to keep my single malts for a better occasion."
2.0,null
5.0,null
1.0,null
2.0,null
3.0,null
2.0,null
4.0,null
2.0,null
3.0,I'm pleasantly surprised by this budget blended scotch.  I don't detect any smoke but there's a subtle fruitiness on the palate (pears?) that soon gives way to sweet chocolate notes.  The finish is dry and there's almost a salty tang at the very end.  Not bad for $30 a Liter.
1.0,null
4.0,null
2.0,null
3.0,null
1.0,null
2.0,null
3.0,null
2.5,null
2.0,null
4.0,null
3.0,null
2.0,Good for cooking
1.0,"Still drinkable neat, but only if no other brands available"
3.0,null
2.0,null
4.0,null
1.0,Basically undrinkable. It has very little flavour then after a few seconds the aroma of a very cheap and strong vodka hits you.
null,Cheap and solid. Won't complain.
2.0,null
2.0,null
3.0,null
4.0,null
3.0,"First of all this is very cheap so don't expect much. But compared to other blends I think it's definitely got its merits. Nose: very sweet, it's not like a sherry sweetness but like a very sweet cereal malty sweetness with a bit of sharp alcohol grain. Palate: very smooth, all the flavours are very composed, a buttery fruity, grain, slightly smokey taste. Finish is short it's smooth but it's got a bit of bite going down. Okay so for the price, it's not too bad I don't know why people are complaining it's so bad, yes it's not as good as my highland park 18 or glendronach 1995 px but those are $150 a bottle. This is less than 20 bucks and for making a scotch and soda or you just wanna save some money and drink something cheap this is actually a very sensible blend. I'm giving it 3 stars, mean it's good and since is cheap it will be a repeat buy from me."
3.0,null
3.0,null
2.0,null
1.0,null
2.0,null
3.0,null
1.0,null
1.0,null
2.0,Scherp en dag later slecht er van.
2.0,null
2.0,Nothing too interesting. Pretty inoffensive
2.0,null
3.0,null
1.0,null
3.0,null
2.0,null
2.0,null
1.0,null
2.0,null
4.0,null
3.0,null
2.0,null
1.0,null
1.0,null
1.0,null
2.0,null
2.0,null
2.0,null
2.0,null
1.0,null
3.0,null
3.0,null
2.0,null
