star,comment
1.5,"Ah wft..this can't legally be whisky can it? Its like fake coffee liquer, liquorice, creaming soda and root beer all had a mass orgy with badly cut ethanol and this was the love child. I'm not to sure if the insinkerator back fired or the sink just vomited in my face when I poured it down it's throat..."
3.0,null
2.0,null
3.0,null
4.0,null
4.0,"This was a surprising amazing scotch. Tried it in Aviemore and it was a fruity, rich scotch that only got better with a second taste. DARK in color (almost a Dr. Pepper color). Highly recommend a tasting of this odd scotch as this is definitely in a class by itself. You want to try this, if nothing more than to experience it."
3.5,"Au nez, c'est pas du whisky. Plutôt du vin comme du porto, on y trouve du caramel très prononcé voire du chocolat.
En bouche, c'est léger de prime abord puis apparaissent des arômes très chocolatés et grillés.
La finale, très caramélisée, tire ensuite sur le pruneau."
3.0,null
3.75,"Made it to the end of the week and the start of a long week off from work for the Thanksgiving holiday. I will start this weekend with a sample provided by @LeeEvolved for the SDT group. 

I must admit this is dark whisky. The color is similar to that of Birch Beer soda or Dr. Pepper.

The nose is soft, sweet and rich.  Toffee and milk chocolate (Heath Bar), vanilla and butterscotch.  Then there are rich fruits: plumbs, figs, raisins, apples and Concord grapes, like Welches Grape Jam.  Musty, mildewed cardboard drifts about amongst the aromas.  A nose well suited after a Thanksgiving meal. 

The palate is lightweight that starts syrupy sweet and only becomes sweeter over time. Fruity sweetness works in the sugars.  Plumbs and raisins with light brown sugar and cola. The sweetness turns a bit spicy with cinnamon and ginger.  A bit of oak wood works its way towards the finish. 

A warming sensation arrives throughout.  The palate is left somewhat charcoaled, dry and oaky which lingers for a good amount of time. 

A solid offering that strikes a fair balance between sweet and spicy.  A good one to sit back after a rich, filling meal.  If the palate could match the variety or  of the nose, this would take it to the next level.   Overall , quite enjoyable and satisfying. [86/100][Tasted: 11/16/18]"
4.0,"sweet, sweet, sweet, caramel"
3.0,null
4.0,null
3.0,"@LeeEvolved, where in the world did you find this... black gold... texas tea? This is the darkest whisky I think I have ever seen. Black jellybeans, dark fruit, floral properties, and honeycomb. The palate isn't like anything I've ever had. Mocha, espresso, cola, vanilla/caramel cream, concord grapes and sassafras notes follow, but a thinner mouth coat than expected. A real surprise though that it's overall better than I thought it was going to be. The short finish brings on milk chocolate and black pepper, but no fruit or herbal notes to speak of. Far from being a typical scotch, and is close to my experience of the Auchentoshan Three Wood. I think a 3.25 is fair. The theme of this dram is ""Mirage Rock"" by Band of Horses."
4.0,null
3.0,"Stop number 94, and the final stop of round 6 of the Scottish Distillery Tour is the Speyside distiller, Speyside. Yes the distillery with enough hubris to name itself after the region in which it was built. Beinn Dubh translates to The Black Mountain and is a NAS release. For a more detailed history on the distillery see the review by @LeeEvolved He is also the one that provided this sample. Bottled at 43%, chill filtered and with enough colorant added to make this a deep dark purply-red with brown hues. 

The nose is super rich/sweet. Lots of vanilla and chocolate. Toffee, caramel and coffee. Plenty of sherry, some blackberries, baked apples and cherries. Anise, root beer and hints of cola. Strong notes of grape/mixed berry jelly that get stronger the more it sits. Hints of oak and damp, musty basement. Really not a bad nose, but it all feels artificial. 

Sticky sweet on the palate. If you want to attract ants, just pour some of this on the ground in late spring and watch them swarm. Lots of sherry, cherry cough syrup with about a cup of sugar added. Vanilla, milk chocolate, caramel and anise. Some ginger and a definite note of teriyaki. Some bitter nuts and oak. 

A light to medium bodied mouthfeel. Watery, but mouth coating and mouthwatering. 
The finish is medium long, sticky sweet with sherry, caramel and teriyaki. 

This is a strange one. I’d like to see what this thing looks like without all of the colorant. It’s a sherry bomb for sure, but I suspect that rather than years upon years of maturation in quality sherry seasoned oak, that they left more than a few casks 10-15% full of sherry before they filled them. I like a sweet sherry bomb the likes of Macallan or Tamdhu, but this is a little ridiculous. The nose is decent enough, but the palate really shows the youth and flaws. Quite the good value though at only $48 if you can find it. I’ll have to give this a 3.5. Looking forward to round 7 in a few weeks and enjoying the final leg of out tour. 
Cheers"
2.0,null
3.0,"Another sample as part of our SDT team...this one courtesy of @LeeEvolved.  I don’t think I’ve ever seen any whisky as dark as this.  It’s black.  It can be easily mistaken for Guinness.  Minus that heady foam.  I was actually apprehensive to drink this; that color is borderline mesmerizing/ scary.  Okay...so let’s take a sip...what’s the worst that can happen?  It’ll turn out to be oil, and a little oil never hurt anyone.  So...the taste...it’s like cola.  Like a stick of licorice dissolved in a can of soda.  I’d give this a one star, or lower, if it wasn’t so damn of a curiosity.  I don’t know what the hell this is, it’s not whisky, but for some strange reason, I can’t stop sipping this."
