star,comment
4.0,"Vinegar, vinegar, vingar."
4.0,null
null,$40 Beverage Warehouse
4.0,null
3.0,null
5.0,Love this stuff. Very easy to drink with sweet tones and the occasional spice.
4.0,null
4.5,"I'll make this short, because there's not much I can say that hasn't been said before. Belle Meade is doing a fantastic job of sourcing some great bourbon and finishing it to perfection. Thanks to the generosity of @DigitalCork , I was able sample Belle Meade's sherry, mediera,and cognac finishes.  All were fantastic, but my favorite was the sherry.  The finish on this whiskey is a perfect fruity offset to the spicy bourbon, and brings just the right amount of enhancement without overwhelming.  Add me to the list of Belle Meade fans!"
4.5,null
4.75,"Wow. Sherry, rich chocolate, and dark fruits (blackberry, black cherry) in the nose, with a touch of oak and orange peel. Palate is also very fruit forward, revealing plums and raspberry, with a deep, beautiful depth of dark chocolate, vanilla, and heaps of brown sugar dusted with cinnamon and rye spice, which fade into an oak finish with slight tannins, leather, and cigar."
4.75,null
4.0,null
3.5,"Aroma:  Dark stewed fruit with vanilla, caramel sweetness
Texture: Hot
Flavor: Apple pound cake  up front, followed by plum and baking spice
Finish: Medium short, dark fruit into clove spice"
3.5,"Aroma - Vanilla and plums

Taste - brown sugar and tart plum. Sherry pops out towards the back.

Texture - weak, burn at the end. Very quick.

Finish- smokey and dry. Tastes like a Cab. In bourbon form.

Over priced for what you get."
4.25,null
4.5,"Absolutely delicious. Tons of fruit and vanilla on the nose. The flavor profile is barely ""bourbon"" but in a good way. Fruity with just a hint of cinnamon on the front. Sweet vanilla, apples and leathery finish on the back. Long, warm, pleasant finish. Reminds me of wild turkey masters keep Revival. Probably the sherry cask."
4.0,Gift from Ninas mom (birthday).  Really unique tastes with the Sherry cask finish.  Super smooth but a flavor profile that bites up into the nose.  Awesome experience.  (Store owner let us try the normal bourbon non-sherry in store and was much spicier).
3.0,null
4.0,null
3.0,null
4.0,"goes in sweet, goes down/finishes with a nice spice"
5.0,Very smooth. Lots of flavor. Flavor stays with you
3.0,null
5.0,null
4.0,null
4.0,Super smooth--like velvet.
3.0,Sweet. A good amount of burn.
5.0,null
5.0,null
2.0,null
3.0,"Sweet sherry ..berry oak very nice , the only thing that bother was tanning"
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,"Sweet, smooth, just a touch of spice. Liked it both neat and with an ice cube. Definitely can taste the sherry influence."
4.0,null
4.0,null
