star,comment
3.0,null
4.0,null
3.0,null
2.0,null
3.0,Spicy and sweet.  Great bourbon for rye lovers looking for something a little more spicy.
5.0,null
2.0,null
3.0,null
4.0,Good stuff. A bit strong. I drank an entire bottle in one sitting. No regrets.
4.0,Nice sweetness for a rye-heavy mash bill.
5.0,null
4.0,null
3.0,"I had this, but wasn't totally blown away by it. Did taste a bit like a Tennessee whiskey to me actually."
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,Very good
2.0,"The bill on this bourbon is heavy on the rye and it shows. The vanilla is one of the first scents you'll encounter on the nose, but it crispens with some orange in your mouth and finishes in a kick of spices that trail down your throat, leaving heat. There's also a bit of roughness at the end. This is a nice bourbon, but it just didn't wow me."
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
2.0,null
5.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,Very good sipping bourbon. I'll enjoy all of it but it didn't jump out at me either.
4.0,null
2.0,null
4.0,null
5.0,Very smooth and sweet drinking bourbon.  I was surprised how good it was...I'll definitely buy again!
4.0,null
5.0,null
4.0,Sweet and vanilla. Little burn
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,Rye.  Good and liked it
null,High rye around $30
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,Drank at JAMF after my second try at getting my CCTV certification.. Recommended by Josh Toro
4.0,null
2.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,Fiery and spicy.  Excellent.
4.0,null
3.0,null
4.0,"For the price you can't get a smoother, layered whisky. Sweet, caramel ending that makes for a great Manhatten."
3.0,null
5.0,Smooth. Tastes of honey
3.0,null
4.0,null
3.0,null
3.0,"Donnie brought this back from Tennessee. It was a decent whiskey that had a strong alcohol smell to it but tasted very sweet, almost like caramel."
4.0,null
3.0,null
5.0,null
4.0,Light and airy with a very nice spice to it that finishes hard on the tip of the tongue.
2.0,null
4.0,null
5.0,null
5.0,null
3.0,"Rich, oily, syrupy. Sugary sweet, honey, toffee, and a little pepper."
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
5.0,null
4.0,null
3.0,null
3.0,null
4.0,"This is a very nice bourbon. Different enough that it is a must have for any collection. On the nose, I get the traditional caramel, vanilla, and oak but then you throw in a clove, orange, and nutmeg combination. Not overpowering, but a great nose. On the palate, this one has a great texture. It is sweet up front due to the orange, clove, and rye spices. Then comes the traditional vanilla and oak for the finish with a touch of cinnamon spice. 91/100."
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,Tried it in Nashville and it tasted kind of like boozy maple syrup. Enjoyed it overall. Even got it in a Manhattan that Kate liked
4.0,null
4.0,null
5.0,null
null,[$38]
4.0,null
4.0,null
4.0,null
4.0,Vanilla nose and extremely smooth mouth feel. One of my favorite bourbons on the market. 4.5/5
4.0,null
4.0,null
4.0,null
5.0,A good bourbon with elevated rye content. Nose has very medicinal scents with light notes of vanilla and orange. Body is warm and sweet with good hits of caramel with slight hints to dark bitter chocolate. Finish is spicy and lingers very well.
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
1.0,null
4.0,null
4.0,Reminds me of a Bulleit but smoother. Light & refreshing.
4.0,Solid bourbon.  Worth putting on the shelf
3.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
5.0,null
3.0,null
2.0,null
4.0,null
2.0,null
5.0,null
4.0,null
4.0,null
4.0,"It has a creamy, vanilla-toffee smell. Sipping it, you get a spicy vanilla toffee flavor that heats up as it sits in the mouth. It has a lingering, smooth heat at the end. A great summer sipper."
4.0,null
4.0,Very good.  Has a hint of hot sauce type flavor.  Burns.  Good smell.
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
3.0,"Pretty balanced bourbon with light notes of fruit and some spice. Enjoyable, could definitely sip on this. Especially at this price."
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
2.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
2.0,null
5.0,null
2.0,Bar tender made a mistake...I didn't mean to order this.   Franklin Room
5.0,null
2.0,null
5.0,null
3.0,null
4.0,"Caramel, peppery, long after taste with slight leather. Not as smooth as the Cognac finish. May need to let the bottle sit for awhile after opening. *Definately improved after opening the bottle."
4.0,null
2.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,"Light, sweet and smooth on palate. Slight spice on the way down with a little anise after taste."
3.0,A welcome spicy note that lingers at the end. Savory and riveting. This isn't a lazy bourbon by any means. It starts strong and ends strong with a brilliant liveliness to it. (FWF share #20)
3.0,"Light and sweet.  Only gentle vanilla toffee on the front end, then slowly warms with a spicy finish and lingering tannin."
4.0,null
1.0,null
4.0,null
5.0,null
4.0,null
2.0,null
4.0,"Nose: vanilla, Carmel, wood, a little heat
Palate: smooth and sweet hint of spice
Finish: smooth, spicy burn"
4.0,null
5.0,null
5.0,null
