star,comment
4.0,null
3.0,null
3.5,null
4.0,"Nose: very light smoke, vanilla, cinnamon, 
Flavour: smoke less noticeable than in nose. Toffee, caramel
Finish: short, slight burn, leaves a little smoke behind"
3.0,"At Miranda’s - not bad, better than tali’s let"
3.0,null
4.0,null
3.0,null
3.75,null
3.5,"on the nose, heathery smoke, flowers, brine, vanilla cream, honey and apple. The palate is bitter, with peat, light stone fruits, a bit of brine and grassiness. The finish has light oak vanilla, brine and more smoke."
4.0,null
3.0,null
3.0,Light Smoke/Limes/Smooth Finish
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,null
4.0,null
3.0,null
