star,comment
3.0,null
4.0,null
2.0,null
5.0,null
4.0,"I bought this because of distillers rating and I wanted to be disappointed because of the whole ""organic"" label even though it's really young, over hyped perhaps/trendy?  I have not had the benromach 10 year, so I cannot compare.  This is a really tasty dram. Very well made and I have no complaints, it exceeded expectations.  I would buy it again down the road. Worth a try.  Smooth, vanilla, caramel, smooth."
5.0,null
null,"This is much more than their standard 10 yr old , I guess from paying the extra admin costs  to get the organic certificate.  Is the taste that much significantly better because it's organic?"
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,"78% banane, poivre"
4.0,Prototypical
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.0,null
2.0,null
5.0,"Oaky typical Speyside (which is a good thing) with a creamy finish. One heck of a whisky. Could drink it all night, but I won't. I wanna save it for later."
4.0,"A PHENOMENAL whisky, well-balanced with a spicy yet smooth finish. The nose underperforms just a tad, but the palate has a nice mouthfeel, with American oak getting the breakout role. Truly well crafted."
4.0,null
3.0,null
4.0,Tasted at Benromach Distillery on 7/23/2016
3.0,null
4.0,"One of the nicest young single malts I have tried.  Nothing to detract from the excellent quality malted barley used.  Peppery and dry, leaves you sucking your toungue. Yum!"
5.0,null
5.0,null
4.0,null
4.0,null
4.0,8/10. excellent
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
null,Da donne (5-7 anni)
3.0,"Very good oak start, but high alcohol flavor in the middle. Spicy finish"
4.0,null
5.0,null
3.0,null
4.0,Sweet and nutty with a heavy bite
3.0,null
4.0,null
4.5,"Went exploring to specifically seek out this bottle as it is one of the few Scotch offerings with organic barley. Benromach does not identify the farms where the barley is grown but they do indicate that every step of the process is certified by the UK Soil Association.

Not surprising that this whisky showcases the quality of the barley throughout. Fresh spring cereal with a hint of oak & vanilla on the nose. The cereal notes are even more prominent on the palate and mesh nicely with the peppery spice of the virgin oak. Super clean and vibrant - quite enjoyable. A sliver of water is key to coax out the best characteristics of the barley. This whisky is young but the quality is definitely apparent even if it never really ‘wowed’. As I worked through the bottle, the grin on my face got bigger each time I reached for this.

Rating: The Distiller score is through the stratosphere and probably 5 points too high. 90 for me. Would I buy again? Sure at some point, but I’m not rushing out to replenish the bottle. At $72, this plays in a very competitive arena. 

Distilled:2010
Bottled: 2016"
null,"Smooth, lots of body, well balanced profile. Would definitely keep in collection"
null,Very nice. Easy drinking whisky.
4.0,Saved this for Thanksgiving. It was very pleasant and light and inviting. Sweet but spicy light and tasty. I really liked it. I will add more notes later next time I drink some.
3.0,"Scott_E is on the money with this one. Tropical, light and sweet. This was a newly opened bottle and had the unfortunate timing of being tried with a 97 glenthroes and Van winkle 12 so sadly very much 3rd place. Solid 3."
3.0,Quick hit: Tropical; soft; light; clean.  [Whiskyfest 17]
4.0,Very drinkable.
3.0,null
1.75,"95?  Here is a classic case of “organic” being mixed up with being better or, in this case, even good.  

This was tested blind (my preferred method) beside Millstone 100 and Oban 14.  To say this was the ugly duckling is an understatement. 

Benromach Organic notes - citrus, sour, an earth smell similar to tulip bulbs or iris roots.  Palate felt hot but light and young.  Sour is again in the notes on the finish. 

I had no clue on what it was, I knew it wasn’t bourbon or Canadian as it wasn’t sweet in any way but I couldn’t even guess what Scotch it might be. 

This one is all marketing and I encourage you to pass."
4.0,null
3.0,null
4.25,null
3.5,null
4.5,null
3.0,"Like that’s it’s organic, don’t love the finish. A little harsh."
4.75,null
4.5,null
4.25,null
4.25,null
4.0,"Butter, yeast rolls, chocolate"
4.0,Smokey
4.0,null
3.5,null
3.0,"A boring one, not worth the money"
2.75,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,"Being the first whisky to be certified 'Organic' by UK Soil Association standards, this Single Malt is a bit of a trend-setter. Maturation in American virgin oak casks gives this Benromach a surprising depth and complexity, which is rarely found at this young age. On the nose, I get banana, apricots and toffee with lemongrass, marshmallows and hints of fresh mint. All very sweet and spicy. Tropical fruits, green tea and even a touch of chili follow on the palate before the lingering, cask-dominated and mildly dry finish kicks in. This dram is refreshingly different!

RATING: 3.9/5.0 stars ≙ 86 pts → FIRST-CLASS [-]"
3.0,null
3.0,null
2.0,Uninspiring until you add ice but still don't buy it. Peppery with no ice. Chocolatey with ice. Tried with Rich Cook at Keens in NYC.
3.0,null
5.0,null
4.0,null
1.0,null
3.5,null
2.5,null
2.75,null
4.0,"Full, vanilla, fresh oak"
3.25,"VERY sweet, and very floral, honey notes and clear finish with citrus notes.  Very drinkable."
null,TW $72.99 Not available
4.25,null
4.0,null
4.0,null
3.0,
4.0,null
4.0,null
4.0,null
5.0,null
