star,comment
4.0,"I like this, it's sweet with notes of honey and vanilla... a little heat, but not enough to kill the smoothness.  A little spice comes through in the finish... I'm a fan!"
1.0,null
2.0,null
2.0,Very sharp and feels hotter than it is.
2.0,null
4.0,null
4.0,null
3.0,null
3.0,null
2.0,null
3.0,null
1.0,null
3.0,null
3.0,null
5.0,Fab u lous
3.0,Irish style
4.0,null
2.0,null
4.0,"Actually the Delta Rye

Deliciously spicy, somewhat similar to burnside rye"
3.0,null
3.0,null
4.0,null
3.0,null
3.0,"soft note, sweet with slight bitter sip with quick spicy burn follow"
