star,comment
4.0,null
4.0,null
1.0,null
3.0,null
3.75,null
3.5,null
4.25,null
null,null
3.0,null
4.0,null
2.5,null
3.5,"Had it at a Christmas party, don't remember it really. Must not have been great or terrible."
4.5,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,"A tasty and affordable bourbon, fairly smooth and a little spicy. Well worth the money."
3.0,null
2.0,null
2.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
4.0,same nose as the small batch. almost exactly. A little nutmeg vanilla on the nose and first taste. long finish.
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
4.0,Not as mellow for 10 year that I'd like but still enjoyable.
1.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.75,null
null,Warm spice
3.75,null
2.0,null
3.5,null
2.5,null
3.0,null
3.25,null
2.0,null
4.0,null
3.0,null
2.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.0,"$40 here in MI. Not worth the price IMO.( see 2nd review)  Not a lot of flavor. Some bitternes. Fairly fruity. I prefer a darker, dark oakier bourbon. It has sweetness, some burn which is about 50/50 alcohol to tanins. The oak is a fresh oak...not a charred older oak. I like the 12yr Elijah Craig, 12 ECBP, and Knob creek 9yr...darker less ""bright"" bourbons. Maybe this will be your thing...but it isn't mine.
      
      Later review....After the bottle has had a week opened and then letting the pour sit in the glass for 10-15mins. Some of the brighter fruit flavors give way to to the darker carmel flavors. I find this a good thing. Still a little tingling on the tongue but the finish has a much sweeter/caramel taste and actually more than average smoky/char to it. The bitterness remains from start to finish. This would BE WORTH $40 if this is the profile you like...much improved over time...but still not one of my top likes ....3.5 stars"
4.0,null
4.0,null
3.0,"Sweet, fruity, like a cognac or brandy almost, or a finished bourbon. Dessert."
3.0,null
2.75,null
3.5,null
3.0,null
3.5,null
4.5,null
3.5,Pretty solid whiskey. Approachable. Like it lots for the price.
3.75,BBF tasting. Pretty good stuff.
