star,comment
4.0,null
2.0,null
3.5,null
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,"If Johnnie Walker Blue were a bourbon; super smooth, not too sweet"
3.0,null
3.0,null
5.0,null
4.0,null
3.0,null
4.0,null
1.0,null
4.0,"Color: light roasted sugar
Nasal: orange liquor, almonds and chives
Taste: orange, vanilla, cinnamon, and lemon tea"
4.0,null
5.0,null
4.0,null
4.0,null
4.0,6-28-17 smoother start than part 1. 3.9. Do like better but both very drinkable
4.0,null
4.0,I have pact 3. Very smooth but pricey at 100/bottle.
5.0,null
5.0,null
null,Le pact 3 est tres bien coté dans whisky advocate
4.0,"I gave this 3.5/5 because I do not like it as well as Pact 1, & this bottle really opens up with time. 

UPDATE... 2-14-18 OPENS UP REALLY WELL only gets better with time😁😁😁😁
but I liked 1 better"
3.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
3.0,null
3.0,null
3.0,null
4.0,2/11 2016
3.0,null
4.0,null
3.0,null
4.0,null
null,null
3.25,null
3.25,null
3.75,null
4.0,"Phenomenal taste, sweet on finish"
4.5,null
4.25,Very tasty bourbon.  Just don't know if it's worth the over $200 a bottle price.
4.0,null
3.0,null
4.0,null
5.0,null
3.5,"N: Sweet brown sugar and orange oil. Like an old fashioned with lingering ethanol 
P: Viscous brown sugar and orange peel turns into a baking spice and oak
F: forgettable lingering oak that is very drying"
4.0,null
3.75,null
4.25,"Nose is bright and sweet, with notes of brown sugar and orange peel. The palate is soft but full of flavor with a bit of heat. More orange sweetness and a bit of ginger. Light smoke on the finish that is medium short."
3.5,null
2.75,null
3.75,null
4.0,null
4.0,null
