star,comment
4.0,null
4.0,null
3.0,null
5.0,null
4.0,Briny and warm
3.0,"This is my least favorite of the series so far - had a really salty aftertaste that i was not a huge fan of, most comparable to dots batch"
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
null,"Found at Rouses in Metairie on Vets
Should b around $60
$54 @ Martins in BR
Wine searcher avg price=$65"
5.0,null
5.0,null
4.0,One ice cube please. A lot of enjoyment  sipping on this beauty while watching the spring move in.
5.0,null
4.0,null
4.0,null
5.0,null
5.0,Buy it drink it and enjoy it this will be one of the best things you drink probably all year
4.0,The Phoenix in Baltimore
5.0,null
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,This bourbon is amazing! Let it sit with a couple cubes for 3m so you don't burn your esophagus up. It changes as you drink it... It's one of the more complex bourbons I have tried.
5.0,null
3.0,Tasted it at Paul Martins. Ralph liked. Smelling notes equaled crown royal
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,"My favorite bourbon out of 50 bourbons and ryes, by far"
4.0,null
5.0,null
3.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
4.0,Nice
5.0,null
5.0,null
4.0,Everything bourbon is suppose to be.  Much smoother than the proof would lead you to believe.  I drank it neat after letting it air for awhile.  Strong vanilla and toffee flavors with a bit of leather.  Definitely a must have.
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,Sweet. Bits a bit
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
3.0,null
