star,comment
4.0,null
4.0,null
3.75,null
3.5,null
4.0,null
2.5,null
4.0,null
4.0,null
4.25,null
3.5,null
4.0,null
3.5,Pretty decent. Well balanced. Nice to bring home from Colorado
4.0,null
5.0,null
3.5,null
4.0,null
4.5,null
3.75,"Carmel sauce in color, smells sweet

Sweet as first with characters of honey, rounding out with robust oak and spice flavors"
3.5,null
3.5,Good backyard drink....easy going
4.0,null
3.75,null
3.75,null
4.0,null
4.5,null
4.0,null
3.75,Sweet and nice finish
3.75,null
3.5,null
3.0,null
3.5,null
2.0,Taste earthy not a fan
3.75,null
4.25,null
4.0,Very easy drinking and well balanced. I really enjoy this for a daily drinker.
2.75,Sugar sweet
4.0,null
2.0,null
3.75,null
3.75,null
3.25,null
3.25,null
3.75,null
3.0,null
4.5,null
3.75,Pleasing vanilla cherry caramel. Not quite sure if it drinks young or older - prob the blend. Thanks Joe!
