star,comment
3.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,extremely fruity with strong hints of full red wine
null,i seriously just want this bottle. it looks so cool.
5.0,null
null,Can't wait to open it one day!
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,One of the best ever from bruichladdich!
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,"Nicely dark. Dark fruits on the nose - raisins, cherries, dates, figs, prunes - oak, red wine, nutmeg, clove. Sweet on the palate, cherries, plum, raisins, vanilla."
5.0,null
5.0,null
5.0,null
4.0,null
5.0,"Do I enjoy every note I get out of this? Not exactly, but do I respect every note, hell yes.  Wow man, I thought the Ardbeg Kelpie was a complex dram, but this one is a complete mindfuck, but not all in a negative way. Usually, I stick to peat and smoke, but this is none of that. On this nose, I get spices, lavender, sherry goodness, and citrus. On the palate, there are mushrooms in there, I kid you not. There is tropical subtle pineapple mixed with chocolate and Chinese five spice. This is insane. Malty aftertaste on the finish with a hint of chocolate fudge. It's like reading War and Peace. It's exhausting, but a great exercise. There is literally so much going on that I think it would take an entire bottle to sincerely reach everything there. Thanks to a Dram Dude (you know who you are) for the sample."
4.0,null
4.0,null
