star,comment
2.5,null
4.25,"Sweet Buttered Corn, Black Pepper, Bread, Oily & Sour."
3.25,"No aroma, strong after taste"
3.75,"Surprisingly sweet, with corn taste and a yeast/bread finish. Not something I would drink every day but very interesting. I plan to experiment with mixing into some cocktails too."
2.5,It’s basically moonshine.  Heavy corn flavor heavy burn. Makes you glad for aging in charred oak barrels!
2.5,null
3.75,Bright Buttery popcorn nose. Rich sweet fatty corn taste then the the spiced 125 proof. Ends quickly with a linger of the corn
0.75,"Glencairn, neat, rested none
Nose: buttered popcorn, caramel
Palate: cream corn, butter, figs, yeast, and rye grain
Finish: medium long rye spice hug all surrounded by wet straw

Overall: Bad, but a lot of fun to drink next to eagle rare and see how this mash can evolve."
3.0,This is definitely not a 2.6 overall at all. Nice cheesy popcorn nose and a buttered popcorn taste with a slight spice finish. The people that give this a crappy score just aren't used to drinking higher percentage whiskey or whiskey in general.
2.5,"This new make is clear as water and has thick watery legs.

The nose is crisp and sour overall with notes of creamed corn, plum, yeasty bread, and Fruit Roll-Ups.

The palate has notes of baked vegetables, tart raspberry, and grass stalks.

The finish is spicy and long.

Cheers!"
3.0,null
4.0,null
3.0,null
1.0,null
4.0,null
1.0,null
1.0,null
2.0,Needed more time... I did not like this much.
3.0,null
2.0,null
3.0,null
3.0,null
5.0,Also tried at the distillery on Halloween 2013. Basically delicious ever clear
4.0,Super smooth for a white whiskey and slightly fruity. Yum.
4.0,Very delicious if you are wanting to be adventurous !
1.0,null
1.0,Add this to  the to try list
2.0,null
2.0,null
2.0,null
2.0,null
1.0,null
2.0,null
2.0,null
1.0,null
1.0,null
4.0,null
1.0,null
5.0,Excellent white whisky.
1.0,null
3.0,null
1.0,null
1.0,"Rubbing alcohol, a little grassy.  Burned without a flavor to back it up.  Not my favorite white whiskey."
1.0,null
1.0,null
4.0,"Bready,Yeasty think of liquid bread!! awesome in its own way probaly one of the best white dogs out there they also produce 2 others mash #2 and #3 high wheat and high rye."
3.0,null
0.5,null
1.0,null
3.0,null
2.0,null
1.0,null
1.0,null
3.0,null
3.0,null
3.0,null
4.0,null
1.0,null
3.0,null
4.0,Corn
3.0,null
null,gouté avec Maurice . Un gout etrange organique .
2.0,"I should have known, even early in my whiskey life, that a bartender giving me whiskey for free and giggling was a bad sign. I tried White Dog and used scotch to wipe the taste from my mouth.  It was like biting into a corn cob that was on fire."
4.0,null
2.0,null
2.0,null
1.0,null
2.0,null
3.0,null
4.0,Bought a couple bottles at the Buffalo trace plant. Have the wheated mash also. Pretty tasty for white lightning
4.0,null
null,Well that was a waste of money.
4.0,null
3.0,"Taste just like it smells, corn and yeasty. Very surprised at how smooth it was and the overall taste was satisfying."
4.0,null
3.0,null
1.0,null
5.0,Smooth and 125 proof.
1.0,Not good
4.0,null
3.0,null
5.0,null
2.0,"Picture is not correct.

Unremarkable white."
3.0,null
1.0,null
2.0,null
3.0,null
3.0,null
3.0,"Not meant to be anything more than a marketing ploy, if I was guessing, but really wasn't that bad."
2.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,Very sweet and hot. Good but not necessary to keep in the bar.
3.0,null
2.0,null
3.0,null
2.0,null
2.0,null
2.0,null
2.0,Only interesting as a baseline to see how the whiskey starts out.
2.0,null
2.0,null
2.0,null
2.0,null
2.0,null
3.0,null
3.0,null
1.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
1.0,null
3.0,"I had this stashed in my bar for two years until I figured out what to do with it. It doesn't taste very friendly (overly cloying, with rubbing alcohol notes and too much corn) but it mixes to perfection if you find the right approach. (Hint: lemon, simple, crushed peaches, strain. Peach and corn whiskey are perfect together.)"
2.0,null
1.0,null
1.0,null
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
2.0,
3.0,null
3.25,Holey moley buttered popcorn
1.0,null
3.0,null
3.25,Bourbon without the oak
3.0,null
2.0,null
2.5,null
3.0,null
4.0,null
4.0,"Great white whiskey,  not to harsh, especially considering it’s proof"
4.0,null
3.0,"Taste is amazing, very hot."
3.0,null
5.0,
2.0,And now for something completely different!  Not bad but not great. Must appreciate the upfront corn.
2.0,"I mostly got this because I'm considering making whisky and felt I should know what the preaged stuff should taste like so I'd know when I got to the hearts during distillation. 

I wanted to like this, but I couldn't get past the rubbing alcohol element and the burn. Sweet with corn, and then rubbing alchohol followed by burn. Finish is short and is mostly rubbing alcohol, but post rubbing alcohol a slight fruitiness remains(I got honeydew melon). 

Tried adding an ice cube just to see what it'd do. Cooled the burn, but the same flavors remained; just muted and rubbing alcohol was still present. I imagine this could be good mixed, but not something I enjoyed as a sipper."
3.0,null
2.0,null
1.0,null
2.0,null
1.0,Undrinkable
