star,comment
3.75,null
3.25,null
3.5,null
4.5,Probably best value for money
2.5,null
4.0,"The nose starts with predominantly green apples and pears, with maltiness and caramel, some metallic notes in the beginning. Later vanilla, milk chocolate, pickled ginger, peach, pineapple and even hints of darker fruits show up. Palate for this dram is marked by a sweet and sour note and bitterness perhaps a bit like orange peel. Maltiness is always present, along with a creamy texture. It finishes with some bitterness and leather, confirming the presence of sherry casks.

This is overall a solid dram for its value. A bit of water can deliver more fruity notes on the nose.

Revisited and found that the nose is absolutely beautiful, hence bumped up to 4.0 from previous 3.75!"
4.5,Раядко срещано добро съотношение цена-качество
3.75,Pear for ages. Very fruity. Good one.
3.5,null
3.5,null
4.0,My go to Irish whiskey
3.0,null
1.0,Given as a gift. I'm used to drinking Scotch. This Irish whisky was sweet and sickly. I found it unpleasant.
4.0,null
5.0,null
3.0,null
3.0,null
3.0,null
5.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
3.0,null
3.0,Nice citrus. Smooth and balanced.
1.0,null
4.0,Has nice heat and some caramel
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
1.0,null
4.0,null
4.0,"Smooth, lots of sweet vanilla flavor. Easy drinking."
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
2.0,null
4.0,null
2.0,null
4.0,null
2.0,null
5.0,null
3.0,null
3.0,null
2.0,null
3.0,null
5.0,null
4.0,null
5.0,null
3.0,null
3.0,null
4.0,null
3.0,Just like Jameson
3.0,null
4.0,null
4.0,Thick mouthfeel distillers on the banks of the bush river
4.0,"Sharp on the edges of your tongue on the first sip, but pure nectar of the gods on the swallow."
3.0,null
3.0,null
3.0,null
2.0,Meh
3.0,Litt kjedelig. Smak av tre og vanilje. Litt for søt.
4.0,Cheap but not cheap. Casual one for every day. Something you can drink without feeling to waste something.
2.0,"Ok. Slight roughness, considering it's Irish."
3.0,One I got started with...
2.0,null
3.0,null
4.0,null
4.0,"Can definitely taste vanilla early, honey late and malt throughout. Very smooth. Smoother and sweeter than it's cheaper comrade. 

Always special as our wedding whiskey."
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
1.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
3.0,null
3.0,null
3.0,null
1.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
2.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,Smooth and sweet. Great everyday whiskey.
3.0,null
3.0,null
4.0,null
3.0,"Smells sweet - the sharpness of vanilla bean with a light honey backdrop; I immediately recognize the floral depth characteristic of an Irish; vanilla stays along in the palate, as well as candied apple and the filling of a cherry cordial - thoroughly malty as well; the finish is interesting and medicinal but diminishes sooner than I'd expect; thanks Mitch - an amazing gift and a great whiskey for the price range."
3.0,null
4.0,null
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
null,"Christian aime bien ce scotch, pas cher"
4.0,null
4.0,null
1.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
4.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
2.0,null
4.0,null
3.0,null
2.0,null
3.0,null
2.0,null
4.0,null
3.0,My go to Irish whiskey. Very drinkable.
2.0,null
4.0,null
4.0,null
2.0,null
4.0,null
3.0,"Smooth, light, grassy, vanilla, honey, and a touch of oak.  Subtle fruits and not much spice or complexity.  Pleasant on the nose.  A good sipper on it's own.  Definitely Irish.  I would place this above the Black Bush and below the 16 year.  If I were to buy a bottle, I would save the cash for the latter option."
4.0,null
3.0,"Smooth taste but the banana smell reminds me of Jack Daniels. Fortunately, the taste is far more superior to that sour mash.  Easy going on a terasse."
2.0,null
4.0,null
3.0,null
3.0,null
4.0,"Very fruity, vanilla, mom said less toxic than most"
3.0,null
3.0,"Fairly thin, not much body or burn. Sweet  honey rosewater ginger banana bread."
4.0,null
3.0,null
4.0,null
3.0,null
5.0,null
2.0,null
2.0,null
4.0,null
4.0,null
3.0,"I think I have lost all sense of taste, or it actually has no taste. It has a nice sweet aroma; vanilla notes that stay with you as you drink."
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
1.0,null
3.0,null
2.0,null
4.0,null
