star,comment
2.25,"Grows on you, but overall feels underwhelming. Angry-ish nose, but the finish warms you up a little."
3.0,null
3.75,null
4.0,null
4.0,null
4.0,null
4.0,"Great whiskey for the price, always keep some on hand in a decanter."
4.0,Great whiskey for the price!  Wonderful flavour
2.0,null
4.0,null
4.0,"A surprisingly sweet and mild Canadian whiskey, that somehow reminds me of a run or something. Nice."
3.0,Not too bad of a whisky
5.0,"Fruity, sweet and oaky. One of the best from the east coast of Canada. My go to."
4.0,
4.0,null
2.0,null
4.0,null
4.0,I was lucky enough to try this at a tasting. The nose is angry.  Almost like moonshine.   But as you taste it the yummy warm Carmel notes take over.   It's very good and a great surprise on your tongue.
