star,comment
2.25,Not a fan.   Definitely more smoke than what I'm use to from Speyside.  Nose is nice but short finish.  Don't know what we're gonna do with this bottle.  I don't like it enough to drink neat.  Maybe mixed drinks.  Don't know what else we're gonna do with this bottle.
3.5,"Average dark chocolate, toffee, and spice."
3.25,Not bad. Better alternatives for same price. Is almost forgettable. Some apple hints and floral.
3.75,Vanilla
3.5,null
2.5,null
3.25,null
null,null
3.75,null
2.25,null
3.5,null
null,null
4.0,null
4.5,"smells great! citrusy, sweet, and a touch of salt.  smooth. easy to drink. finishes with a little carmel."
3.75,null
3.0,null
3.25,Spicy
3.5,null
3.5,"Citrus, fruity sweetness, very mellow vanilla and light, slight bitterness on the back end. Inviting and easy to drink. Good for beginners who also enjoy GoT."
3.25,null
4.0,"Nose is harsh ethanol, likely due to immaturity. 
Mostly honey, a little caramel, and subtle oak. 
Finish packs some heat, mostly dulling the sweet taste on the palate"
4.0,null
3.75,null
1.5,null
null,null
2.75,null
4.0,Honey is the first note that hits you on the palate and it is pronounced. Not the nicest scotch around but it’s easy to sip and has a nice sweet flavor profile. It definitely gets better once it’s had some time to open up. It’s not for everybody but I personally enjoy it very much
4.0,null
3.5,Tasted on 4/7/19
3.25,interesting!
2.75,Maybe for a beginner this would be tastier.  I get sweet candy flavors at the beginning then fades to a small spiciness...virtually no finish.
null,null
4.0,null
3.75,null
5.0,null
2.5,"Oaky, flavor vanishes quickly"
2.0,null
2.5,"It hits all the basic notes required, and is a balanced expression, but it feels very flat."
5.0,null
3.25,null
3.5,null
3.5,null
3.25,null
2.5,null
3.5,null
3.5,null
3.75,"Not as good as House Lannister, but still delicious! I get the creaminess and spice. Also, I feel the finish is pretty long!"
5.0,null
4.0,Sweet and lingering finish. Just a little fire.
4.25,null
3.0,null
4.0,null
3.75,null
3.0,null
4.5,"The nose of the drink features hints of apple and spice.  It is sweet with an almost toffee scent.

The scotch tastes sweet with toffee and apple notes.  It is not peaty, but rather a little briny in the finish.  Hints of vanilla and charred wood can be faintly detected behind the sweetness.  Very good."
3.75,null
3.25,null
3.5,"I’m a little late to the party with this review as GoT has now ended, but better late than never. I’ll skip all of the House Targaryen jokes and historical facts and just get down to it. This is Cardhu Gold Reserve. It’s not available in the US in its standard packaging, but this is the same stuff the Europeans get. Diageo didn’t bother coming up with something new for this one. Bottled at 40% ABV and is chill filtered. As far as the color goes, every whisky in the GoT lineup is exactly the same color. Impossible you say?  Thanks to copious amount of added colorant it IS possible!  It’s a solid amber color. 

The nose is full of honey, barley sugar, malty/yeasty. Quite fruity - but not fresh fruits, more like canned fruits. Cantaloupe, pineapple, baked apples, pears, orange pith, peaches, green grapes and raisins...all swimming in a light syrup. Toffee, vanilla, chocolate sauce. Floral, lavender and honeysuckle, also somewhat earthy and herbal. A light oak with some hickory and a very faint wood smoke. Almonds on the back end. Nice. 

The palate is very malty like the nose. Barley, honey and oak. Nutty - almonds and hazelnut. Black tea, chocolate, tobacco and maybe some leather. Fairly light apples and cantaloupe. Nothing like the fruitiness if the nose. Toffee and butterscotch. Kind of boring. 

A medium bodied mouthfeel that is oily, mouthwatering and then dry. 
The finish is medium length with honey, malt, apples and almonds. 

Not bad for the price (I paid $40). Inoffensive, very drinkable. Lots of depth on the nose, but nothing stands out as exciting. Looking back at my notes for the 12 year old, this is more or less the same dram, but most likely younger. If this was sold here I would buy it again, but only because it’s a cheap and decent Speysider that I wouldn’t feel bad offering to friends that don’t really like whisky. I gave the 12 YO a 4, but that was almost 2 years ago. With my current palate and standards, this comes in a bit lower. 3.5
Cheers"
2.5,null
2.25,null
3.5,apple pie crust. vanilla and caramel in the finish.
3.5,Not much scotch experience...most are too peat for me...like the sweetness in this though for my palette. Had to have for the finale
3.25,null
3.0,null
3.5,Subtly of the flavor (in line with the nose) belies the complexity of this whisky. Very inviting and deceptive in its smoothness...which demands respect as it goes down so easy.
4.0,null
3.75,null
