star,comment
3.0,Very sweet.  Lots of floral flavor.
0.5,"On sale for 9 or 10$ originally 79$, and that says it all. Very fruity nose, almost peaty smoke taste versus hops. I personally find it unpalatable."
2.75,null
2.0,null
3.0,IPA whiskey...taste of hops at the end. Interesting
2.0,null
1.0,Bitter and terrible
3.0,Nice but hops come off as medicinal.
3.0,null
4.0,null
1.0,null
2.0,Hops are lemony but a little skunky.
null,"Ramirez Liquor has for $69.99
Liquor Mart has for  $79.99"
3.0,null
3.0,null
4.0,Very unusual.  Quite tasty!
5.0,null
