star,comment
4.0,null
3.0,null
2.0,null
4.0,null
4.0,null
3.0,null
3.0,null
2.0,null
2.0,null
3.0,null
1.0,null
2.0,null
3.0,null
3.0,null
3.0,null
5.0,null
null,Mild
3.0,null
3.0,null
3.0,null
2.0,null
2.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
3.0,null
3.0,null
3.0,null
1.0,basic bitch blend
4.0,null
2.0,null
1.0,null
2.0,null
2.0,"One of my cousins swears by Chivas for his daily dram and had me try it last day. I think it’s a quite decent blend, albeit a bit flat. I missed some dept and body."
2.0,null
2.0,null
4.0,null
2.0,null
3.0,null
3.0,null
3.0,"Fruit forward, then sour and slightly smoky afterwards. Pushes to another sip."
5.0,null
4.0,null
3.0,null
3.0,null
2.0,null
1.0,null
2.0,"The nose is apples and oak. It is VERY mild, sweet and easy to drink. Not complex at all. Bland, and good to introduce a wine drinker to scotch."
4.0,This is my go-to drink.  Any time and every time.  Smooth and delicious.
2.0,null
5.0,null
3.0,null
2.0,null
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,sweet almost bourbon flavored
3.0,null
2.0,null
3.0,null
4.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,"Friendly and light. On the nose I got honey and vanilla with oakiness. It tasted just like it smelled, butterscotch/vanilla with oak. The finish is warm and oaky. Good intro whisky on the cheap."
3.0,null
4.0,"This one has me wondering why I'm liking poorly reviewed, blended scotches more than single malt, highly praised ones. great flavor and easy drinking."
3.0,null
2.0,null
3.0,null
2.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,
3.0,"Tobacco on the nose. Smoke, pepper, and... gravy?"
3.0,"A blend with a lot of Speyside character. Widely available and easy drinking. One negative is that the price has come up quite a bit over the years, at the same time several new options have come into the market. Not something I seek out, but when it crosses my path I have enjoyed its company. Cheers!"
3.0,Hong Kong 3/2/18
3.0,null
2.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
2.0,null
3.0,null
2.0,null
3.0,"Initial: Smooth, mild

Twirl: Neutral, mild

After: Strong without the twirl

Overall: Average"
3.0,null
3.0,null
3.0,
3.0,null
3.0,null
3.0,null
2.0,null
3.0,"Nose is fruit...apples and oak

Palate is small amount of smoke. Rich fruit cake

Finish is medium with more smoke"
2.0,null
3.0,null
3.0,null
2.0,null
1.0,null
4.0,null
3.0,null
3.0,null
2.0,null
5.0,"Vanilla, fudge, walnut towards the end.

Surprisingly good! Perfect for a  tumbler. Nicely balanced blend. Two thumps up!"
3.0,null
3.0,null
2.0,null
2.0,null
1.0,"smokey, woody. small amount of burn."
2.0,null
3.0,null
2.0,null
2.0,null
3.0,null
1.0,null
1.0,"At the time of this review, this ranks as my number 1 worst whisky. Nothing enjoyable about this at all."
3.0,null
4.0,null
1.0,null
3.0,null
3.0,null
3.0,null
2.0,null
2.0,null
2.0,null
3.0,"​
aromatic citrus alcohol nose. A decent blend - generic but pleasing, fairly smooth."
4.0,null
3.0,null
2.0,null
4.0,null
null,Drank this on allure of the seas.
4.0,null
null,Whisky Lounge #3
3.0,"Oaky, with a some vanilla bourbon character. Subtle peat smoke in the background."
2.0,null
3.0,"A friend of mine really likes this one, so I had plenty chances to try it out. Definitely not a bad whisky, just not really my cup of tea.
Nice light-amber/gold colour. Smell is fresh, light and sweet. On the pallette some sweet tones: vanilla, brown sugar. With fruity tones: apple, pear. Decent all around whisky, but noting special. 2.9 out of 5"
5.0,"I won’t go into the tasting notes but this was my first foray into the world of scotch, went to a friends house to drink now and then and went looking in his liquor cabinet and pulled out a dusty box of Chivas 12. Being a bourbon man I had no idea what scotch was or what to expect. I poured a glass over some rocks and was pleasantly surprised! It wasn’t bad at all and I actually enjoyed it. Now having experienced other scotches and single malts I’ll say Chivas 12 is over priced for what it is and I’d spend a extra 10 bucks for a single malt. Just my 2 cents. Also I caught this on sale and decided to pick it up for old times sake so that’s says something else"
3.0,Apple's right up front on the nose. Tastes like wood and then smoke with a bit of juice sweetness.
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,"A decent budget blend, not much going on, but nice price"
3.0,
3.0,null
4.0,null
3.0,null
2.0,null
2.0,null
3.0,null
1.0,null
3.0,null
2.0,null
2.0,null
2.0,null
3.0,"Sehr leicht zu trinken, Vanille und Toffee, leichter Nachbrand, nicht sehr stark - smooth

6/18 - Brasov"
3.0,null
4.0,null
2.0,null
2.0,null
2.0,null
2.0,null
3.0,null
2.0,"Surprisingly drinkable. Gentle blend that makes a good bae for
Many cocktails."
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
4.0,"Delicious flavor, didn’t need ice but better with ice. Very smooth, had no problem finishing a bottle"
3.0,null
3.0,Not bad
3.0,null
3.0,null
3.0,null
3.0,"Chivas Regal 12 years
Blended Scotch Whisky
Pale gold
Apple, vanilla, smoke"
3.0,null
3.0,"good starter, cheap and complex enough to appreciate"
3.0,null
5.0,null
3.0,null
2.0,null
2.0,null
3.0,null
2.0,null
2.0,"it's not bad but pretty unspectacular. sweet, tart, fruity. This would be good for mixed drinks for sure"
1.0,null
2.0,null
2.0,null
2.0,null
5.0,null
2.75,"Caramel apple, malted cereal, and a hint of marshmallow on the nose. The palate has apple juice and pepper, with some wood influences, all delivered kind of roughly, and nothing too complex. The finish has a little more pepper and peat, with some bitterness poking through. A whiff of tobacco from the empty glass. Slightly better than I remember, but pretty much the definition of ""2 star scotch""."
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
1.0,Burns. Nasty.
3.0,null
2.0,null
4.0,"Loved this one, very smooth and refreshing"
2.0,null
2.0,null
2.0,null
3.0,null
3.0,Mild taste
3.0,null
3.0,null
4.0,null
3.0,"alcoholic, slight burning nostrils, apple, burnt sugar, sweetness, vanilla, apricot / peach finish 7.3"
4.0,null
3.0,null
3.0,null
2.0,A bit of a harsh finish
2.0,null
4.0,Nice on ice!
2.0,null
4.0,null
2.0,null
2.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,Very good. Comparable to Jonnie Red.
2.0,null
3.0,null
3.0,null
3.0,"Color: The color on this blended scotch is a nice straw color. The legs are thin, but hold on for a bit.

Nose: The nose starts off the show with red apple sweetness, honey, and a hint of briny peat. 

Taste: The palate is very pleasant with honey notes, a salted almond taste, with a note of vanilla as well.

Finish: The finish is a mellow crescendo that grows into a salty and slightly smoky apex and then fades into a shortish finale.

Thoughts: This for me was a really good blend. I'm really happy I picked this up and I think many people would enjoy this. It's really popular so it isn't hard to find! Could you get something better for the price? Probably. But this is good, and definitely worth trying. Sláinte!"
4.0,null
3.0,null
3.0,null
2.0,null
3.25,null
null,TW $24.99
2.0,null
3.0,Bit of smoke; better nose than taste which flattens our quick. Pretty simple. The type of scotch that makes you grasp where scotch could maybe go.
4.0,Good for Highballs
4.0,null
3.0,null
3.0,null
3.0,"nice caramel and honey flavor. a touch of smoke. a hint of heat, but not bad for a blend."
2.0,null
2.0,null
3.0,null
2.0,Very strong. Lingering after Pete punch in the tongue
3.0,null
4.0,null
3.0,null
3.0,null
3.25,null
3.0,"I’m a little surprised that I’ve made it this long without having tried such a big name in the world of whisky. It ticks the boxes for middle of the road, good-not-great, easy drinking blended scotch - fresh apple, vanilla, honey, light smoke, hung on a slightly oily, full-but-not-rich frame. I’m never going to crave this, but at a bar with limited options for the whisky aficionado, I’d take this over plenty of other similarly priced options."
3.5,null
3.0,null
3.0,null
2.0,null
4.0,null
4.0,null
2.0,null
1.0,null
3.5,null
3.5,"Light and very pleasant on the nose. Pretty thin, but minimal burn, light smoke, and fruit. I'm tasting apple or something sweet. Sweet and smoke mostly. Tail is pleasant with lots of smoke in the back of the mouth. Everything is light and the balance is good, but pretty unassuming."
3.5,null
3.0,null
2.0,null
3.0,null
3.0,Easy drinking fine whiskey
3.0,null
2.0,null
4.0,null
4.0,i find this to be a very approachable drink.  i can enjoy it any time.
3.0,"Apples, nuts, saltiness"
null,null
3.0,null
3.0,null
2.5,null
2.75,null
4.25,null
2.5,null
5.0,null
2.5,null
3.0,null
null,null
2.0,null
1.25,Just kind of blah. Hint of apples. Very little peat
3.25,null
2.5,null
3.0,Fresh and aromatic smell.  Slight hint of apple.  Smooth beginning followed by medium heat and rougher ending.
3.0,null
2.0,null
3.5,null
3.0,null
3.0,null
2.0,null
2.5,null
3.25,"The nose has a curious fusion of iodine and toasted nuts. The first sip adds a few wisps of smoke, and then an unexpected hint of berries emerges. The sweetness lingers, finishing with a much lighter flavor than the initial greeting would suggest."
2.5,null
3.75,null
3.0,null
2.75,null
2.0,null
2.75,null
4.0,null
2.0,null
2.5,null
3.0,null
3.0,null
2.5,null
3.5,null
2.0,null
3.75,null
2.75,null
3.25,null
3.0,null
3.5,null
3.25,null
3.75,null
3.75,"Honey bomb, sweet finish. A touch of white grape and grass.  No rough edges, but short on complexity."
3.5,null
2.0,Not much flavor.
3.0,Small bite
3.0,Zeer goede blend 👍
3.5,null
2.5,null
3.0,null
3.25,"Decent blended Scotch.

On the nose, golden delicious apple slices.  On the palate, honey and charcoal ash with a hint of apple returning.  On the finish, slightly bitter and medicinal notes."
3.75,A great everyday blend. Easy drinking and smooth.
3.0,"Apples, pears, salty nuts, and a whisper of smoke. Overall, a solid whisky. Twill be good for making cocktails, such as the Penicillin."
3.0,null
null,null
2.5,null
4.0,null
null,null
3.0,null
3.75,null
3.0,null
3.0,null
2.5,null
3.0,null
3.25,"Thinner taste, somewhat better with fainter peatyness"
3.0,null
2.75,null
