star,comment
3.75,Delicate fine blend
3.25,La base.
3.5,null
3.25,null
4.25,null
3.75,null
3.5,Perfume grassy apple
5.0,null
3.0,null
4.0,null
5.0,null
4.0,
4.0,Nose: honey.
3.0,null
4.0,The entry is rather uninspiring but the finish showcases the mizunara effect and happiness is back in the mix. Light and crisp and spicy at the end and gets creamy with some water. Picked this one on a trip to Japan and you'd get the 350 ml bottles as well.
3.0,null
3.0,null
5.0,null
3.0,An interesting whisky. The Miz finish gives it a spicier edge. A little too unbalanced to make this a must buy again tho.
3.0,"Nose - Toasted/baked apple skins, cloves, black tea, oaked chardonnay, dark amber honey.
  Taste - Dried lightly medicinal jujubes, honeyed black tea, light toasted spice, baked apples, hint of black pepper spice.
  Finish - Light bitterness of oversteeped black tea, linger sweet/sour of jujubes, fading baked apple tart/sweetness.
  Score - 77/100 Final Thoughts - So the Mizunara finish on this one is somewhat minimal in that it does add a tiny bit of extra spice as well as this oddly medicinal (but pleasant) taste like that of dried jujubes, but manages to maintain a large part of the apple goodness I get from the standard Chivas Regal. Definitely tasty and worth trying if you get the chance, but I would not go out of my way to look for this one."
3.0,null
4.0,Regular Chivas is decent enough. But mizunara wood creates a category of its own. Definitely worth a try.
4.0,The lightness of Chivas with a touch of mizunara
5.0,null
5.0,null
null,null
4.0,null
3.5,null
3.0,null
3.0,null
5.0,null
5.0,null
5.0,null
3.0,null
3.0,null
3.0,null
4.0,null
5.0,Yes I e
4.0,The mizunara oak is definitely present on the nose. Simply Light and smooth.
5.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.75,"Light and smooth, some pears, honey and spice. 
UPDATE score with new system from 4 to 3.75"
5.0,null
5.0,null
null,null
4.0,"Sweet, floral, with various, distinctive spices. Very balanced, I really enjoyed it [JG 2018]"
