star,comment
4.0,"Tried this at distillery tasting room in Santa Fe.  Exciting malt, brilliant."
5.0,Nectar of the gods!
4.0,"I love this stuff, so interesting flavorful and well balanced for a young whiskey.  The mouthful is very creamy and full, and there are tons of layers to the flavors, it's not just smoky. I am very eager to have some friends try this."
null,Rokerige malt door gebruik te maken van hout afkomstig van de Mesquite boom i.p.v. peat.
3.0,null
5.0,Mine is a single barrel version. Jubilation barrel #25.
5.0,"On the nose; mesquite, sweet, vanilla, campfire. Palate; really good, slightly meaty from the smoke, pairs well with a medium bleu cheese, slightly salty, very sippable. With water; opens it up, a little more caramely, on the nose it is bbq and less campfire, kc bbq. Endlessly sippable."
4.0,"Very interesting, I saw some articles about it and recently found it at my local liquor store for $46.00 (I am in Colorado) and decided to try it. It has definitely the characteristic of a single malt scotch, not an American Whiskey (Stranahan's which is a single malt still reminders me of a Bourbon more than a Scotch). It is surprisingly balanced, it's young age shows a little on the nose but becomes much more interesting as it sits for a few minutes in the glass, the palate is surprisingly balances, a touch of mesquite smoke but nicely restrained, not overpowering the sweet vanilla flavors. I was concerned that it only matured for 2 years but they managed to have it very balanced and restrained for such a young age, definitely a good whiskey, even compared to some quality scotch Whiskies that I usually enjoy (Balvenie, Laphroaig, Ardbeg). I cannot wait to have some of my friends to try it. I look forward to try some older expressions of this well crafted whiskey as the distillery evolves (I think they were only founded in 2010)"
4.0,null
3.0,Subdued smoke and a nice round maltyness on the nose and a bit of brine. Pretty mellow on the palate but not boring. The finish is long and really spicy. Like the burn from a habanero salsa.
null,"The noise reminds me of an Islay scotch. Very pleasant mouth feel, silky smooth. The finish lingers looking at the back of my tongue. A great addition to my whisky collection."
4.0,null
4.0,null
2.0,null
4.0,Delicious. BBQy nose.
1.0,"Highly disappointing. On first taste it seems like something interesting and different, but after a couple more sips it dawned on me that it just tasted like a barbecue grill. I had to force myself to finish the glass, it was simply terrible. I'm really glad the liquor store let me return it because it really isn't worth 50 bucks."
4.0,null
5.0,null
1.0,null
null,Very nice
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,subtle smoke. very interesting and delicious
4.0,null
4.0,null
5.0,Smokey with banana
3.0,"A good, interesting whiskey. The mesquite adds a sweetness. Worth having on the shelf. I hope they put out a longer-aged bottle."
4.0,Smooth.  Hints of mesquite come through at the finish.  Nice feel on the tongue.
2.0,null
3.0,null
5.0,null
5.0,null
5.0,null
4.0,null
null,"I think I'll pass.  When it comes to ""peaty"" scotches, you either love 'em or not.  I'm a ""not""."
1.0,"too Smokey for me, reminds me of Scotch"
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
5.0,Last night with a good group of guys  and some great cigars we had this most excellent libation. This whiskey is fun and playful. The mesquite smoke does give it a different dimension while still seeming very traditional in the single malt style. The thing about this whiskey is it's youthful maturity. It's smooth like a good 10 to 12 year whiskey even though only aged 2 years in the Southwest's high deserts. The great mouth feel is oily in texture. The initial nose reminded many of us of pie crust and on the palate there was a vanilla Italian cream soda note that prevaded through the whiskey the entire night. I'd give this a 94 over a 91 but that's because of my own personal tastes. I strongly recommend this to anyone that likes a great single malt with a nice twist.
4.0,"This is a prime example of what I like about the current state of American craft distilling.  It is a decidedly New Mexico take on the single malt.  The mesquite smoke provides a subtle, slightly different flavor profile that catches one a little off guard.  To me it has a good balance and is not too smoky.  I keep thinking a hint of white chocolate mixed in with a touch of smoke on the edges.  It's a young whiskey and there is a small hint of a ""white lightning"" rawness.  One might want to compare with a Balcones Brimstone which smokes with Texas scrub oak, but I think the end result is quite different.  Definitely worth a try if you are up for a curve ball.  The bottle I tried is the barrel strength version which has a stronger flavor on the smoke side and a longer finish.  A single cube really let's it bloom."
null,$55. Mesquite smoke.
3.0,null
4.0,null
4.0,null
5.0,null
4.0,This tasty little gym and gives the boys across the pond a run for their money. It is not a bourbon it is not an American whiskey it is something of its own quasi-scotch American tastiness that delivers on every single spectrum that I love about a true scotch style whiskey. Cheers
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
3.0,null
4.0,Smooth Smokey.
3.5,null
4.0,"For those who enjoy a bit of smoky flavor in their whiskey, and feel that the Highland scotches are just too overwhelming, this mesquite smoked whiskey really deserves a taste.  It’s a perfect flavor match for sipping, and even better as an after dinner drink when you’ve had a steak or barbecue."
3.75,Very good if you’re a fan of peat smoke and looking for something slightly milder. As I made my way through the glass I started to notice the spice and mesquite a bit more. I may need to have another glass to pick these up.
3.75,Low key Laphroaig vibes
4.5,null
4.5,"Nose of cola

Light smoke that is rooty in taste."
4.0,null
4.0,null
3.5,null
4.75,"Oh man... this one is so interesting. One of my favorites! As an Islay fan, I appreciate that the smoke on this one is quite different than the peat smoke I’m accustomed to. Super smooth and always good to have close by."
3.5,Wow different.  Mesquite sweet wood undertones give this a distinct flavor.  I’d repeat it for sure
3.25,Surprised that this was tasty. Kind of found the sweet mesquite flavor way in the background which was just where it should be. We liked it.
2.5,null
4.0,null
3.5,null
5.0,If you are a Islay scotch lover you must try this. It's amazing that this is made in the States.  Give it a shot. You will not be disappointed.
5.0,null
4.0,null
5.0,smooth highland taste with little bite on the end
2.25,"Many signs pointed to this bottle being a hit: a craft distillery single malt with a smoky scotch lean & quite a few rave reviews. But in hindsight, there were red flags too, mainly the way-too-short aging of 2 years in the barrel.

Upon cracking the bottle, the nose to me was pure acetone. After a week it was vanilla & acetone. At the month mark, the nose revealed butterscotch, vanilla, and...acetone. Better with time but still underwhelming. But it was the palate that really failed. Vanilla bland with some oak and that’s it. I could never really detect the mesquite smoke. A head scratcher.

Rating: The Distiller 91 score is baffling as this just hits mid 70s in my book. Such a letdown that I legitimately wonder if I got a bad bottle/batch. Unfortunately it’s unlikely that I’ll ever acquire another bottle or even opt for a pour at the cocktail lounge to find out. 

Batch No: BBL #48
Bottle No: 96"
4.25,null
3.75,"Quite peaty and smooth, hints of caramel. Good local whisky on par with some scotches I’ve had."
4.25,"Wonderful unique. I loved the distinct mesquite smokiness, paired with the complexity of the single malt. There’s something just so American, Southwest about it, like a cowboy walked into a single malt competition and this was his entry. This is a drink to ponder and appreciate, and I loved the direction it takes."
4.25,null
3.25,"Smooth on the finish, no noticeable burn.  Front end flavor didn’t knock my socks off."
4.25,null
