star,comment
3.5,"Honey sweet & just very slightly smoky. Enjoyed neat from a glencairn at a restaurant. This is our first time sitting at a bar in 3 months. For the sake of my marriage I'll keep this short, if I could find a bottle and it was priced at MSRP I would buy it without hesitation."
3.75,null
3.5,null
4.25,null
3.75,null
3.75,"The palate is floral, citrus, and honey.  Very refreshing.  The nose covers much the same ground as the palate. The palate fades quickly, and wraps up with a citrus finish.  After 20-30 seconds, the finish is only a memory with a hint of lingering malt sweetness.  (During a follow on session, there was a splendid white wine note.)  This blend is even tastier than a few entry-level single malts like Dewar's, Glenlivet, and Glenfiddich 12 -- and at only $5-10 higher in price.  This is quite good, and for $30-40 it is definitely a pick for session drinking.



My Rating Glossary:  

Two Stars:           ""I'd rather be drinking lite beer.""
Two 1/2 Stars:    ""Posh rubbish.""
Three Stars:        ""I love whisk(e)y.  This is average love.""
Three 1/2 Stars: ""May buy again.""
Four Stars:          ""I've got to get you into my life.""
Four 1/2 Stars:   ""Better than drugs.""
Five Stars:           ""Life is good.  Whisky makes it better."""
3.0,null
1.0,null
3.5,"A blended scotch, mostly made by lowland grain whiskies, a cheap expression of Compass Box. 

Bottled at 43%abv deep gold color.

On the nose a dim, soft aroma: Lemon, Coffee, Candy. Not too much happening here.

On the palate a little better. Chocolate (typical from grain), Pepper, Oak so pleasant and smooth and Plant spicyness like oregano. Finish is very short. Dissapointing.

Overall i give this dram a very regular 71 over 100. Not the best hour for compass box in this one."
3.75,null
4.0,"Sweet and creeamy nose.
Light taste, easy finish."
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,One of the youngins favorates for a night in
5.0,null
2.75,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
3.0,null
null,WS Recommendation
2.0,"The only underwhelming Compass Box whisky I've tried. The nose is light and fruity; I think of lemon-creme sandwich cookies and it's pleasant enough. But the palate is thin and wimpy. There's a buttery vanilla note, some sweet corn. The finish is short and leaves you wanting."
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,"For the price, it's one of the best blends out there.  Better than any single malt at the same price tag. It's squarely in same price range as the Johnnie Walker Black---but a much better quality than the Black.  I think the Black uses some harsher grains or lower quality malts."
2.0,null
4.0,"This is my go-to affordable blended Scotch Whisky.  Pear, fruit compote, light, with a just a hint of spice and a tinge of white pepper on the finish, which, granted, I wish was a little longer.  None-the-less, a great refreshing daily whisky."
3.0,null
4.0,null
4.0,null
5.0,null
2.0,null
2.0,Citrusy and sweet with heavy spice. Flavor dies out quick. Great for the price. Could be more mass produced (much better version of Johnny Walker Black for the price)
4.0,Great for the price. Smooth.
4.0,null
3.0,Aroma of orange citrus light start followed by some baking spice and finished with a taste of smarties candy
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,"[Re-Review 01/26/16] Pale as hay. Faint vanilla, salted caramel, and straw on the nose.  Very light, sweet silky texture, that goes down easily.  Mushy banana purée perhaps?  It comes rough right out of the bottle, so it requires a few minutes to sit in order to soften up.  Addition of water creates a milky sweetness that could go either way.   Moderate lingering finish.  Nice burn on the tongue. Comparing it to other blends in it's range I believe it does much better, but it's still nothing too amazing.  I would give it a 3.5 if I could."
4.0,88pts. Very good blend.
4.0,Delightfully creamy and smooth.
