star,comment
5.0,null
null,Sounds interesting.
2.0,null
4.0,null
4.0,
4.0,null
3.0,Not as peaty as you'd except
1.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
2.0,null
5.0,null
4.0,null
2.0,null
3.0,null
4.0,About as peaty and smoky as lagavulin if not a touch more so. Definitely not as smooth. Great if you want something really smoky and don't care how it goes down.
4.0,null
2.0,Way too peaty
null,À essayer
2.0,Unrelentingly peaty. Smells like whiskey-soaked bog.
null,Må prøves
4.0,null
3.0,null
3.75,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
2.0,null
4.0,null
4.0,null
3.0,null
4.0,Peaty and smoky. Light and thin body. Finish is a bacon-y smoke
4.0,null
3.0,null
4.0,Nice and peaty
3.0,null
3.0,null
3.0,null
3.0,As big and peaty as advertised.
null,To try
4.0,null
4.0,Nice dram for a summer's day
1.0,null
4.0,null
4.0,null
1.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,"Smoky, spicy and interesting"
4.0,null
4.0,null
5.0,null
2.0,I was disappointed. I love peat and expected much more from a blend called Peat Monster. It was only moderately peaty and doesn't stand up to a Laphroig or Ardbeg
4.0,null
3.0,null
4.0,"Very smooth, perfectly smokey/peaty, a favorite"
3.0,null
4.0,null
5.0,More of a smoke monster
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
3.0,null
3.0,"Quite strong!  Nice and peaty but then quickly drops into a peppery fruit. The finish is medium long and dry. Good, but not great."
null,It's official...I don't like Scotch.
3.0,null
4.0,null
2.0,null
4.0,null
3.0,null
5.0,"Love peat? You'll love this bottle. If you're with friends don't be surprised if they as you to place a coaster over your glass between sips, as the aroma can overpower some."
4.0,null
4.0,Libertine Liquor Bar's peaty selection
4.0,null
3.0,null
3.0,null
3.0,null
null,M
2.0,Off putting odor and a bad flavor
3.0,null
3.0,null
3.0,"It's good and fine, but in no world would I choose over anything from Islay. Laphrpaoig, Lagavulin, Ardbeg etc."
3.0,Okay but not as off the charts as I'd expected
3.0,null
1.0,null
2.0,null
3.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,"Nose: Strong but sophisticated smoke (Caol Ila style), then comes rubbery peat. Bit medicinal and fruity. Water adds pepper. Empty glass smells like gunpowder, nice!

Taste: Botanical notes with sweet and heavy peat. Bit fruity as well. Water sweetens and softens the palate even more.

Finish: Dry oak, warming and burning peat lingers well in the aftertaste. Water brings out pepper.

Balance: Nicely balanced vatted malt. Pretty straight forward but good dram."
1.0,The most awful thing I've ever had in my mouth! If I could have given it a negative rating I would have.
2.0,Not a very attractive flavor or scent to me. I'll stick to my Laphroaig
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
3.0,null
2.0,null
4.0,null
4.0,Sweet and smokey yet surprisingly sharp with a lingering finish.
3.0,null
3.0,null
4.0,null
5.0,null
3.0,"Compass box best seller with a amazing peaty flavor.  I love that earthy, peaty smell and finish."
3.0,null
3.0,null
2.0,null
4.0,null
3.0,null
4.0,Wow!  Ive never tasted so much peat and smoke and yet its smooth.  The peaty flavour lingers forever on the tongue and its great.
3.0,null
2.0,null
3.0,null
4.0,null
5.0,"I work for a company that sells various whiskey so a PR rep from compass box came in to have for a tasting. Immediately your hit with smoke on the nose. Extremely well balanced, and goes down wonderfully, slightly briny and a touch salty. If you were to add alcohol to a stream from the Hebrides, let it mature, and taste, this is what you would be left with. This was my first taste of anything from compass box and it was very well worth it. If your into peated whisky this should definetly on your shopping list. Fantastic whisky!"
3.0,null
