star,comment
4.0,null
3.0,null
3.0,null
3.0,Vanilla and honey on the nose. Good mouth feel with an oakey finish. Not very boozy.
4.0,null
3.0,null
null,Meh. Very bland. Although I am not a fan of wine and have never tried Concannon I still prefer more of a complex whiskey than this has to offer for my taste
4.0,null
3.0,null
3.0,null
4.0,Very drinkable Irish whiskey. Aged in petite sirah barrels. Good compromise for my peat loving fiancée and my Macallan loving self.
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
1.0,Kinda bland
3.0,null
4.0,Medium length with spice and honey.
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
4.0,null
2.0,null
3.0,"[07.19.2016] Tolerable Irish whiskey. This one is sweet and floral, smooth, not sophisticated. Easy drinker that I'd keep around for a low price."
3.0,null
4.0,null
2.0,null
