star,comment
4.0,null
3.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
2.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,"Very sweet, fruity, honey notes"
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
5.0,Ned and Jan gave me at Christmas 2014. Really good
5.0,null
3.0,null
4.0,null
3.0,null
3.75,null
2.25,"Honestly Not impressive, I actually its worse than regular Crown royal. very bland"
3.5,null
3.5,null
3.0,null
4.0,null
3.5,null
3.0,null
4.0,null
4.0,null
4.0,"This is really nice. Hot peppery, touch of citrus. Interesting"
3.75,null
3.75,null
4.0,Une belle surprise! Belle jambe et un goût légèrement épicé.
3.0,null
4.0,null
4.75,Super smooth. Good drinking whiskey! No afterburn.
4.0,null
5.0,null
2.0,"Ethonal on the nose, flat"
3.0,null
5.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,"Very smooth, rich flavor. Smooth finish"
