star,comment
4.0,null
4.0,Refreshing and a hint of crisp citrusy after taste. Definitely worth a try.
4.0,null
5.0,"Wow - one of the smoothest whiskey sat this age (2yrs) that I've tasted. Not much of a long finish, but excellent flavors on the into total sip and very drinkable."
4.0,Scotch Noob.  KLWine
5.0,null
4.0,null
4.0,null
4.0,null
1.0,null
5.0,null
3.0,null
4.5,"I was surprised by this... deep flavor, I got a lot of spice and caramel.  Would definitely get another bottle if I could find it.

Was a gift from a Neb friend.  Going to ask him for another one."
4.75,Spicy rye blends into green apple and salty caramel
4.0,null
3.75,null
3.5,not too bad
5.0,null
4.5,null
1.5,null
2.0,null
3.0,null
2.0,null
3.0,null
2.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
