star,comment
5.0,null
5.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,"Sweet malt/bread on the nose, some citrus.  Creamy toffee on the palate, glycerol.  Medium finish with chocolate and cedar notes."
5.0,null
null,Sauer wedding
4.0,null
3.75,null
4.75,Rare Scotch Flight - Brandy Library
3.5,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
3.0,null
4.0,null
3.0,I haven't had this one in probably a year or more. I don't remember it being my favorite of the Dalmore's I had tried. A bit sweet for me if I remember right.
