star,comment
4.0,This is fantastic.
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
null,A bit too soft with less than stellar finish
4.0,null
5.0,null
3.0,A little too peppery for my taste.
3.0,null
5.0,null
3.0,null
5.0,null
5.0,null
4.5,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
null,Köp!
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,One of the best bourbons I have tasted. Tried at Hard Water SF (2/22/14)
4.0,null
5.0,One of the best
5.0,null
4.0,null
5.0,Great
5.0,
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,The English breakfast tea and cherries are undeniable in this whiskey...and I'm a tea lover!
4.0,Ok. Good stuff.
5.0,null
3.0,10 year is much better. the caramel and vanilla are lost and replaced by more smoke
5.0,null
5.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,Very nice whiskey at good price
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,Brittle. Dry. Cinnamon.
4.0,null
5.0,Tried it at the distillery on Halloween 2013
3.0,A more bland version of the much better BTAC. It's good but not worth the price.
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,"Very, very good (but not as good as the 1792 when viewed on a dollar basis).  But really smooth."
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
2.0,Bah.
4.0,null
5.0,null
4.0,null
4.0,null
4.0,"Verygood, too bad its so hard to get...once a year ,if you find it  your lucky"
4.0,null
4.0,null
5.0,null
5.0,null
2.0,null
5.0,null
5.0,null
null,10 yr is very good. Let's try the 17!
5.0,null
4.0,null
4.0,"Sweet, rich, delicious"
4.0,null
5.0,"Clearly above my pay grade (complexity)!
Yet, hard to decipher because it's so well balanced, actually melts in the mouth. Probably the easiest drinking bourbon I've had the pleasure to enjoy."
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
null,Buffalo Trace Antique Collection
5.0,null
5.0,null
null,1982 101 proof
3.0,null
5.0,null
3.0,null
5.0,null
3.0,null
4.0,null
5.0,null
3.0,null
3.0,null
4.0,null
5.0,null
4.0,My favorite Bourbon. As close as you'll come to drinking good pipe tobacco.
4.0,One of the best out there for the price.
5.0,null
4.0,null
3.0,null
5.0,Eagle Rare is great. Eagle Rare 17 is the best bourbon I've ever had.
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,
3.0,null
4.0,null
4.0,"—ABSOLUTELY NOTHING LIKE EAGLE RARE 10—  just for the record. This reminds me of more of Thomas handy, but a little dryer. It’s complex and soothing- 
Nose: campfire s’mores, roasted chestnuts
palate: subtle dry vanilla berry unsweetened dark chocolate, hazelnut.

Finish: dry, light oaky Carmel. 

It’s pretty good but I wouldn’t bend over backwards to acquire a bottle."
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,2011 Eagle Rare 17 @BPP
5.0,null
5.0,null
4.0,"Hits with consistent heat through the palate which I like. Spice, leather, cherries notes. Easy finish. Very good bourbon but this bottle labeled Spring 2013 not worth price tag to me."
4.25,null
4.25,null
4.0,null
4.75,null
0.0,null
3.75,null
3.0,null
5.0,null
null,Whiskey advocate - 94
