star,comment
4.0,null
2.0,null
null,"——————///——————
Liquor Barn Hamburg - Lexington KY
09/16/2017
$30"
1.0,null
4.0,null
4.0,excellent mixer
5.0,null
3.75,null
3.0,null
2.0,null
3.0,"This reminded me a lot of Evan Williams Bottled-in-Bond White Label, which I enjoy.  There is a lot of sweet vanilla and caramel on the nose and palate, but the finish is short and just ""okay"".  Worth buying a bottle if it's released in your area."
5.0,null
4.0,null
3.0,null
5.0,I am in awe of how good this is. Tastes like crackerjacks with a subtle hot kick. I will pick up another bottle each and every time I see it. I like this a lot.
5.0,"This is a great bourbon for the price(as are most BiB). Smells like a Rickhouse. Vanilla, carmel, graham cracker up front with a peppery burn medium finish. It’s a nice everyday drinker that I wish would stick around."
4.0,"Enjoyable BIB! Heavy vanilla/caramel up front, sweetness gives way to candied fruit, pleasant warmth, and smooth going down. Good Value / will not be my last bottle."
5.0,null
3.0,null
2.0,Opened 1/26/18
4.0,null
4.0,"Tasty, especially for price. Give it a try, you won't be disappointed."
4.0,"This is a fantastic bourbon for the price point. 

Carmel, honey, oak. Medium long finish with pepper and cinnamon. This stuff is fantastic. 

Skip the hunt for blantons or eagle rare and pick this up."
3.5,null
3.75,null
2.5,null
2.5,null
3.75,null
4.0,null
4.0,null
4.0,null
3.25,null
3.0,null
3.0,null
4.0,Amazing BiB
4.0,null
null,null
4.0,null
3.0,null
3.0,null
3.0,Very sweet and extremely easy drinking for being Bottled in Bond.
3.5,null
3.25,null
3.75,null
3.25,good value
3.5,"As I’m sitting here watching the Saints and Rams make for an entertaining Sunday afternoon I decided to pour a bourbon sample that was given to me by @pollywollydoodle.  Early Times BiB uses a mash bill of 79% corn, 11% rye and 10% malted barley. Bottled at 50% ABV and is natural color of dark rusty copper and I suspect is chill filtered. 

The nose starts with toasted oak, lots of cherries which is a nice find, grilled plums and caramel. Corn, but not too intense, especially considering the high percentage being used, mint and vanilla. Candy corn and some faint cotton candy. Overall not very sweet though. Almonds, anise and some light ginger. At the bottom of the glass I swear I got some toasted sesame seeds, really interesting. 
Water brings out more vanilla, some maple syrup and faint barley. 

The palate is all oak, pepper and wood spice on the arrival. Vanilla and light caramel with some faint cherries. Barrel char, black tea and brown sugar. Slightly harsh at times but it too bad. 
Water takes the spice down a little but adds nothing. 

A medium to full bodied mouthfeel that is oily, mouthwatering and tongue coating. 
The finish is medium length with oak, tea, pepper and anise. 

Not bad for a younger bourbon, but not too complex and the harshness that comes and goes on the palate is a negative hit. Good base flavors, somewhere between a sipper and a mixer. Water really helps you sip a little easier and I suspect this would be pretty good over a big ice ball. 3.5
Cheers"
5.0,null
2.75,null
3.5,null
3.75,null
3.75,null
3.75,"Boy this is a tough one.  You know how you head for the liquor store ""knowing what you want""......and POOF! you get there, the spirit you want isn't there?  Well, I was looking for a second row bottle for the the decanter......(lots of good choices).  The sales clerk introduced me to a third row bottle....What the heck?....100 proof bib for $22.00 for a full liter. (You know how you hate that a 750ml bottle ""goes FAST"".)   Brought it home....did the usual stupid rituals .....not too bad!  It seems like this would be a special treat for the ""shooter's"" in your crowd, but a bit of a harsh sipper.  I gave this spirit 3.25 stars, PLUS 1 half star for being a good bargain.  I will keep this spirit around  for mixed drinks and shooters."
3.0,null
3.0,Meh not very complex tastes like it’s cheaper counterpart. Good for the uninitiated corn heavy bourbon.
3.5,null
3.5,Imagine Henry McKenna 10 year with more alcohol on the nose and less complexity on the palate. Yet overall a fine taster for a cheap handle
4.0,This is good juice.  Smooth for a bib.  Way underpriced.  Grab it.
4.0,"raisins, brown sugar or baking spices. this is a wonderful bourbon."
3.5,"This is a tremendous value.  Good enough to drink neat, cheap enough to use in cocktails with a proof well suited for that use. A definite add to your collection. A little astringent on the nose, but very smooth on the palate. Buttery caramel with nice viscosity and a decent finish."
4.0,null
null,null
3.25,null
3.5,"Nose: Vanilla and brown sugar
Taste: warm vanilla
Finish: pepper and some sweetness"
3.25,null
3.75,null
3.5,null
3.5,Lots of corn and spice. nose of acetone. But not bad!
3.75,Heat to start with slight fruity flavor.
4.0,"Rating as a 4 because of the price. Great value! Great caramel, vanilla, corn - and then good spice of pepper, leather, and lingering bite. Can sip but a bit alcoholic, great in cocktails."
3.75,Oak and pepper with some vanilla. Nice finish medium to long. For the price I think this is a steal! Easy supper and strong enough to hold up in a cocktail
2.5,null
4.25,null
3.5,null
3.5,null
4.0,Good. Pretty good.
