star,comment
4.5,null
4.5,I hate to jump on the hype train but this is just SO GOOD!
3.75,null
4.0,null
4.5,null
4.5,Thick viscosity. At first similar to a syrup but with a wonderful slightly sweet caramelly finish.
4.5,null
5.0,null
2.0,Too sharp
3.5,null
4.0,null
3.5,"I was very fortunate to find this bottle at a local liquor store on the top shelf for $50.  I don't think they knew what they had and I've been back a couple times and they have nothing interesting beyond a couple of faded bottles of Weller Special Reserve at $60.  Meh.

Update: Some time oxidizing in my liquor cabinet has greatly improved this and I like it a lot more. 

Nose: Amazing.  Explodes with green apple, vanilla, baking spices, especially cinnamon, some oak in the background but mostly sweet and tart apple pie notes.

Flavor: Rich and coating but with a strong alcohol bite up front which I barely got on the nose.  Still delicious apple pie notes with buttery streusel crust.

Finish: A little short but creamy vanilla soda and then a little wood and then nada.  Not complex or long but delicious nonetheless.

I kept going back to the glass for the wonderful nose and the strong flavors but was a little disappointed by the blah finish.  Still a very nice whiskey."
4.25,"vanilla, stewed fruit and some spice. really nice for the proof"
4.5,null
4.5,null
3.25,null
4.75,null
4.25,Maple nose with floral undertones. Pallette starts spicy with rising sweet and burn beaking near the finish. Very complex and surprising. Points deducted for being so hard to find. But a 4.5 on its own.
4.75,null
4.0,null
4.25,null
4.0,null
4.0,null
4.5,null
4.0,"Happy to find this at Sylvain in New Orleans. As others have said, similar to Blantons but spicier."
4.5,null
4.25,"Bottle pour neat in a Glencairn at Jack Rose Saloon in DC on July 4th.  Nose is very mild, creamy, rich, and moderately sweet, with caramel, vanilla, and peach. Taste is similar; mild but flavorful.  Long finish is mild but tasty.  Big fan.  7/4/19"
4.75,null
4.5,"If you find it, buy it. Enough said."
4.25,"Recommendation from Matt.  Blantons, but aged longer."
5.0,Very good. One of my top 3!
4.0,null
4.0,null
3.0,It wasn’t my favorite
5.0,"Super smooth
Light caramel"
4.75,null
3.0,Nice finish. Very smooth
4.5,null
4.5,"The nose is vanilla and spice.
Very woody at first.  Long, dry finish.  It takes a while for all the flavors to develop- this is a subtle bourbon.  There is a strong sweet rubbing alcohol like flavor from swishing it around my mouth.  Amidst this, there is a grassy and floral flavor - I get strong rose petals that come out over time.  There is a sweetness, maybe apples on the tip of the tongue.  I also get marshmallow."
4.5,null
3.5,Expected much more. Smooth but plain. Too mild for me.
3.5,null
