star,comment
3.75,null
null,null
null,null
3.5,null
1.75,null
2.75,null
3.25,null
3.0,null
1.25,"spicy nose, major alcohol dominance.  Vanilla and chared American oak.  bitter and plain.  ultrashort finish.  vanilla and Carmel.  heavy burn.  and cinnamon"
3.25,null
3.75,null
null,null
1.75,null
3.25,null
3.0,null
2.5,Solid bourbon if BIB is not available
3.0,null
2.25,"Good for the money if you mix it, rather caustic otherwise. A lot of vanilla."
2.5,I've seen a lot of people positively review this but it tastes like barely aged corn liquor with a cloying over sweetness I'd rate it a 1.5 if not for the value. The nose is deceptive with a spicy oak smell to it but it doesn't transfer over into the taste at all and all I got was a fairly raw overwhelmingly corn liquor or moonshine taste. Still though I'm rating at 2.5 stars only because at this price point it would make an excellent mixing or introductory Bourbon. Those with very new or unrefined palates for whiskey or those who mix only could enjoy this because the low spice and overwhelming sweetness and it would make a pretty good entry whiskey. If I drank my whiskey anything but neat with the occasional water splash I'd probably rate this higher as again it mixes well.
0.25,null
2.75,null
2.25,"Not the worst daily sipper if your want something cheap. Better than Jim Beam in my opinion.  Standard bourbon notes of caramel, vanilla, and brown sugar with a little spice on the finish. I always have some in my bar."
4.25,"Nose... Apples, raisins, pears, and a slight citrus scent, gives way to a light woodsy profile...

Appearance... A medium to dark amber...

Taste... A heavy dose of fresh wood and leather came directly to the forefront upon the initial sip. From there I picked up notes of cut grass, pepper, vanilla and honey...

Overall... Although the price point is so so low, which can lead to a bit of skepticism, this bourbon truly packs a ton of nuance and flavors. I really find myself reaching to pour another neat glass which I do with ease since the price is so darn easy on the wallet... I'll be buying more for nights when I need that extra glass to get to where I need to be... Excellent value..."
2.75,null
2.0,null
3.0,null
3.75,null
1.0,Tastes extremely young and almost artificial in sweetness. Almost likes it is trying to be sweet rather than just being what it is. Maybe it's ok to mix with coke but...that's even a stretch. I'd rather smash a couple Natty Daddys than drink this.
3.0,null
4.0,Oak and vanilla aroma. A rich sweet flavor with a touch of spice and smoke. Finish burns through the nose and carries the smoke to the end.
2.75,null
2.5,"A great go-to. While the flavors flat-line, they are not dull either."
3.0,"Very nice, young bourbon."
2.0,null
2.5,null
5.0,null
5.0,null
4.0,null
2.75,null
4.0,null
4.0,null
1.0,Mostly alcohol and no flavor.
3.5,null
3.5,null
2.0,null
3.0,null
3.0,null
3.0,Good everyday bourbon.
3.0,null
2.25,null
3.0,null
4.0,"This is excellent bourbon in blind tasteings this will consistently be among the top picks, people let price cost influence their decisions.  If you have never tried it grab a bottle you won’t be disappointed."
2.5,"Charred molasses and grain on the nose. Palate is a quick punch of oak and rye that drops out into a strangely watered down grain taste before the spice of the rye pours back in, chased by oak and apple. Tasty, if not particularly complex."
3.75,null
3.0,null
3.0,"Nose: Vanilla, Caramel, Brown Sugar, Green apple, cherry, Butter, Currants 
Taste: Caramel, Scotch 
Finish: Spice"
3.5,Great taste for a cheap Bourbon.  Not too much of a kick.  Left me with a slight headache the next morning.
2.0,About the same as jack. Just a different taste. Equally as mediocre.
2.75,null
2.5,"After resting ten minutes there’s a bunch of ethanol on the nose along with some warm baking spices and sweetener of some type. The mouthfeel is big and a bit harsh. Tastes kinda like a Chic-O-Stick. A touch of 
water brings out a bitter note. For a similar price I’d rather have the 1783."
3.0,null
2.0,null
2.5,null
3.5,null
3.25,null
3.0,null
2.5,Not a lot of options by the time you are drinking this one; fine but no redeeming qualities or characteristics 🥺
3.0,null
2.75,null
2.5,null
4.0,null
4.0,null
2.25,null
null,null
3.75,null
3.0,null
5.0,null
3.5,null
2.0,null
3.0,null
3.5,null
2.75,null
2.25,null
3.25,null
2.75,null
2.5,Mixer
2.5,null
2.0,null
3.75,Same flavor as the BIB but not as strong. The throat burn sticks around a while though.
3.75,I like this when I am having a party and I don't want to share my really good bourbon
2.75,null
2.75,"This is good for the $14 price.  Smooth is the word.  Not complex and a bit too smoky for my taste.  For a few dollars more, just get the EW 1783."
3.0,null
3.25,Good solid cheap whiskey.
3.0,Incredible balance and such a good value
3.0,null
2.0,null
2.0,null
2.25,null
3.5,null
