star,comment
3.0,null
4.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
4.0,the chardonnay cask helps lighten the harshness that rye can have. good to drink but doubt I will purchase bottle
4.0,4.0
4.0,null
3.0,null
3.5,null
4.0,null
2.0,null
3.0,null
4.0,null
3.0,null
4.0,null
2.0,null
4.0,null
3.0,null
5.0,null
4.0,null
2.0,null
3.0,null
2.0,Pretty boozy
4.0,null
3.0,null
4.0,Unique rye. No spice whatsoever. Ultra smooth with an interesting sweetness to it due to the white wine barrels it ages in...
3.0,null
4.0,null
4.5,null
2.75,Good mixer
null,"Sweet, wine"
4.75,null
3.0,null
4.0,null
2.25,null
4.0,null
3.5,null
4.25,null
