star,comment
4.0,"Purchased in southern Cali for 75$. Smooth, spicy, smokey, creamy, some mild sweetness. Water opened it up a little. Smells like oak, wood, maple, figs, some toffee."
null,"Just purchased in OK for $54, can't wait to try it out"
5.0,"Awesome - smooth! Only other Orphan Barrel  that I've tried is Barterhouse and this is much better  in my opinion, a lot more complex. A good price performer at $70 - if you can find it."
5.0,null
null,Purchased in February 2015 from Sunset corners for $68.
5.0,null
2.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,"Purchased today from a Total Wine store in NJ for $69. Very excited, already have the Barterhouse bottle. Will give it a try tomorrow. Stay Tuned.
Ok...tried it. Sensational.  I agree with another post here;  much better than the Barterhouse.  Could very well be my favorite to-date. Incredibly smooth, excellent finish."
5.0,null
5.0,null
5.0,null
4.0,null
null,"Had in Alexandria, VA after Uncle Mikes funeral. $14/2oz. Damn good with a single ice cube."
4.0,"Sweet nose, strong tasting notes of butterscotch, vanilla, caramel. A little floral on the palate.  Adding some water or an ice cube does wonders to bring out the favors and cool down the bite and bring out a more bolder, oaky, richer body. Not a smooth as I'd expect from something with this age statement but it still reminds me of an older Weller 12 year."
4.0,null
5.0,null
4.0,"The reviews I read were dismissive, but I love it."
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
1.0,null
5.0,"Best nose on a bourbon I've had. Smooth, complex, butterscotch awesomeness"
4.0,null
5.0,null
5.0,null
5.0,Woodsy and suitably sweet for a bourbon. Excellent.
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,Very tasty just too expensive
4.0,null
4.0,"Big cinnamon, plum and burnt orange. Caramel apple and roasted walnuts followed by a crime brûlée finish."
4.0,null
4.0,null
3.0,null
4.0,null
3.0,"Very woody.. Hence the name. Not old blow hard strong but woody. Decent bourbon, at the very least it tasted different than anything ive had. 

Not as rare as it was hyped to be. I got the lastbittle on the shelf. Within 7 months the shelf was full of them"
4.0,null
3.0,null
5.0,null
4.0,null
5.0,null
4.0,"Notes: bright fruit and citrus peel, oak, red licorice, berry, butterscotch  Taste: Oak, dark chocolate, leathery and toasted almond Finish: well balanced oaky slightly astringent with a drying quality"
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,Woody and smooth.  Don't care where it came from; it tastes great.  Is it worth the price?  No.  Too thin and not complex enough. Tastes like average juice that was extra-aged.  I like to pair this with a smoked brisket.
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,Very very smooth with a buttery finish.
4.0,null
3.0,null
4.0,null
5.0,null
3.0,Has an ok flavor profile.  The price ranges a lot from place to place.  At the lower price points this isn't bad. At the higher price this is a skip.
4.0,null
2.0,"Another lackluster effort from the Orphan Barrel series. There are two main problems. First, it's very thin. This would definitely benefit from a higher proof. Also, the flavor is very one note. All I get is vanilla. There is no depth of flavor, nothing, just vanilla. Luckily, I was able to get a pour in a bar and save some money."
2.0,null
4.0,null
4.0,null
3.0,null
3.0,null
5.0,Want to try
3.0,null
4.0,Amazing! Smooth and tasty
4.0,null
3.0,null
4.0,Little too spicy for my taste on the front end. Has a nice smooth finish and an even nicer lingering aftertaste.
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,Great whiskey
null,Purchased in TN for $67 along with Gifted Horse; yet to try this. GH was amazing
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,"The Liquior shop Vicksburg, MS $68"
4.0,null
4.0,null
3.0,null
4.0,null
3.0,"This one lacks the complexity / depth that I was looking for at the price point.  Overall, I will say it is pretty smooth, but mostly oaky in flavor."
5.0,null
5.0,null
4.0,"He shoots, he scores!!
Robust vanilla and zing like Old Forester Birthday, not as sweet, better balance. Probably my favorite strong(er) vanilla selection yet. 
[Selanne Steak Tavern, 9th wedding anniv.]"
4.0,Excellent. Oaky. Great nose
4.0,null
4.0,null
5.0,null
4.0,"Straight- spice and oak right up front, followed by a light sweet vanilla warm finish.
A few drops of water- sweet vanilla and oak, a lot of oak, nice warm finish"
4.0,null
5.0,Full vanilla flavors. Very smooth. Very little aftertaste.
4.0,null
3.0,null
null,2017
3.0,"On the nose and palate, it's oaky spicy vanilla. Richness hangs around on the tongue."
4.0,"This vanishing product is a descent 15 year and the name absolutely fits it's notes.  Nose of oak, wet wood, dried vanilla.  For me the oak is dominating the field.  body is light matching it's color which is surprising for a 15 year.  Palate of spices, peppers, Carmel.  It sweetens at the end in a very nice way.  The tannins from the wood come out.  I enjoyed this one, I wish the $65 price tag was a bit lower.  Keep drinking my friends... Skol!"
3.0,null
5.0,null
4.0,Simple and smooth with a slight playfulness. Hard to identify a lot of the notes. Mellow sweetness that keeps reminding me of red hots.
3.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
3.0,null
3.0,"I enjoyed it, but not worth the hype.  Luckily I only paid $65 in PA."
5.0,null
5.0,null
3.0,null
5.0,null
null,"Early collection. R&B Liquors, Nolensville"
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
2.0,null
3.0,null
4.0,null
null,Strong overpowering oaky finish but still good
4.0,null
3.0,"A serious helping of oak, the aroma is unique and overwhelming. The powerful tastes seems like it should be a higher proof. Not my favorite OB. 11.14.17 Columbus, OH"
4.0,null
4.0,null
4.0,null
4.0,null
4.0,"Lots of vanilla, a little heat and fruit.  Touches of acetone.  Flavor is definitely oak forward and overshadows some of the flavors.  Peppery finish.  Light, goes down quick."
4.0,Hot!!!
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,"Honey nose, palette is spicy and sweet with a peppery finish"
4.0,null
4.0,null
3.0,"The nose is waxy and mainly features the woody and vanilla scents of oak -- I almost wanted to shout, ""Timber!"" when drinking it.  The palate is not as complex as I'd hope for the age, with subtly sweet flavors, but first and foremost a bittersweet oak.  I had a hard time pinpointing or describing flavors, but I didn't find a lot of the typical caramel or fruit flavors of other bourbons.  The finish is well-rounded and mild:  banana nut muffins, spice, and oak.  The finish is the best part.  I've seen this bourbon for $90 and I've seen it for $150, and I wouldn't buy it at either price."
5.0,null
