star,comment
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.75,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,null
4.0,Smooth with vanilla and butterscotch overtones
4.0,null
5.0,Lovely mixed or on the rocks
4.0,"Sweet corn and rye sting hit first on the nose, then a fruity caramel. Sherry notes and a hint of orange peel as well. On the first taste a wash of pepper, rye spice, and sherry-influenced fruit. Quite surprisingly soft on the palate, a bourbony initial presence that barely registers alcohol. It's practically mellifluent. After sitting on the tongue the rye spice comes out more powerfully."
4.0,null
3.0,null
3.0,null
3.0,null
3.0,Needed ice to soften the spice. Want to try the limited editions as this wasn't my favourite.
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,Spicy vanilla smell with a bite on first taste but a nice smooth finish.  My new favorite Canadian whiskey. Excellent price
1.0,null
4.0,Rich tasting sipping whiskey
5.0,"I find this to be a well balanced whiskey, very easy to drink. Great for most occasions, it's my ""go to"".  One of the best Canadian whiskeys for the price. I find others to be a little on the sweet side. Recommended if you enjoy a smokey taste with a side of vanilla and almond."
3.0,null
3.0,null
4.0,null
4.0,This seemed very smooth and flavorful. Really easy to drink
1.0,Drek
3.0,null
3.0,null
4.0,null
3.0,A very smooth whiskey however I find that it lacks a little in flavour and body.
4.0,null
4.0,null
5.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
3.0,Exactly as Feldmann puts it below.
2.0,null
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
2.0,null
3.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,"Mellow in the front of the mouth, sharp in the back."
3.0,null
3.0,null
2.0,null
3.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
2.0,null
4.0,null
2.0,null
