star,comment
1.0,null
1.0,null
5.0,"Incredibly well done. Smooth body, textured finish. Once it opens, with help of a bit of melted ice, the nose & palate balance perfectly."
5.0,null
5.0,null
1.0,null
3.0,null
2.0,"@DryHop. Herbal and molasses on the nose, kinda creamy with a touch of savoryness. Very light body. Palate is spicier and more herbal than expected, with molasses, corn and oak.  $80 a bottle seems a little strong to me, personally. Fall 2013 bottling."
5.0,null
2.0,null
3.0,null
3.0,null
3.0,null
5.0,null
5.0,null
5.0,"Earthy mossy nose. Initial bite with a mellow, semisweet finish."
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
2.0,null
5.0,"I had a bottle of Fall '14. Loads of leather on the nose, like walking into  a boot shop. That's followed by vanilla, sweet corn, corn muffins, nutmeg, and cherry cola. The palate is smooth, creamy, inviting. It leads with smoky leather, followed by sweet corn and vanilla. The finish is a bit tannic, with slightly bitter oak, leading into cherry cola, followed by bitter chocolate and espresso. I am also left with an impression of sweet cream butter, which is present throughout the palate, and some indefinable sour citrus on the mid palate. Quite easily my favorite whiskey."
5.0,null
3.0,null
5.0,Definitely leather on the nose and pallet. More of a saddle leather than baseball glove. Pretty good for a young whiskey.
1.0,Too high in corn
3.0,"Brand new leather baseball mitt on the nose, some dark chocolate with red pepper flakes on the palate. Just needs 2-4 more years in the barrel to temper the corn a bit."
5.0,null
4.0,null
4.0,null
4.0,null
1.0,"If you took bourbon and soaked bacon, old leather shoes and what's left over from a smoked cigar in it you get this.  I wouldn't call this bourbon by what most would expect from a bourbon.  Heavy on corn.  Seems like it wasn't ages long enough yet its overpowered by these flavor which aren't balanced out.  Also think it's way overpriced.  I have a large bourbon party every year and no one will drink this stuff."
2.0,null
3.0,"Good but dry, little bit of after burn"
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,null
3.0,null
5.0,Yum
5.0,null
5.0,null
1.0,null
5.0,null
2.0,null
3.5,null
1.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
4.0,"Fall '13 was really nice. Not as sweet as I would like, but very good"
3.0,null
2.0,null
2.0,null
5.0,null
1.0,null
5.0,null
2.0,"It gets a 10/10 for uniqueness but only about a 2/10 in quality. This is very special bourbon, and for me not in a good way. The nose and taste are like nothing I've ever had. Very musty, sort of like a wet, damp sock. Very high corn taste which wasn't bad to me, but it was lost in and overwhelmed by the dank taste and feel. Complete lack of traditional caramel notes you find in almost every bourbon. Unfortunately I'm not sure what bottling I had. Glad I tried it, but would never ever consider paying $70+ for a bottle. Wouldn't mind trying one with more age, although maybe the Texas heat is what ruined this bourbon.  If you're looking to buy this, my opinion would be to listen to those who say something similar and not those who praise it as a top bourbon."
4.0,"Fall '14. Very nice bourbon, a great expression but WTF what a price.
    Colour is great, very clear caramel, and with a little water it won't get cloudy. I tasted it at about 70 proof. At the nose, definitively leather, but with some oily smells like roasted sesame and a little spicy pepper flavour.
    Body is smoky, creamy with embers, aftertaste is metallic with a slightly bitter note.
    Base notes are, for me, earthy with a little bit of dried fruit.
    4 stars, great spirit."
4.0,null
4.0,null
2.0,null
4.0,null
3.0,null
3.0,null
2.0,null
2.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
null,Single Barrel
4.0,null
4.0,null
4.0,"Did the distillery tour and fell in love with Hye, Texas and Garrison Brothers. I would love to come back to help with bottling. Every bottle was hand signed and hand sealed. The taste was stronger on the spice than I anticipated with the high corn sweet, but well balanced. I prefer this with just a bit of water."
5.0,null
4.0,null
5.0,null
4.0,"Nose: Corn, corn, corn - corn on the cob, just cloying almost...indian corn and green corn husk. Yellow Corn.  You get it.  Wheat, wet sand, chewing gum, thick syrup, sugar, belgian waffles, brown sugars, cinnamon dough, a cookie-ness to it.  Funnel cakes candle wax, marshmallow and hay are on the back of the nose.  Pallet: crazy smooth, TONS of corn, spice on far back pallet, then covers pallet.  Sweat tea, alcohol but very rounded and bouncy.  Very unique.  More wax on the back pallet but not unpleasant.  Finish is paper, sweet syrupy with granulated sugar, some pleasant spices, whispers of a buttery smokiness and....corn corn corn....."
4.0,null
5.0,"Texas through and through, lots of flavor  with a kick in the pants."
5.0,null
4.0,null
4.0,null
4.0,null
2.0,null
5.0,null
2.0,null
4.0,null
2.0,null
null,The single barrel is incredible
null,Delicious and expensive
3.0,null
4.0,null
2.0,null
null,"Probably one of the worst bourbons I have ever had, and I've had over 175.  I've had the Straight, Single Barrel, and Cowboy.  All are terrible and only slightly better the more you spend.  This stuff tastes like a combo of an old leather boot and grass clippings.  I am from Texas and wanted to enjoy this, but no way.  Anyone that knows anything about bourbon would agree this is terrible.  And so expensive!! Spend your money elsewhere."
3.0,"Strange one here, this burns hotter than its proof. Nice piney thing going on in tge middle but not much up front. Balcones still ruling the texas roost."
5.0,null
4.0,"Smooth, sophisticated yet powerful."
3.0,null
5.0,null
4.0,null
3.0,null
1.0,null
4.0,null
2.0,"I am a Texan but I am not a fan of Rexas bourbons.  They seem to all taste about the same to me - very heavy on the corn.  This one was no exception.  I shared a bottle with friends and the consensus was ""pretty good, but not at all worth the price."""
4.0,Expensive
4.0,null
4.0,null
5.0,"Visited the distillery, and love the time and care they put into Thierry craft. A must try Texas bourbon."
3.0,null
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.75,"3.75  Garrison Brothers:
              Price 40 dollars for 375 Ml.
              Bottle: Cool.
              Nose: As First Poured- Alchohol was the first thing I noticed...
              First sip: a little Burn, and little bitey on first sip, carmel toward the back, and .. lingering notes of wood... Maybe a little smokey..
              
              After letting it sit in the glass in front of me, the smell of carmel popcorn wafted from a good 20 inches from the glass, making my mouth water... 
              
              Second nose: If i get too close to the glass, the alchohol overpowers the sweeter notes... so I backed off about six inches... now I get the sweet mouth watering essence of sweet buttery corn...
              
              Second sip: Definately taste the oak barrel in this, but it is nice... the corn comes after... and there is a little burn on the swallow with a finish that reminds me of ambesol. haha... 
              
              Then it loosens up to a nice liqourice... oak notes remain, then that sweet aroma of spring time fresh hay mixed with roasted marshmallows... and my mouth begins to water for another sip...
              
              This is a young bourbon whiskey, but the Texas Heat and Texas Corn must do something to bring out that wood barrel note... it seems to get more aromatic the longer it sits in front of me. The longer I wait between sips,, the more I want to taste it again.
              
              Worth the price in my opinion for a neat sipper... It is good... damn good.
              
              But I cant imagine mixing it in anything...
              
              As I take another sip, this makes me feel as close to being back on the farm, hauling hay... riding my horse... that smell of fall leaves... hay... the smell of leather... the grain feed I used to feed to the horses... it is all there...
              
              I grew up, moved away... lived the city life since, but I miss it. This drink takes me right back there...
              Ahhh...
              
              . . .
          
          I think I will sit here for an hour and just sip on Garrison Brothers... Taking my time with this to really give some quality time to experience everything it is... 
           Salude!"
3.0,Smooth but a bit woody.
3.0,null
4.0,null
1.0,null
5.0,null
null,"Fred Minnick recommends this one, May 2017:
Cornbread with brown sugar butter notes, he says.
One of best non-Ky bourbons. Texas"
3.0,null
4.0,null
2.0,null
4.0,null
4.0,null
null,Yum!! Oaky and flavorful
3.0,null
4.0,null
5.0,"Rich, oily, spicy, deep dark sweetness"
5.0,null
4.0,Good whiskey and good guys
4.0,null
4.0,null
2.0,null
3.0,null
5.0,My favorite Texas bourbon whiskey! Straight and to the point. A full bouquet of flavor awaits! Try it y’all!
5.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,Good. A little less than four roses but still good.
3.0,null
3.0,null
3.0,null
4.0,"Smooth , but a fairly pronounced wheat flavor."
2.0,null
3.0,null
5.0,null
3.0,null
3.0,null
3.0,null
4.0,null
5.0,null
3.0,null
3.0,"I didn't care for. Leather. 
Rating: 2.5"
4.0,null
5.0,null
4.0,null
2.0,"Hot palate, burnt aftertaste. Smooth but harsh"
4.0,"$84.99 @ TW. Reviewing the 2016 spring release.
This is a polarizing Bourbon. However, I always find it to be a solid pour and this is no exception. Upon entry you are immediately hit with a strong corn bread and cereal note. Some baking spices kick in on the mid palatte with a long dry finish showcasing oak and more of the cereal note. Very tasty and easy to drink. For comparison sake I drank a pour of Weller 12 after it and can say while Weller was superior it wasn't vastly so. 
The big question is does this Bourbon justify the high price. I would say if Weller 12 or Rebel Yell Single were readily available then hands down no. However, given how difficult those 2 are to come by, this makes this Bourbon very appealing even at the high price."
3.0,"Very heavy on alcohol at first. 

After letting it air for a bit, there's a nice sweet corn / caramel to the nose. But the hit of alcohol is still there. 

First sip: Very corn forward, little oily, with some nice spice on the back. It lingers for a nice minute or two. 

Second sip: Still very corn forward, it just tastes like a young bourbon. 

It's a pretty nice flavor profile, but I can't justify the $70 per 750ml. If it were down in the $50 range I think it would be an easy recommendation."
3.0,null
4.0,null
4.0,null
5.0,"The bees knees, thank you VJ"
4.0,null
3.25,null
4.25,null
2.0,"I have heard so many people love and hate on this whiskey. I'm on the side of not a huge fan. Like some of the other Texas Whiskeys I've had, this one is bold - but in all of the wrong ways. The leather, oak, dryness, and turpentine are too much for me. They should wander up the road to Balcones and take some lessons. Don't wait your money on this one and just get the Balmorhea - that's the only Garrison that should go in your mouth"
1.0,"Not great at all, very bad after taste and turpentine flavor way too strong. One of the worst bourbons I have had!"
5.0,love the tartness in this. reminds me of my beloved Washinton State Woodenville Whiskey.
1.0,"Awful. This is so bad. Whatever error garrison made with this batch should be learned from and advertised to the industry so no one makes it again. The nose is pure oak, the first sip is like chewing on an oak limb. If there are other flavors you can’t taste it through all the oak. It started to make me nauseous as i drank it. Mixed it in coke, couldn’t hide it. Just bad.   I gave it one star because it whiskey."
3.75,null
null,"Turpentine, turpentine,  and turpentine.  I'm certain i used this last week while cleaning my paint brush..  If your taste buds like that, you'll love this!"
2.5,Chocolate and dried fruit on the nose. At first it’s smooth to the palate but the mouth burn is long. Very different whiskey.
2.25,null
3.0,null
5.0,null
4.0,null
null,Need to find the Estacado (port finished) and the Balmorhea (‘bourbon candy in a bottle’)
3.0,null
5.0,null
1.0,"not a Fan, it's just not good"
3.0,Sweet and heat with strong wood notes. A bit of mash sour on the finish. Lingers on the palette. Nose makes me think of spiced oatmeal cookies.
4.0,null
3.0,null
3.75,null
4.0,null
4.5,null
3.5,10/12/19  Beer Bourbon & BBQ fest in Leesburg
4.0,Tried this on a bartender’s recommendation in Austin. Pleasantly surprised by the depth and variety of the flavor profile.
4.25,null
