star,comment
4.0,null
4.0,null
2.5,"This year for the holidays I’m going to try a brand new whiskey every day in December. #lifegoals

Dec. 10:

On the 10th day of Christmas my drinking problem gave to me:

I am completely equal parts excited and apprehensive about this drink. I love whiskey. I love tobasco. That’s how it works, right?

The nose: Okay. This smells awesome. Grown ass man, I literally just giggled. You can kind of get some sugar poking through, but let’s be honest about why we’re here. Straight tobasco. I dig it.

The body: fascinating. The original bourbon comes through here. Maple syrup. Powdered sugar. Deep, sweet orange flavor. Amazing.

The finish: this is really where the tobasco flavor kicks in. The orange fades out with the finish, and you’re suddenly made aware of that tobasco influence. It was in the background on the body, but it buzzes your lips here. Fades out super slowly, lingering on every exhale.

Okay. Holy cow. This drink is amazing. Disclaimer: I literally eat tobasco sauce on every dinner. I currently have 2 bottles in the fridge and 2 more in the pantry. I have an additional 4 bottles in the fridge of miscellaneous varieties. You could say I’m an enthusiast. I’m also likely desensitized to this stuff in lower quantities. This barrel finished doesn’t even make me blink. I haven’t had Dickel in a very long time, but I don’t remember finding all these flavors before. I think the tobasco really does draw some stuff out, or just fritz your taste buds out and make you get some new stuff. I know this drink can’t possibly be for everyone, but if you happen to be a spice fanatic and a bourbon drinker, this one is a no brainer. Amazing.

‘Tis the season. I don’t know if I actually have 21 more new whiskeys lined up, so if you’re reading this and there’s something readily available out there you’d like me to enjoy/suffer through this holiday season, leave it in the comments.

EDIT:

I poured 3 fingers. Everything above was experienced on finger 1. I would rate that finger a 4-star. Finger 2 was a struggle. I was enjoying it less. I would rate it 2.5. I did my best to power through on finger 3. My stomach began to hurt. Maybe 1.5 stars? I don’t know how to rate something like that. Definitely drink this only in small quantities, even if you’ve already accepted tobasco as your personal lord and savior."
2.0,null
3.5,"Nose: definitely get the Tabasco on the front...I’m a lover of all things hot, and this one has some bite...I can see sipping this one with a good Mexican dish...a bit sweet, I was looking for a bit more Dickel...I tried adding an ounce of Evan Williams bib...and it made it much better...too sweet straight...I can see the mind set, Tabasco finished in oak barrels, whiskey finished in oak barrels...it works for me, just too sweet, would like to see higher proof, overall good winter sipper..."
2.25,"Was gifted this bottle.  A novelty for sure.  People reviewing this as a serious whiskey are missing the point.  No, you can't sip this, you'd be an idiot to try.  It's fun, and something really different.  Take it as a shot, after enjoying the smells (probably the best part).  This is what you take as a shot if your college football team is kicking off at 11 and you just got out of bed at 10:30 and need a kick in the ass to wake up.  The 70 proof is frankly disappointing, and they water it down with sugar water to make it extra sweet.  I keep it on hand as a novelty to share sips with visitors, but would never seriously buy it.  The suggestion to try it in a bloody mary might be something I need to try."
1.0,"Ok you bought yourself a bottle of Dickel Tobasco finish, what next?  Well here's a thought.  Chicken Wing Sauce.  Maybe some pork rib rub? 

Truthfully the nose on this is a bit intriguing although I would say the funk of the tobasco pretty much turns it off for me, I could see some folks going for this though.  The taste is another story, the sweet Dickel flavor base with the bold hot spice isn't a winner for me.  This reminds me a bit of the Wild Turkey American Honey with Ghost Pepper.   Not a fan of that either.  Or the even worse Bird Dog Jalapeno Honey that might just be the worst thing I've ever tasted out of a ""whiskey bottle"". 

So spice up those chicken wings on the grill or maybe help out your constipated dog by forcing this down it's throat, either way I can't be accused of being a ""Dickel Homer"" now.   Unless you just love the unexplainable weird flavors, serious NO GO on the red label Dickel."
0.25,"Um, no. Just no. I tried this out of curiosity, and I wish someone would have talked me out of it or at least hit me over the head with something. We need to ask Elon Musk if he will let us use one of his rockets to fire every bit of this abomination into space. I think I need a shower."
3.25,So sweet i was expecting spicier smokier but its super sweet which ruins it for me i want some bite for something labeled tabasco.
1.5,Just awful. Jesus. What were you thinking?
