star,comment
2.0,null
3.0,null
2.0,"Would give it three stars because they serve it everywhere in Italy, but taste wise it does not deserve the ranking"
2.0,Way too soft and light. No kick. Chemical aftertaste
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
3.0,null
3.0,Delicious.
3.0,Not bad. Not cragganmore but it is ok
2.0,null
3.0,null
5.0,null
3.0,null
4.0,null
4.0,Fermenting fruit $47
4.0,Smooth and soft
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,Nutty wood finish. Decnt
3.0,Excellent  speyside
4.0,"Apples and pear on the nose, intensely fruity.  Butter crème, and bourbon-y sweetness on the palate.  Light cocoa and almonds that turns to fruit on the finish."
3.0,null
3.0,null
3.0,null
3.0,null
2.0,null
3.0,null
4.0,null
4.0,"A very smooth and soft whisky, I'd recommend inexperienced whisk(e)y drinkers this one. Hints of vanilla, yet subtlety spicy. Goes down smooth."
3.0,null
5.0,null
3.0,null
3.0,null
4.0,null
5.0,null
1.0,"Fraco, sem personalidade."
3.0,null
2.0,null
2.0,null
4.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
2.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
2.0,null
3.0,null
4.0,null
2.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
5.0,null
3.0,null
2.0,null
3.0,null
4.0,null
3.0,I know whisky is distilled beer but Glen Grant 10 really tastes like it. Sometimes that's what you're in the mood for but most of the time it's not quite complex enough for me.
3.0,null
4.0,null
5.0,Spicy full bodies and complex dram for its age. Great value for money.  Nose of salted caramel and banana. Young scotch done well.
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,null
4.0,null
3.0,Actually a decent malt at this price point but requires time to warm up to it! My pick for sub $50 AUD!
3.0,Booooring... But cheap so decent gateway whisky
4.0,null
4.0,Nutty
4.0,Nice to drink whiskey.  A bit fruity and light. Would recommend any time as ita a good value for thw price.
2.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
2.0,null
4.0,null
4.0,"Fresh grass, toffee, light honey , spring breeze , toasted barley and pear. Medium to full bodied. Lingering on and on. Yes its definitely best single malt scotch 10 years."
3.0,"Gentle and soft, but too soft. It is fruity on the nose, banana and pear. Too soft and simple in the mouth. But there is always one day that you re just in the mood to have a gentle dram"
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
2.0,null
3.0,null
5.0,Very good dram. Very good value for the money
2.0,null
3.0,null
4.0,null
null,"Nose- floral vanillas, honey, 
Tasting- toasted cereal, rich but light, great dram for the price"
3.0,null
4.0,null
3.0,Do able. Don't buy
3.0,null
null,Dan Murphy's $55.95
3.0,null
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
2.0,null
3.0,null
3.0,null
3.0,null
4.0,88
3.0,null
4.0,null
3.0,null
4.0,null
3.0,Fairly smooth with gentle heather honey sweetness and spice. Soft smoke. Pretty well balanced. Certainly good but nothing to get excited about. Not available in Ontario.
3.0,"Very light, sweet mildly fruity and easy to drink. Not a complex whisky by any means, but if it's all ya got not too bad"
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
2.0,null
3.0,null
5.0,null
4.25,"Maybe the kind of classic Scotch that doesn’t make any new fans. What they miss is a nose of ripe apples and light beer, a honey palate close to mead, followed by a mildly spicy finish that lingers.
23-23-22-22=90"
5.0,null
4.0,null
4.0,great on the nose - though perhaps i've never nosed toasted grain
3.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,"Apples, vanilla and malted cereal on the nose. Roasted almonds and slight citrus note on the palate. Finish is relatively short, with aftertaste of fresh oak spice. Not impressive, but not bad either."
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
