star,comment
4.0,null
3.0,null
4.0,Pretty much the best non-Islay in my cabinet.
3.25,Apples. But short finish
2.0,null
3.25,"Nice light fruity nose, mid palate has lots of flavor but the finish ends too bitter and harsh for my liking.  Also there is a pretty strong astringency to this malt, I’m usually not sensitive to this proof but you can definitely feel it here.  Maybe needs more time in the bottle?"
3.75,null
4.0,null
3.0,"Nose - toffee
Aftertaste - marzipan"
4.5,"Nose: Apple sauce, bananas
Palate: Brine, pepper, caramelised red apples that turn into apple cider
Finish: Oak spice, cinnamon, some smoke lingering"
4.0,null
4.0,null
