star,comment
4.0,null
4.0,null
4.0,null
4.0,null
4.0,"Very light, easy to drink, slightly spicy at the end."
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,"Absolute sherry monster! This expression by Glendronach is a must for sherry lovers. Flavors of fig, caramel, dried nuts and warm barrel spices. An affordable and impressive 21 year old dram. Enjoy!"
5.0,null
4.0,null
null,"Toasty caramel, lots of it. Cocoa notes after letting sit for 30 mins. lingering and satisfying finish"
5.0,null
5.0,null
4.25,"Wow!  From nose to palate, there is a lot of complexity here.  The sherry influence, oak sawdust, dried fruits, spiciness, vanilla, some nuttiness going on, flashes of dark cocoa, and it just keeps going.  Full bodied and sticky, almost like a syrup.  Finish drops off abruptly at first, but it only falls so far, then it lingers a nice, long time.  An outstanding whisky if you're into sherried Scotch!"
5.0,null
5.0,null
5.0,null
5.0,Milde smaak. Kers.
3.0,null
null,Unopened
4.0,Did not taste the 21. Look for the 18 Marsala. 185$. Caramel toffee very nice. Great distillery. Consider others if found for good price.
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,"One of the first whiskys I had in Taiwan, really nice sherry flavour."
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
4.0,null
5.0,Just buy it. Ridiculous value for a 21 sherried Whisky. People say it's better an Macallan (err no) but at 1/3 the price of Macallan 18 hell yeah.
5.0,null
4.0,It was better the first time.
3.0,null
4.0,null
3.0,null
5.0,null
