star,comment
4.0,null
4.0,null
3.0,null
3.0,null
3.0,Caramel sweetness with a lot of fruity flavor on the palate. Vanilla and fruit on the long finish.
5.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
5.0,Smoith as butter with a really nice burbon finish. I love a good wiskey and this is a great blend of Scottish dram and Kentucky freel. I had 2 bottles and i literally drank one bottle in 2 nights. Great.
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,"I like my Scotch neat, this one wasn't as smooth. It wasn't bad, but you can taste the bourbon in there."
4.0,null
3.0,2016
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
3.0,"Tasted at The Bluebird Inn, Cornwall, PA. Nose grins up at you with sweet, bright, fragrant apple and caramel. Bold (almost Irish) vanilla carries into the palate with oak and a touch of hot menthol. Drying finish, some cinnamon, woody and a bit resinous, but in a pleasant, satisfying way. A cheerful, mellow-bourbon-like experience."
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
2.0,null
4.0,null
4.0,2016.05.10
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,Smooth with a lingering bite.
5.0,null
5.0,null
3.0,"Vanilla and apples on the nose. More of the same on the palate. Rich, smooth, and fruity. A little dark chocolate on the finish. Kind of non-descript, lots of bourbon character. Nice at a bar but don't need to buy. Spend the money on an actual bourbon instead."
4.0,null
3.0,null
4.0,null
4.0,Subtle sweet BBQ notes. Oaked finish.
4.0,null
5.0,null
3.0,null
4.0,null
3.0,Whiskey Guild's Whiskey Cruise 2016
