star,comment
4.5,null
3.0,"Richer than the 10, more caramel and vanilla; incredibly smooth with no burn. Easy to drink. Delicate smoke and fruity, but not much."
3.75,null
4.25,null
4.0,Lots of Vanilla and a fine dram!
2.0,null
3.5,"A highland that surely feels like a speysider. Very fruity, very straightforward. It is a normal dram. 

Bottled at 40% abv, pale straw color (actually a rare thing for a 15 yo).

On the nose is better than in the palate. Orange jam, orange hard candy, brown sugar. Not much else but fine aroma in those three notes.

On the palate is mostly peppery, with some honey and red apple notes. 

Finish is medium, with an oaky burn. 

Overall i give this dram a 71 over 100."
4.25,null
3.25,Like the 10 year.  Honey like with hints of caramel.  Does not have the tinney taste on the end
3.75,null
4.0,null
4.0,It's good for a regular drink. Not much character. Oily. Sweet and then evaporates into a smoke like texture at the back of Te mouth close to the throat. Not much of an aftertaste.
4.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
2.0,"It's a bit too hot for my taste, I like smooth"
null,"Tried this when I visited the distillery and instantly fell in love with it. Every drop is near perfection for me. If I ever want to treat myself, a bottle of this is always top of the list. It's sweet, rich with a deep warmth that never fails to deliver a premium quality experience."
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
2.0,null
5.0,"Oily, toffee and vanilla with hints of dried fruits, very well balanced. Comfortable finish."
3.0,null
4.0,null
3.0,null
4.0,"Nose: Orange notes. Vanilla. 
Taste: medium to full body. Well aged 
Finish: long. Spice."
5.0,null
5.0,null
4.0,"Smooth, round, spicy. Cinnamon and vanilla."
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,Rund lieblich etwas süß
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,"A well rounded whisky that enters the palate with a spicy oak note and develops quickly into honey, raisins, toffee and poached pears. Than some nuts. This is quality, but - to keep things in perspective - nothing unconventional."
4.0,87pts.  its light easy whisky.   a good intro into single malt.
4.0,null
3.0,null
3.0,"Very nicely balanced whisky.  More like a Speysider to my taste. Shortbread adds an interesting note. Very good, but ultimately not what I reach for."
4.0,null
5.0,null
5.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,"Beautiful and smooth, really light a little sweet with nice vanilla notes and quite an easy drinker."
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
null,Erg lekker
5.0,null
5.0,null
3.0,null
4.0,"Smell of strong vanilla, follow by Apple and a hint of sherry.
    
    Taste is sweet sweet apple, with some vanilla note. Very smooth and sweet.. oh myy
    
    Finish medium short 
    
    Lack of complexity but very smooth and sweet. 3.8/5"
3.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,A little harsh. Quite nice with a drop of water. Slightly caramel taste to it.
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,Excellent stuff!  Prefer over the 18YO as it is beautifully balanced and very moreish.
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,"Strong sherry, long, constant finish (too long and constant)."
3.0,Buttery short bread. Oily. Lots of nuts. Spice. Herbal. Great drink and great value.
2.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,Needs one teaspoon of water. Better on the nose than taste. Lovely mouthfeel.
5.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
1.0,"Richer version of its 12 year old sibling. Deeper, more complex initial taste, with a superb finish."
3.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,Rond van smaak
5.0,"Had the M&S 14 year bottle, this converted me to liking Whisky! Amazing!"
2.0,null
5.0,Great and especially interesting with grandma's story about visiting the distillery
4.0,4.5
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
null,"$90 at LCBO
95 score"
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,"Okay time for a proper review!  On the nose I get sweet fruit cakes and jelly, with a very rich perfumed waft.  Drinking it I immediately recognize salted caramel, and a handful of plums and raisins that you just sink your teeth into before sucking them dry.  I also get the feeling like I ate some cocoa powder with it.  Very sweet, but not confectionary sweet.  Sort of overripe I would say.  The finish is dry and lingers for a decent amount of time.  At the end I get black pepper.  I’m still torn because this isn’t a knock your socks off whiskey, nor is a slouch in the least.  It’s, dare I say, smooth.  It’s light and accessible to newcomers yet for the seasoned pro (which I hope to one day be), you could find its place among others of its kind.  Also, the $60 price tag for a 15 year old will keep me running to this before any of the big brands, and you’re not losing out on so much.  I would like to try the others in this line, but for now this is good!

Edit [06/2017] - After having the bottle open for some time with the contents being depleted to about half, the overall spice and ripeness has given way to a strong salted dark chocolate caramel covered cherry flavor profile.  Still quite enjoyable, so the score remains the same."
3.0,null
5.0,null
4.0,null
4.0,null
4.0,null
1.0,null
4.0,"Nice a little bit but still nice. 
8 out 10 for smooth."
4.0,This is the best highland I’ve had without being peated - it has an almost flat taste with little sweet. Love it!
3.0,null
5.0,null
2.0,"angenehmer Karamell Geruch, starke schärfe auf der Zunge"
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
2.0,"Smooth, even"
4.0,null
4.0,null
3.0,null
4.0,"4.5 stars...earthy and balanced, lingers on the palate with fullness...opens over at least a minute which is unique given its lack of peatiness.  The nose is surprisingly absent and the opening taste leaves you anticipating, but the notes of cocoa and slight tobacco leaf emerge in time.  This is an impressive glass!"
5.0,null
4.0,null
2.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.5,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,
4.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
4.0,"A solid 4.    Admittedly this is the oldest expression of Glengoyn I've had so far, but it's outstanding.  The bourbon and sherry casking work very well together.  You get the fruitiness and vanilla from the ex bourbon but the sherry finish is very  present on the nose as well.  The arrival is quite intense and full flavored due to the fresh American oak.  Sherry is the first thing I pick up in the development...A bit of sulphur but It's actually quite nice.  I get something reminiscent of orange pekoe tea as well.    Fairly sweet on the tongue...Very nice mouthfeel, however the finish is a bit short.   A bit of time and a drop of water opens it up even more.   Overall thoroughly enjoyable."
5.0,null
5.0,null
4.0,null
null,"GLENGOYNE 15  43% ABV    6/24/17

Uncolored and Aged in Sherry casks from Jerez, Spain and Bourbon Barrels from the USA.

COLOR: a Dark Gold with a Reddish tint, Many Legs running quickly.

NOSE: A rich stewed fruit note arises as the bottle is opened and the Spirit poured, Floral notes in the background. As the whisky sits in the glass a malty sweetness arises.

PALATE: Ripe Fruit notes with floral notes in the background. Pepper rises as I swirl the whisky around. Silky mouthfeel which grows richer as it warms.

FINISH: Sweet going down with a dry sweetness and a mouth watering sense, a dry sweetness lingers.

Added 1 Drop of water

NOSE: Subdued Maltiness. There is an unidentified pleasant meaty? note.

PALATE: Subdued Malty Sweetness, the silky mouthfeel remains with a rising pepper on the tongue. A pleasant malty sweetness around the edges of my tongue.

FINISH: Drying with pepper rising. Pepper diminishes as drying increases.

I Love the stewed fruit note when I opened the bottle and the rich fruit notes in the nose and palate with floral notes surrounding it. The Silky mouthfeel is very pleasant. Unfortunately, the Rich Fruit and Floral notes fade after sitting in the glass. There is a nice Malty sweetness that lingers but I miss the rich stewed fruit and floral notes as I enjoy the glass over an extended time. That being said, I am looking forward to how air will interact with the spirit in the bottle; My experience with GLENGOYNE 12 was very good."
4.0,null
3.0,null
4.0,null
4.0,Smooth with a little sweetness
3.0,Didn't seem that much better than 10 year
4.0,"Thanks to Davie Warner for the sample!  This is a classic scotch.  It has all the hallmarks of what you think of when you think ""single malt"".   Cereal and shortbread, smooth and silky.  No burn or heat, about as velvety as they come.  I honestly couldn't taste any Sherry influence at first, but if you let it breathe, then you can just taste a tinge of hazelnut.  Really well made.  Thanks again Davie!"
4.0,null
