star,comment
3.0,null
5.0,null
3.0,null
4.0,null
4.0,"Since opening this bottle, I have come to like this whisky more and more.  Could it replace Forty Creek whiskies as my top Canadian whisky...??"
5.0,null
4.0,null
5.0,"This is an amazing whisky with one of the best noses out there. Rye, dark fruit, apricot, marmalade. P: a bit of varnish (from higher abv?), then pine needles and pepper. F: dry, (industrial), rye, maybe some coffee, medium"
3.75,null
3.75,Starts creamy before developing a decent spicy bite mid-palette. There’s a note like a vanilla wafer. Soft and creamy finish. Another excellent whisky from G&W and great value at under $50 a bottle.
4.5,"World whisky online drammers pour. Very good.


Nose: Caramel, Peach, Vanilla, Cotton Candy, Walnuts, Cinnamon, Cloves, Grass, Peanuts, Baking Spices, Flowers

Palate: Caramel, Peanuts, Chocolate, Cherry, Peach, Pepper, Cloves, Dil, Cinnamon, Dried Fruit, Apricot, Maple

Finish: Vanilla, Maple, Caramel, Cherry, Peach, Chocolate, Walnuts"
4.5,"Light amber/dark gold in colour. 

Nose: Fairly complex.  Vanilla and maple with notes of nutmeg and spice.  Brings French toast to mind!

Palate: Initially rich and sweet with a nice combination of maple and cereal notes.  Rye spice suddenly and surprisingly kicks in with black peppery goodness.  Dried fruit, especially raisin, enters the equation here as well. 

Finish: Medium for flavour but long for mouthfeel; some tannins present on the tip and sides of the tongue as well as the back of the palate. 

Slightly harsh but overall a fantastic, complex whisky - well done Dr. Don!"
4.25,"Sweet, caramel, brown sugar, spice, apple, milk chocolate, orange cherries."
3.5,null
4.5,Well balanced with multiple notes throughout the sip
3.5,null
3.0,null
3.5,"a bit sharp /rought but has porridge, maple and some fruit notes"
3.0,null
4.0,null
4.0,null
5.0,null
1.0,null
4.0,null
4.0,null
4.0,null
null,LCBO
4.0,null
3.0,null
4.0,null
2.0,null
3.0,null
2.0,null
null,"Nose: pumpernickel, spice, vanilla
Palate: medium light
Finish: heavy grain"
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
4.0,"Smooth, sweet and well balanced with caramel/toffee, oak, and rye spice notes. Similar to Wiser's Legacy but smoother, more toffee/corn sweetness. It’s only held back a bit by it’s slightly dry bitter finish. It’s still my pick for the best readily available Canadian Whisky. $50 in Ontario."
4.0,null
4.0,null
4.0,"Almost absurdly flavorful. Definite neat, must get. Vancouver trip 2016"
