star,comment
1.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
null,Hey Santa!
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
null,i want this!!
3.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,"Got this as a Christmas present and opened as a new year treat. Very mellow dram. Sweet and fruity nose. Initially strong on the palate but a floral hints open up on the tongue. Light smoky finish.

For all its complexity, very approachable whisky."
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
1.0,great
5.0,null
3.0,null
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
null,"¥24800 at Bic Camera Fukuoka, Jul 2015"
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
null,Hiniki
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
5.0,null
5.0,"Creamy, rich and fruity. Well rounded and not too sharp. Arguably a perfect whiskey."
5.0,null
5.0,null
2.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
3.0,The 17 is just as good in my opinion when you factor in the money.
4.0,Sweet fruity taste - worth the space on the bucket list
5.0,null
4.0,Love the finish
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,"Nose: ripe banana, caramel, faint mixed berries, apricot marmalade.
Palate, caramel, honey, surprising smoked wood, banana, pineapple, complex woody flavor, long finish with floral/fruity notes"
5.0,Vanilla and fruit notes. Slight peat. Less complex than the 17 - easier to drink (smoother)
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
1.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
3.0,null
3.0,Briny smoke and light peat leading to a salted toffee creamy but very light and fragrant whisky.
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,A 4.5 for me! Was lucky enough to get my hands on a bottle of this gem. Perfect for when I crave something lighter than my usual sherry-cask aged single malt scotches.
4.0,"So smooth! Almost too smooth considering the price, ill keep my taketsuru 21 but really good. Second try I liked it more, something really subtle and composed going on  in there. Do NOT add ice, this is a very delicate whiskey. I need a bottle to fully evaluate, each try has been so ""special"" that I feel the expectation is clouding the experience"
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
3.0,null
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,Unreal. Truly unreal. @brent you're the best!
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
3.0,null
5.0,null
5.0,null
5.0,null
null,"$988 (Century Cellar, Singapore)
$720 (Lazada)"
5.0,null
5.0,"Sweet smooth sherry that is complex, a little spicy, oily and pure pure pleasure and perfection"
5.0,null
5.0,null
5.0,null
3.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,An unbelievable experience.  Incredibly deep flavors with a finish that lasts for hours.  Well worth the hunt
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,FIne  blended whisky I ever had.
5.0,null
5.0,null
5.0,null
3.0,null
4.0,null
3.0,null
5.0,null
3.0,null
5.0,null
5.0,null
5.0,null
5.0,"My absolute favorite special occasion splurge! Smooth and fragrant, you smell, taste,  and feel it all at the same time."
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,"Unbelievably smooth and delicious, with subtle flavors galore! Heaven in a bottle."
5.0,null
2.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,"I Really loved this. sweet but not too sweet, and loads of flavor but none were overwhelming!"
5.0,Light peat that agrees well with this non-peaty person. Cool nose. Warm initial mouthfeel. Decent warmth in the middle. Beautifully round.
5.0,null
4.0,"Defined smoky flavor, medium burn, nice overall."
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
null,プリズム！！
5.0,null
4.0,null
5.0,null
2.0,null
5.0,null
3.0,null
5.0,"Beautiful and complex taste, with layers upon layers of flavor. The finish lingers long. I was skeptical reading the reviews but this lives up to the hype."
4.0,null
4.0,null
1.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,"Excellent whisky. Better than the 17yo?  Hard to say.  Smells like grape gum in the nose.  Super well balanced.  Love it, but it's damn expensive."
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
2.0,null
5.0,null
5.0,null
5.0,null
5.0,Goes great with grape soda.
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.0,null
2.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,Not worth cost.
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,smoothest whiskey ever
5.0,null
3.0,"Had a vertical Hibiki tasting: Some lovely 1.5oz pours of Harmony ($10), 12 year ($22.50), and the 21 year ($75).  I feel like Hibiki 21 is for people who enjoy giving and receiving commemorative pens.  They see the big picture of accomplishment, and appreciate effortless precision and technique.  I am not one of those people.
    
    So, my big picture perspective, even the top-of-the-shelf 21 year Hibiki loses out to the 12 year Yamazaki.  Hibiki, as a brand, is all about harmony, meditation, asking questions without answers, writing haikus, and becoming aware of your nature and nature itself.  Fine and dandy.  But when I pay $75 for a dram, I want Godzilla.  
    
    NOSE: Very floral.  Like with Hibiki 12, I’m stuck on cherry blossoms after a light rain.  Terroir is just a nice way to say stereotyping.  Richer, more buttery, and more nutty than the 12.  I do not get sandalwood oils with the other two Hibikis (they promised I would!), but I get some here.  It’s very perfumy, like you want to pour some into a Glade plug-in.
    
    PALATE: Soft, flowery, gentle.  Full body that’s all fat and no muscle.  Oily.  Walnut oil, citrus oils.  Buttery sweetness with a hint of bitterness, ala Crème brulee with burnt sugar.  Lovely apricots and nectarines.  Plums and sultanas.  It tastes expensive, to be sure.
    
    FINISH: Is that peat?  I’ll call it lapsong suchong.  Stereotyping again.  Layers of various stone fruit notes, essential wood oils, rich fruitcake, slowly fading.  This is a whiskey that never fought back, for better and worse.
    
    WITH WATER: Water kills Hibiki.  Seriously.  It’s like the twist ending to M. Night Shyamalan’s Signs.
    
    VERDICT: To summarize: it’s a blend that appeals to the tastes of the masses, and the pockets of the fortunate few; floral nose; luxurious and balanced palate; a little peat on the finish; does not like water; overpriced and overhyped, in my estimation.  Sounds like Johnny Walker Blue?  To be fair, Hibiki is 43% ABV and has a little more oomph, especially winning out on the finish.  JW King George V is 43%.  I’ve never tried King George, and it’s priced in the same ballpark as Hibiki 21 ($450-ish).  If I ever make fuck you money, I’ll do a side-by-side between Hibiki 21 and King George.  And I’ll have Glenfiddich 12 with a crystal dropper  instead of water to zero the palate in between drams and to open up the whiskies.
    
    MARK: 84/100.  Minus one star for the price."
4.0,null
4.0,This is a very smooth whisky and with a complex sweet fruity and toffee Flavours but also a bit smoky. I dislike Peaty whiskies but the peatiness in this whisky is nicely matched and I love it. But is it worth the current price though ? I don't think so and looking for something similar if anyone can recommend :)
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
1.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
