star,comment
4.0,null
4.0,null
2.0,null
3.0,null
3.0,null
2.0,null
4.0,Pretty good for the price! Slight burn and lingering finish.
4.0,null
4.0,null
3.0,null
3.0,null
5.0,null
3.0,null
4.0,null
4.0,null
4.0,null
2.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,I'm just beginning to find t appreciation for bourbon and this is one of my favorites. I have tried the Woodford Reserves Distillers Select and Double oak.
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
4.0,null
4.0,"This is a fun little sip. It's got considerable snap and crackle from the young whiskey in the blend, no mistake, but the older additions rein things in just in time. Feels like you can identify all three players in the band - almost by order of age - but they come together surprisingly tunefully.

I got chocolates on the nose, sweet wood, and maybe even a hint of buttercream. On the lips, after the moonshine fire, the tastes follow suit while adding a bit of cherry and toast. Nice medium finish. Reminds me overall of some high-corn Four Roses variations I've had, but with a unique high octane kick.

I got this on sale for $30 which feels like a steal. Would pay reg price of ~$40ish and be much happier with it than, say, Whippersnapper."
4.0,null
4.0,null
2.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
5.0,null
3.0,null
3.0,null
null,Orange Muscat casked for Ace Spirits.
5.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.25,"A lot of toasty corn on the nose. Spicy palate with butter, cinnamon, wood, cocoa, baked apple, peanuts, a little caramel, and a little vanilla. It's certainly not the sweetest bourbon. To wrap it all up  there's more spice and a good amount of burn on that lingering finish. Exquisite."
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
null,"9/15/17 Hazel's Beverage World, Boulder, CO
375 ML Batch No. 16K10
$27.19 =  24.98 + 2.21"
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.0,null
3.0,null
5.0,null
1.0,null
4.0,null
3.0,null
5.0,Excellent bourbon. Tried it at Ouse's July 2017
3.0,null
4.0,null
4.0,My version was finished in old Manhattan barrel. very cherry very great!
