star,comment
5.0,null
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
5.0,"Nice rye, much better than the double rye.  Very easy drinker."
3.0,null
4.0,null
3.0,"Sometimes I feel terrible reviewing whiskey here, because I read everyone else's opinion and hate to be the contrarian. But alas I must, though in all fairness I should disclose that I do not generally like rye whiskies. Here's a related set of questions: do you like pickles? How about dill? Or vinegar? Oh and garlic? If you answered no to any of these questions, WALK AWAY FROM THIS BOTTLE! Do not pass go, do not collect $200! As improbable as this sounds, the nose has dominant aromas of dill and vinegar, with a touch of pickles (yeah I know, sounds crazy). The palate is lumber, like walking through a Loews lumber yard on a humid summer day, and the finish is long, which is either a good or bad thing depending on your opinion about carpentry. I actually don't dislike this whiskey. I'm just confused by it."
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,Smooooooth
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,"Just tried this for the first time. Really a great sip. Wonderful, smooth, molasses front end. Long, slow, warm, peppery finish. The start and finish almost give the illusion of two separate drinks. I'll be adding this to the collection soon."
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,
5.0,null
4.0,null
3.0,Strong. Very warming
5.0,null
4.0,null
4.0,null
5.0,null
4.0,"Smells something like an oaky Pinot noir. Smooth, easy to drink."
4.5,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,Excellent Rye
4.0,null
5.0,null
4.0,"Rich and spicy, with good tobacco and leather, light 
cinnamon and cream hints"
4.0,null
4.0,null
5.0,"Currently, my favorite whiskey, although I tried not to like it since Heidi was introduced to it by Nick. Big, bold and spicy. Hits you in the back of the throat and then lingers. Guess I'm a rye drinker."
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
3.0,null
4.0,Vibrant  and lingering spice yet smooth  with just enough sweetness.  Aftertaste offers interesting complexity. Hot but not overwhelming and goes down easily.
4.0,Reliable.
4.0,"N: dill pickle, apple
T: smooth very little bite, pickle, rye, dry finish,"
4.0,null
4.0,null
4.0,null
5.0,null
5.0,Long awesome finish
4.0,Really a 4.5 but a nice heated rye whiskey.
3.0,null
4.0,"Burnt sugar, vanilla, and overall hot."
3.0,null
4.0,null
2.0,null
5.0,"Hell of a whiskey. The meeting of sweetness, Spice and robustness. Try it and it will never fail you. Butterscotch, hints of banana, vanilla. All presented in a complex, full and delicate body."
5.0,null
3.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
2.0,null
3.0,null
4.0,Green. Spice. Solid.
5.0,null
4.0,null
5.0,null
4.0,null
4.0,"Nose- slightly astringent, crushed black pepper, cayenne, molasses, and anise
Body- molasses, anise, black pepper and mint
Finish- long and warm with a sweet straw like flavor"
4.0,null
3.0,Smells like hair spray but tastes good.
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
2.0,null
4.0,"Probably the best rye I've tried to date. Smooth, for a rye, and great flavor."
4.0,null
3.0,null
2.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
null,"Tried it in DC. Loved it. If you see it, get some!! Had it again in Annapolis at Dry 85. Excellent!!"
4.0,"Sweet on the front, spicy on the back. Good rye, probably would make a solid Manhattan. Would be 5 stars if it was just a touch sweeter / smoother."
3.0,null
4.0,null
5.0,"Vanilla with mint to start, then a nice warm bath of spice on the palate mostly cinnamin. Long full finish. Great finish as flavors linger on the back of your tounge."
4.0,"Mulling spices on nose, spicy finish, fruity in palate, bolder than the double, slightly more complex"
5.0,null
5.0,null
4.0,null
4.0,null
5.0,"This is my go to Rye blend. Excellent as a sipper, I could drink this all night if it wasn't $50-$60/bottle. Makes an Old Fashioned or Manhattan just a bit more special. I prefer it with a little ice. Tons of flavor - sweet, vanilla, a little peppery spice."
5.0,null
4.0,null
4.0,null
4.0,This is an excellent rye. Perfect for sipping straight or using in a Manhattan.
4.0,null
3.0,null
5.0,Exceedingly nice rye for the money successfully marrying the vibrancy of a young rye with the richness of an old.  Lots of mint spice with a robust lingering rye finish.  Outstanding!
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,I like how this lingers. It doesn't just kick ya and leave. It stays around and plays and dances on your tongue.
4.0,null
5.0,null
4.0,One of my favorites
4.0,null
4.0,null
4.0,null
4.0,null
2.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
2.0,null
4.0,null
4.0,null
4.0,null
4.25,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
