star,comment
4.0,null
1.0,Rough better on ice.  Doesn't have the smothnesd of older highland parks
3.0,null
4.0,null
3.0,null
2.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,"How can anyone complain about a whisky that's delicious and inexpensive? Sure it won't blow your mind and palate, but it's $60 CAD! A touch of oak, a touch of caramel... wonderful, though it lacks body and finish. Good stuff."
2.0,Dans la moyenne sans plus
3.0,"Being attracted by great ratings of HP 12 and 18 I decided to start from the least mature malt of the renowned distillery. And to be honest - I got slightly disappointed. It is a decent whisky, with a very interesting aroma, but taste is very mediocre with nothing to discover there. I will try HP 12 this week and I really hope it will do better (85PLN, 0,35l)."
4.0,null
4.0,null
4.0,null
3.0,"Really well done dram, honey and vanilla all wrapped in a nice smoke. In my opinion not as good as hp12, it has more vanilla as opposed to the honey sweetness which I like. But definitely delicious all the same"
1.0,null
3.0,null
4.0,null
4.0,null
4.0,"Uses mostly Spanish oak. Using 2 cask types - American and Spanish. Made exclusively for canada initially. A high concentration is 15years and above. 
      
    Pale gold in colour. 
    
      Nose: vanilla, beads showing good viscosity.  Citrus notes  - some of the smokies highland park - older it gets the less smoke/peat.  Peat is mixed with heather which gives honey sweetness. Trademark of highland park. 
      Palate: 
      Finish: sweet, honey - dark chocolate. Woody. Side of toubge is spicy like ginger. Tip of tongue brings sweetness. 
  Body 2/4 - light"
4.0,"Great dram. Butterscotch, honey and vanilla on the nose. A bit of citrus, honey, almonds and a hint of smoke on the palate. Really enjoyable."
4.0,"The taste profile is similar to the HP 12, but lacks the depth of the 12.  But still a darn good whisky!"
4.0,null
3.0,null
4.0,"Has peat / taste familiarity of Highland Park, but lacks spice of 12 yo. Great value at $60 CDN."
3.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,"A great dram for the price. This 10 year old already has lots of characteristics that I've tasted in 15 - 18 year old scotches. The peat on the nose is not to over powering along with a great, honey taste. A long, mild sweet taste will certainly bring me back for more."
3.0,null
4.0,null
4.0,null
3.0,"Floral and lightly peated nose. Light malt, toffee and lemon peel on the palate. The finish is shorter and a bit spicier than its 12-year counterpart, but a respectable dram nonetheless. Good value dram for those setting sail on the viking journey ($60 CAD)."
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,"87,5"
1.0,null
3.0,null
4.0,null
4.0,"3.5. Liked it. A bit of a harsh alcohol taste, but it opens up to a nice spicy, zesty palate. Tart & smoky finish lingers."
4.0,null
4.0,null
3.0,null
4.0,null
5.0,null
3.0,null
4.0,"ожидал большего, но не пробовал старших серий. думаю,  что есть смысл оценить 12 летний. в общем - очень неплохо."
3.0,
4.0,null
2.0,null
null,КИБ 2699.82
2.0,null
3.0,null
4.0,null
2.0,null
4.0,null
4.25,null
2.0,null
3.0,null
3.75,"Simple citrus, smoke, and sea taste."
3.5,"Un bon single malt pour commencer, légèrement fumé, bien équilibré.
Pas la petite étincelle pour en faire un whisky dont on se souvient, mais pas de défaut. Un très bon whisky moyen, qui donnera de superbes choses en vieillissant (pensons au 18 ou au 25 ans...)."
2.0,null
4.0,null
4.0,null
4.0,"i bought the HP, to be truthful the first few drams i was not a fan of the burnt-wood/smoke finish.. the bottle is finish now lol ..and i would buy again. as i am new to this game i think my taste buds had to get used to the complexity of all the flavors in this one.."
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
5.0,null
2.0,null
2.0,null
5.0,null
3.0,null
3.0,Very light and balanced. Pleasant feeling.
4.0,null
3.0,null
4.0,24.3.2018 Kotona/Alko
3.0,null
3.0,null
4.0,"Nose: citrus, a bit of apple, sea salt & peat.  Palate: fresh, pineapple, vanilla. Peated final."
2.0,null
3.0,null
2.0,null
3.5,null
3.5,null
3.5,null
3.75,Nice crisp finish.
2.75,null
3.75,null
4.0,null
4.25,null
3.5,null
3.0,Дым
3.25,null
2.25,null
2.5,null
3.0,null
3.0,Not too peaty. Strong
3.5,null
3.25,null
3.75,null
3.5,null
3.75,null
3.75,null
4.0,null
3.25,null
3.0,"Milder taste, harsh finish"
4.0,Slightly smokey
4.25,null
3.25,null
3.25,null
3.0,"Very light, mild peat, smooth..."
null,null
4.0,"Nez: légère tourbe, fruits du verger, sensation de cacao, chêne à peine noirci, miel frais. Bouche : poire au miel, légère tourbe, alcool qui se cherche, poussière, pelures d'amandes, un peu d'orange séchée. Texture un peu légère sans être aqueuse, l'alcool rend le tout un peu rapeux à mi-gorgée mais les saveurs énoncées au début le masquent bien."
3.75,null
3.75,null
3.0,null
3.5,"Tosi helppo ja hyvä, makea"
2.75,null
3.0,null
3.0,null
4.0,null
1.0,null
3.5,null
4.0,null
3.5,null
3.25,null
3.0,Smokey nose. Decent burn
3.75,null
4.0,"Bors illat, virágmézzel
Ízben a mézzel indul,ami átmegy borsba, végén sót hagy maga utan.
Lágy, borsos a harmadik korty"
4.0,null
2.5,null
