star,comment
4.0,null
3.0,null
null,Very much an excellent value for Highland Park fans.
3.0,null
4.0,null
4.0,Very easy to drink
4.0,null
5.0,null
3.0,null
4.0,null
3.0,null
2.0,null
3.0,"Sitting in my favorite Hartford Irish bar enjoying fish and chips and enjoying game two of the World Series.  Peeked onto the whisky self and immediately recognized the strangely shaped black bottle.  Being a big fan of the ""old school"" Highland Park, this was the opportunity to sample the ""new school"" product coming out of the Orkney Islands.

The nose has the Highland Park light rubberish smoke.  Working the nose, a low-tide maritime brine blends into the smoke producing a slight funky nose (funk in the George Clinton style).  Give it some time and the fruit and sweet come through. Caramel apples and toffee arrive along with toasted almonds.

The palate is thin and soft.  A mix of sweetness and spice blend with vanilla, brown sugar, ginger and cinnamon.  A touch green apples come through along a mineral quality.

The finish is medium-short in length with wood, lemon citrus with a tinge of ginger.

As I was tasting and thinking about this whisky, the constant thought in my mind is that this just seems like a watered down Highland Park 12.  As others have mentioned, that I read, this is akin to Johnnie Walker Black.  I admit I was somewhat disappointed and had higher expectations.  Maybe to keep the HP followers in line with their current marketing strategy with the reduction of their age-statement whiskies, and to apease them with an affordable product, they produced Magnus since their other NAS whiskies are, in my opinion, overpriced.  It's not a bad whisky.  It's just lacking a boldness. I think one would be better served shelling out $10 to $15 more for HP12 (at least while it still exists). [84/100][Tasted @ Vaughans: 10/25/17]"
4.0,Nice budget Highland Park!
3.0,null
3.0,"Highland Park Magnus:

Nose: smoked red vines licorice, dried fruit.  Eventually fresh roasted candied nuts like the kind at a baseball game. 

Taste: touch of dried cherries, wood, vanilla, more wood, salt, herbal, eventually maple.  reminds me a little of a rougher Talisker sometimes.  A few drops of water helps smooth it out.  Some smoke and peat on the finish. 

Less sweet than the 12 year, lets the smoke stand out a little more.  I dig it, great for the price."
2.0,null
3.0,null
3.0,null
3.0,"The amusing thing was that I went into the liquor store today just looking for something cheap for a daily dram, like a Johnnie Walker Black. Well, they actually had this new one, and I thought, ""What the hell, might as well"" since it was 40 bucks. Heather, with light fruit on the nose. Pineapple, caramel, slight peat and smoke. Decent, but nothing special. I wouldn't dare touch it with water at 40%. Similar palate - nice splash of sweetness, but not in a cloying manner. Toffee, smoke, and some oak notes. The strangest thing to me is that this is not at all much different than the Valkyrie, which is twice the cost. The finish is similar to the Valkyrie as well, with a short subtle coffee bean after taste. On par with the standard JW Black, and a good option for a standard if you want something cheaper."
4.0,null
4.0,"Peat and brine lead the way but make room for some exciting tones. If you're willing to stick with it, you'll find a hint of apple and plum. Stay even longer and you'll reap the rewards of vanilla fudge.

The mouth feel is a tad lite. That's not a bad thing, but I do like a bit more chew in a scotch. One need not worry about heat. It hardly makes an appearance. Each sip is incredibly smooth with smoke laced elegantly throughout. That does make up for some of the vanishing on the palate. 

As the least expensive of any Highland Park, it's still very much Highland Park. It's easy to enjoy, very shareable and a great entry level scotch. The only real flaw with Magnus is that Highland Park 12 Year does everything slightly better for a few bucks more.

Still a treat nonetheless. (FWF share #37)"
4.0,"While not the most complex, this is a very good whisky. And, easy on the wallet. A definite must try."
3.0,"Welcome to the next generation of Highland Park NAS whisky....

We could go round-n-round on the merits of No Age Statement whisky.  I will concede that it’s a necessary evil due to the meteoric rise in popularity of whisky (and spirits in general).  Well, this is what we have to deal with now:  youthful, harsh stock mixed with lower and lower amounts of well-aged goodness.  Some distilleries are handling it well, some not so much.  Sadly, I think Highland Park is slipping towards the latter.

(Steps down from the soapbox)

This particular offering:  Magnus is a NAS whisky named in honor of HP’s owner, Magnus Eunson, who is a direct descendant of the Viking lineage that settled Orkney.  His namesake whisky is composed of juice from first-fill American sherry casks and ex-bourbon barrels.  It’s an industry minimum 40% ABV and currently is exclusive to North America.  It’s yellow gold and leaves hearty water droplets all around the glass when you swirl it.

The nose is predominantly sherry and oak with little to no smoke, even after 15-20 minutes of intermediate swirling.  The palate is pretty sweet with subtle hints of chocolate and smoke.  It gives away its lack of age rather quickly- it’s harsher than I expected and finishes with a lightening quickness.  I actually think I’d bump it if it would just hang back for a minute or two.  It’s just gone so quickly.  What happened?  Ahh, drats...

Overall, it’s disappointing in every aspect except one- price point.  This bottle can be had for $40-45.  That’s awesome.  The sad part is that they are using this youthful juice for this instead of letting it age gracefully.  It makes me sad this stuff could turn into 18yo sauce if given the chance.  But, as it is, I think a solid 3-3.25 stars is warranted.  Thanks for offering me a taste, @Telex  Glad I got a chance to run this one through it’s paces.  Cheers."
3.0,null
3.0,null
4.0,null
5.0,Very nice NAS HP expression.  The price for value is over the top!  This easily tastes like or better than any age stated variety costing upwards of $50USD.  My new low cost go-to whisky.
4.0,null
3.0,null
3.0,"Nose: citrus (orangey), vanilla, sweet maple, rich. Taste: cinnamon, yellow cake, nutty, sweet vanilla. Rounded. Dry."
3.0,null
4.0,null
4.0,"This is really good stuff for the price. A touch harsh on the palate, finish is short but a lot of rich flavours still punch through."
1.0,2018.01.30 - Smells like balls. Very salty. Taste better than it smells but that's not saying much. Even salty with water. Hard pass.
3.0,
4.0,null
3.0,null
4.0,I like and would get. At $36 a good value.
1.0,Would rate a 0 if I could.
3.0,null
null,"Nose: sweet peat, iodine, sea air

Mouth: dryer than the 12, all around Balance, buttered popcorn"
4.0,null
2.0,"Nothing wrong with this NAS offering, but I had higher hopes for a bottle carrying the Highland Park name. $45 CAD feels like a bit too much for what's in the bottle, even if it is amongst the cheapest single malts around these parts."
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
4.0,"I love to rag on Highland Park's no-age-statement expressions, as the distillery releases them in wave after wave, rapidly diluting the value of the brand name in favor of today's profits.  That being said, sometimes, one encounters a pleasant surprise in the NAS world.  Magnus is one of the newer members of this genre, and is positioned to be the true entry-level single malt in the Highland Park lineup, at an affordable, Glenlivet/Glenlivet 12-esque price of $35 or so.  I wasn't expecting much, but I got plenty.  This is not a sophisticated dram by any means, but it's kind of like the fun, trashy Netflix show that you end up clicking instead of the nuanced, prestige drama that you wish you could tell your friends you were watching.  The nose smells exactly like green apple Jolly Ranchers.  The palate, while understandably thin at this minimum ABV, also has plenty of that green apple, honey, and perhaps a wisp of that characteristic Highland Park roast coffee.  The finish is malty and honey-sweet.  What a fun, vibrant, youthful dram, and my favorite among the Highland Parks without an age statement.  Thanks to @Telex for the sample!"
3.0,null
3.0,"Nose: Raisin, honey, caramel, toffee, and subtle almonds.

Palate: honey and raisin sweetness at the front. It heats up a little with oak and toffee. Finish is quick but pleasant leaving lingering citrus and raisin sweetness behind with subtle hints of almond nuttiness.

Color is light honey (like a white wine), light bodied whisky."
3.0,"Color: Light honey 

Nose: Raisin, honey, caramel, and toffee. 

Palate: Light bodied. Honey and raisin at the front.  Heats with oak and toffee in the middle. Finish is quick with lingering citrus and raisin."
3.0,null
4.0,null
4.0,null
2.0,"Slight smoke, saltiness, light. For price it’s awesome but not the best overall, obviously."
4.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,"3.5
Initial taste is good
Aftertaste not so much"
2.0,null
4.0,null
3.0,null
4.0,null
5.0,"Yeah this is a 5 star review. 
  
  Honestly, quality for price, bang for your buck, taste per euro, this is the best whisky i've tried in this price range. 
  
  I was wary of the marketing and the bottle packaging, so i didn't buy this HP first time i saw it, despite my love for the brand. Boy, was I wrong! Light smokiness, some herbal smells, medium saltiness, honey and fruits. Classic highland park, but i must admit it felt a little subdued, depsite their ""Viking"" marketing etc. 
  
  The bad: it felt watery. But you have to expect some dilution due to its price range. 
  
  Conclusion: If you love peaty highland whisky, treat yourself. Probably the best price/quality ratio you'll find for a single malt."
5.0,null
2.0,null
4.0,mild peat/mostly on back end
4.0,null
3.0,null
4.0,"Light smoke with briney fruit notes behind it on the nose. Taste is a good balanced mix of smoke,brine,and dark fruit notes."
3.0,null
4.0,light yet earthy with brined fruit and mild smokiness
2.0,null
5.0,null
4.0,"Fruit nose, smooth finish, wheat color"
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
3.0,null
4.0,null
1.0,null
4.0,"Really enjoying this over a large cube and in front of the woodstove. Not too peaty, and really smooth. My new go-to."
3.0,null
4.0,null
3.0,nothing real special and the peat is very understated
3.0,null
null,"*Score* 86
*Color* Bright yellow gold. Seems to glow. 
*Nose* Vanilla and honey with barley. Musty. 
*Palate* A tad oily with good density. 
*Finish* Long and savory. 
*Notes* The taste is spot on with the nose - vanilla and honey with a lingering trace of what I would call “musty.” I feel like there’s hints of smoke, but it’s a bit bashful. 

This is a solid offering from the good folks at Highland Park. It’s consistent with the other expressions, with  a subtle lack of quality you would expect at the lower price point. It isn’t bad and is definitely a good value, although it’s difficult for me to judge this on its own knowing how much I enjoy the 12 and especially the 18."
4.0,null
3.0,"Color: light honey

Nose: woody

Palate: oaky, slightly fruity, caramel and toffee. 

I got more than expected for the price. I’m a fan and will purchase again for a budget whiskey. Skol!"
3.5,null
3.0,"Very smoky,  similar to talisman but would prefer it"
3.0,null
2.0,null
4.0,null
3.0,null
3.0,null
4.0,null
3.0,"Got this on vacation to sit back and enjoy, just what I needed!"
3.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,3.75. Light. Slight peat. Floral.
3.0,"$36 US on sale at Virginia ABC. I really wish we had an option for half stars, as this one I would rate at solid 3.5. Smokey, sweet and goes down almost too easy. The nose is wonderful, but the palate comes up short.  At 40% ABV it is also easy to drown. Only added a drop to release the tension. If I was to guess I would say this malt is about 5-6 years old. All in all $36 for a bottle of Highland Park DNA, not terrible but for not much more you can get the 12."
3.0,null
3.0,null
3.0,null
1.0,null
3.0,null
4.0,null
3.0,null
