star,comment
4.0,null
3.5,Opa! Chegou a turfa. Um Highland Park turfado!!!! Turfa muito leve. Complexidade na boca e boa permanência. Indico!
3.0,null
3.5,null
4.25,null
3.75,null
4.0,"“Smoky & bold” indeed. Very much on the smoky and salty side for Highland Park, but still has that honey sweetness. 91"
3.75,null
3.75,null
3.5,null
4.25,null
3.75,null
3.0,null
4.75,null
4.0,null
3.75,null
null,null
5.0,null
4.5,null
4.0,null
3.25,null
3.0,null
3.75,null
2.5,null
3.75,null
4.25,null
3.5,null
4.0,null
3.0,null
4.25,"Smooth on nosing, with some peaty and salt"
3.5,"Smooth first sip, Burns a little in the middle"
3.5,Nice balance of smoothness with a little smoke
4.0,"Light smoky and peaty; tasty, pleasantly 
-87"
4.25,"A lovely and affordable peaty single malt for the great Highland Park. I prefer a little bit of peat to whiskey, and this works with a rich mouthfeel."
1.0,"Nosing sweetness,  light peppery, 
2.5

Flavour incredibly salty, light pepper, woody
0.25

Finish 
Salty, woody
0.25"
3.75,null
3.75,null
2.0,null
3.0,"Vanilla honey sweetness with a bit of acetone, and kind of a long alcohol burn on finish. Not bad, but can tell it's young. Unsure if I'd buy again."
null,null
4.5,null
