star,comment
5.0,null
4.0,null
4.0,null
4.0,"Salty, peat, citrus. @Natalie-Martinelli"
4.0,null
5.0,null
null,"62,50
Drankgigant"
3.0,"No brand seems to have more enthusiasm for no-age-statement, hard-to-pronounce whiskies than Highland Park.  Pretty soon, the distillery will exhaust the canon of Norse mythology and have to move onto Hindu deities, where they will not run out of new names for young scotch anytime soon.   Valkyrie is a good, peaty, young scotch, kind of in line with a young Benromach I recently tried.  Apple, smoke, a distinct boozy edge, and buttered toast defined the nose for me.  It tastes like a classic Highland Park, with a well-balanced mixture of sweet, spicy, and salty, with more sherry expressed in the palate and finish.  A Highland peat, pine-like smoke complements these flavors at the end.  For an $80 single malt, it’s too young for my tastes and isn’t as good as Highland Park 12 or 15."
3.0,null
3.0,null
4.0,null
2.0,null
3.0,null
4.0,null
5.0,null
3.0,null
2.0,"Peat, malt, some spice. In that order. Sugars hidden below that. Way too much alcohol in its taste."
4.0,"Malty, very subtle smooth peat notes, a good amount of wood character."
5.0,null
4.0,null
5.0,null
3.0,null
3.0,null
5.0,null
4.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,"At a business dinner this evening, I noticed this at the bar.   I had to wonder---was this good enough to carry forward the HP brand, or  would  it simply exemplify their pushing more NAS with fancy Viking stories in lieu of good quality aged versions?  At $17 / ounce,  I thought it was outrageously priced (and we can't expense in alcohol despite it being a business dinner).  Nose is smoked orchard fruits like apples and peaches.  Palette---toffee, spice, some salinity and a wrapper of peat.  It can't hold a candle against the 18, and it pales in comparison to even the 12.  This is young.  I'm glad I tried it out first, not sure I'd buy a bottle, at least when I can do better with the 12.  On a side note, I did notice this had a  screw on cork.  The liquid was simply ""meh"", but I have to admit, pretty fancy bottling and corking.  Unfortunately, I'm  not iin favor of replacing good quality liquid for  fancy bottles and cork tops."
3.0,null
4.0,null
4.0,null
4.0,null
3.0,"Nose is milder than anticipated, but pleasant. Not as intense as the Dark Origins. Makes me think toffee/caramel with the some peat (it was light for me, but I drink Laphroaig every other day). 
        
        On the palate, it's less chocolaty than the Dark Origins, but more sherry/malt influenced. Got some nuts and cream in there too. To me, the finish almost had a very light espresso/coffee with slight alcohol. I liked this more than the Dark Origins as well, so I see why they went with this as a replacement.  It is an enjoyable glass, but I wish the finish was less alcohol burn influenced.  As a side note, I will pop a couple drops of water to see if it helps. I think it did help with that.. hmm, limit to literally two or three droplets though.
        
        For the price of 80ish bucks though, I think I'd rather get the Ardbeg Oogie, just sayin' =)  73 W3AAX"
4.0,null
4.0,null
3.0,null
3.0,null
5.0,null
4.0,null
2.0,null
4.0,null
3.0,null
3.0,null
3.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
3.0,null
2.0,null
4.0,null
4.0,null
4.0,"Nose: Smokey but not with the medicinal peat, notes of brownie, roasted coffee, strawberries, walnuts, dark chocolate, oranges, créme brûlée and pears. Unexpected desert, my favorite.
Palette, peated, but with the that same fruity acidic freshness and creamed coating that mellows everything back down. Citrus and pears mostly dominate, then peat and oak lingers for a while and goes to a lightly salty finish."
4.0,null
4.0,null
4.0,null
4.0,null
4.0,"This Highland Park had to grow on me. When I first cracked the seal a few months ago I would've rated it 3 stars but I've come to appreciate it more and more. The peat is closer to a peated speyside than an islay. It's heavy on the spice and oak rather than salt or iodine. The dried fruit and shortcake notes take a backseat to Oriental spice and oak influence, leading to a long drying finish. I give it four stars because it is a unique flavor profile in my whisky collection but I don't think it justifies the ~$70 price tag. I'd rather get the Magnus for half the price."
4.0,null
3.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,"A worthy Highland Park. There's soft peat (not much smoke) with a delicious nuttiness dispered between notes of dried fruits, brine and spices. Ending is fairly long and satisfying.

NB: At that price point, I prefer the Dark Origins."
5.0,null
4.0,"Very good. Smooth, thick and oily with lots of dried fruits. Specifically raisins. I don't notice much in the way of peat. But a delightful sipper."
5.0,null
3.0,null
3.0,null
5.0,null
3.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,strawberry and nutmeg with a briny middle into finish
2.0,null
3.0,"Nose - Dark apple/pear cider, subtle sweet nutty fruit, dried low sugar dates, very light brine and wisp of smoke.

Taste - Buttery/creamy malt, hint of dried apples, dull muted smoke, light salted/brined sour apples, hint of dried jujubes, dry spongy fruit flesh sweet, light fruity bitter.

Finish - Lingering faint fruity sweet, light sea spray, light smoke, lingering jujube subtle sweetness.

Score - 78/100

Final Thoughts - This had a great nose off the initial pour and develops with a bit of air time in the glass. Unfortunately that's about the only place where this shines as it is tasty on the palate, but the combination of flavors you get on the tongue versus the nose is a bit confusing. You get more sweetness on the nose, but on the palate it tastes like a dried out powdery apple that has lost most of its sweetness & crunch. Sadly similar to a dry tasting jujube, where it's still sweet, but barely, and you get more spongy air filled sweetness. The subtle wisp of smoke & brine are nice and do help balance it out a bit. I feel this is something best enjoyed on a fresh palate as it's quite subtle.

Would I drink it if offered? - Yes

Would I specifically order it? - No

Would I buy a bottle? - No"
4.0,null
