star,comment
4.0,null
4.0,null
2.0,null
5.0,"neat- you really get the spiciness. the port still shows through. great complexity. add a little water- the sweetness really shines, spiciness takes a back seat. this guy has vaulted high on my list. if you can find it and like Port finished bourbons.... get it."
4.0,null
5.0,null
5.0,null
5.0,null
5.0,"Awesome if you appreciate the sweetness of port wine. As far as this style of finish - I think it blows away Angels Envy. Bowman Port Barrel Finished is so smooth & has much more complexity than Angels Envy.  Again for this style of bourbon, I think Bowman has it!"
5.0,null
3.0,"Fruit forward on the nose, the port finish is evident. Honey and cinnamon as well. Smooth on the palate. Sweet, fruity, some char notes, with some wood bitterness at the end. 12/23/17"
4.0,null
null,2 x
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
3.0,null
4.0,null
5.0,null
3.0,null
3.0,null
4.0,null
3.0,null
3.0,null
3.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
3.0,2.8
2.0,Way too sweet. Spent too much time in the port barrel. Like an even sweeter Angels Envy. pass on this one.
3.0,null
5.0,null
3.0,"Being that AngelsEnvey is the only other ""wine cask"" finished type bourbon I've had, not drawing from much depth...and I'm just a novice. But, like everyone else, there are certain bourbons I like going back to. This is one of them. Is it worth 40 bucks? MEH, If it wasn't born in Kentucky(my State), at the most award winning Distillery, and if A.Smith Bowman Distillery hadn't done such a fantastic job pointing back to the Bowman Family history and it's ties to early America and Kentucky on their bottles well I probably wouldn't have paid up to try it.(So I'm a sucker for patriotic themes) But I'm glad I did. My only gripe with this Bourbon...it is just too easy to drink. But is that a bad thing? As a fan of Buffalo Trace products, one of my faves is EH Taylor...just the right amount of bite.  Issac Bowman is a bit flat on the front. But what it lacks there, it makes up for in flavor. For me there is great balance of the Bourbon and Port. And behind the port I'm tasting Mash Bill #2, and that's Elmer, Blanton's, Rock Hill, Ancient Ancient Age. Nice job A.Smith Bowman. I'd be curious as to what a higher proof would do for this Bourbon?"
4.0,null
4.0,null
4.0,null
5.0,null
3.0,null
4.0,null
