star,comment
4.0,null
null,"Christian l'aime bien, il a brossé avec luc en février 15
Ils disent que je vais aimer ceci ocq comme le laphfroag"
5.0,null
null,M
2.0,null
4.0,null
4.0,"Bang for the buck,  not very expensive and totally beat other products in its range."
2.0,null
1.0,null
4.0,"LCBO $78
scotch night"
3.0,null
3.75,"A few drops of water in my dram brought this up about half a star. Some Islay elements for sure. Gentle peat, toffee sweetness and a spicy, robust, earthy finish make this a steal for the price."
4.25,null
3.25,null
3.75,"N - 87: Peaty, very simple.

T - 88: Mild peat smoke, mild burning.

F - 86: Mild burning sensation. Peat smoke lingers.

87/100"
4.0,"Soft and gentle, smooth and aromatic. Only hints of peat, very floral and fruity. Pleasantly balanced"
4.0,null
1.0,"Fumé...thats'it. Je l'avais goûter ben soul dans un party et croyais avoir découvert le Scotch du siècle pour 35$. À jeun, je me suis rendu compte que j'étais épais..."
5.0,"Blended whisky tend to have a bad name, this is one of the few peated out there and for the price it does not disappoint."
4.0,null
5.0,null
