star,comment
3.0,"If you're a fan of Canadian whisky as a style--all vanillas and butterscotches, all soft and sweet and mild, with just a hint of rye spice--you'll be a fan of Wiser's 18. That basically describes this juice to a ""t"". But at 18 years and $65 Cdn., I feel like this whisky ought to be so, so much more interesting than it is. Flavours are vanilla, French vanilla, lemongrass, pencil shavings, ozone, cinnamon and apple. Faint brining spices. A touch of cinnamon, some butterscotch. A touch of maple, and fresh lumber in the finish. Not bad, just very typically Canadian and not even remotely worth the price. Pales in comparison to the cheaper Wiser's Legacy--a legitimately rye heavy, rye forward whisky that could give any American straight rye whiskey a run for its money."
3.0,null
3.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
4.0,null
3.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
3.0,I don't know why you'd buy this rather tame choice over the much more vibrant Wiser's Legacy. Age doesn't make everything better.
5.0,null
2.0,null
4.0,null
3.0,null
3.0,null
4.0,null
4.0,null
3.0,null
3.0,null
2.0,null
2.0,null
4.0,null
2.0,"Incredibly light for and 18 yo whiskey. Flavours of caramel with some rye spice but disappointingly light. $69.95 @ lcbo, much better value for the money elsewhere."
5.0,null
3.0,null
3.0,null
3.0,"very sweet, but not overwhelming. hits the back of the throat harder than the taste would lead you to believe."
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
2.0,The initial nose is much more like a blended Scotch than what I'd expect from a Canadian whiskey. Surprisingly rough for a 18 year old product.
5.0,null
3.0,null
4.0,null
4.0,null
2.0,null
3.0,"This is lean, light, but shows some maturity too. Nice vanilla, caramel, and soft grain notes. The cream soda sweetness reminds me of younger refreshing bourbons. There’s subtle nuttiness and syrup flavors. I don’t regret what I paid at the bar but I wouldn’t throw down for a bottle."
4.0,null
3.0,"Light, as you’d expect from a Canadian whisky, with pleasant flavors including caramel, cinnamon, chocolate, and vanilla. It’s not bad, but it’s not worth the price."
4.0,null
3.0,"Smooth and light with soft oak, light caramel and a hint of vanilla. Certainly better than the 15 year. It’s good but for the price Gibson’s Venerable has more depth. $80 in Ontario."
3.0,null
4.0,null
4.0,null
3.5,null
3.5,null
4.25,Caramel vanilla rye spice milk chocolate super smooth and delicious to the last drop great representation of aged Canadian rye whiskey drinks well above its price like most wisers
3.0,null
3.75,null
3.5,null
3.0,null
4.0,"3.7/5 - I'm glad I didn't give up on this bottle.   My first impression was thorough disappointment.  I could not believe I was tasting a whisky matured in wood barrels for 18 years because it was just as light and bland to me as any standard canadian blend.  I was expecting deep rich flavors and something that was distinctly different from the other young whiskys on the shelf.

However I have to say I now feel differently...Maybe it's just my mood but there's a particular oaky sweetness that I'm really enjoying tonight.   The vanilla, nutmeg and creamy custardy orange citrus are really working their magic.   Theres also maple, taffy and a hint of coffee on the nose.  There is an alcoholic nip on the nose but it does go away after letting it sit for around 20 min...Then the real sweetness presents itself.

I decided to compare to Wisers deluxe side by side and the difference was quite clear.  So much more refined without any of the young grainy off notes...Notes I typically don't even notice when drinking wisers deluxe on it's own.  

It is extremely light for an 18 year old whisky, with no finish, but that kinda works here...If you come in expecting an 18 year old scotch or a well aged bourbon you'll probably be very disappointed. 

This is just a smooth, mild but well refined and delicious corn whisky aged in presumably spent barrels."
3.0,null
4.0,null
5.0,null
3.0,null
3.0,null
3.0,null
5.0,"The wiser 18 is not just a drink but a feeling of warmth and happy memories. Christmas Pine vanilla and baked custard pastries, toffee hints of orange peel, definitely woody and then a nice smooth long finish"
5.0,null
3.0,null
5.0,"Absolutely perfect, the greatest bottle ever produced.  The black label is different from the green label."
5.0,null
4.0,null
