star,comment
4.0,null
3.0,null
4.0,null
5.0,null
4.0,"A wonderful way to celebrate Canada's 150! I enjoyed this smooth whisky on July 1st and picked up toasted sugars, a bit of vanilla and balanced oak. I generally find Wiser's a bit sweet, but this expression had a longer finish and and fuller mouth feel than a few of their other offerings I have had. At its current price, an excellent, sipping whisky!"
5.0,null
4.0,"Thick and rich!! It’s exceptionally sweet and full. The the toasted top of Creme Brule, this has a tasty burnt vanilla texture, and a delightful spicy linger. I almost pick up some pineapple cake on the nose, but it is all Sugary Caramel goodness on the palette."
4.5,Vanilla
4.0,Delicious rye vanilla and caramel flavours with a little grassy note smooooooth :) great entry into the Canadian market
3.5,null
4.0,null
3.0,null
5.0,null
5.0,null
4.0,null
4.0,null
