star,comment
3.0,null
3.0,null
3.0,null
3.0,null
5.0,null
2.0,null
3.0,null
3.0,"Nose is cherry, fruit, fresh hay. Slight citrus underneath. Orange peel comes with the first taste with nutmeg hints of leather. Even with 4 years in oak it tastes very young. Rye comes in the finish with white pepper and baking spices.
DSP-KY-1 bottled KY-31
Comment***Tasted w/Evan W BIB***drier w/ more citrus than EW Of course both H Hill, same BIB, same color, but slightly different taste and finish
J W Dant not rare but very hard to find-because its so average and doesn't have BIG name"
null,Makes a pretty good mint julep. Nice for a well bourbon.
5.0,null
4.0,Great daily drinker.   Cheap & good
1.0,null
4.0,null
2.0,Very harsh finish.  Starts great.
4.0,Very good. Very smooth.
2.0,Nappy Wellen 40
2.0,null
3.0,null
5.0,"After dutifully finishing out a few 7-10 year bourbons I wasn't crazy about, I got to the J.W. Dant. I was kind of bummed after reading reviews and comments. Then I open the bottle. I put it right in the list with my favorites. I went back to it three times in a row, leaving the Weller unopened on deck. It bothered me. I kept thinking Dant would probably do well in a blind tasting. One Google search later got me to the Bourbonr article where 15 pros blind taste J.W. Dant vs Elijah 12 and Elijah 18. And the winner is..."
3.0,null
4.0,null
3.0,null
4.0,null
3.0,null
3.0,The modern dant is a really great Pour for the money would recommend anyone who lives near Kentucky . However the Pre-fire dant is a thing of gold if judging that I would give it a solid 5 stars and a 97 out of 100 and that's saying something!
4.0,null
2.0,"NOSE: Young / Banana

TASTE: Fairly Tame

FINISH: Medium

*Prefire Heaven Hill bottle"
4.0,null
4.5,Mini from the 50’s.  Spice and caramel on the nose is light.  This is a caramel bomb on the palate.  Has great finesse and balance.  Then it dries out on the finish with leather notes.  Awesome.
3.0,null
3.25,null
4.5,"For the price it’s hard to beat! 

This drink can easily be used as a mixer, but more importantly, can be drank neat as well. 

It does have a bit more of an alcohol taste when drunk neat, but you still get sweet corn notes along with Caramel. The finish is quite long, which is both enjoyable and impressive for a $20 bottle. Overall I think I will put this on my favorite list for both cost and overall performance."
4.25,"This is flat out good bourbon. Reminds me of Evan Williams white label. Surprised by the lack of pub for this one. Solid oak flavors, vanilla on the finish."
4.0,"Picking up leather, tobacco and char on the nose.  Tinned fruits, tobacco, kind of nutty and oaky on the pallete.  Slightly oily mouthfeel but dries out quickly.  Finish is warming and somewhat lengthy but only on the pallete, does not follow down the throat."
3.5,null
3.75,null
3.0,null
null,✅12/11/2018 ABC $17.99
2.75,null
2.5,null
3.5,Very oaky with a bit of banana and citrus. Finish is drying and long
4.0,"Nose:
Sawdust, hint of nutty, lightly floral, creamy/buttery, vanilla wisp & wisp of dried orange peel
Palate:
Vanilla, cinnamon, spice, jalapeño heat
Finish:
Oak & sweet vanilla
New favorite budget bourbon!"
3.75,null
3.5,null
4.0,Very good and very cheap. Amazing combination.
3.75,One of my favorite bottom shelf bourbons
3.5,null
3.75,sweet up front with some corn in the middle.  oak on the finish. can't beat it for the price.
4.5,null
2.0,Unexpected note of heat in the middle. Better neat or with an ice cube. Not great in a Old Fashion. It is a solid bourbon.
2.0,null
3.0,null
3.0,Bananas on the nose. Mild on the palate. Solid for the price.
2.0,Low bite and pretty smooth
4.0,null
4.0,null
4.0,Daaaaaaaaaaaaaaaant
4.0,null
3.25,"Amazing for price. Caramel, cherry, tobacco, vanilla cream, oak and cinnamon"
3.25,null
3.75,"Not hateful, a good everyday. Sharp bite, quick finish"
3.75,null
4.25,null
3.25,Great novelty and not bad for $8. It’s a spicy boi
3.5,null
3.5,"For a cheap burbon, you really cant go wrong with this. Does have a bit of a pronounced burn at the end. On of the best under $15 a bottles you can get"
4.0,null
null,"Nose: Sweet peach, dusty corn, cinnamon candy, salted caramel, and green wood notes push out a little aggressively. Young corn notes are there, but there seems to be enough spice to help push it past.

Palate: Fruit notes pop on a lighter mouthfeel. Cinnamon spice starts to spike while musty barrel notes surface.

Finish: Cinnamon forward with sweet corn and caramel notes pushing towards the back of the palate. 

Great budget bourbon. I drank this alongside Fighting Cock, and the corn notes were definitely apparent. Yes, this is young, but it really holds its own."
