star,comment
4.0,null
4.0,null
4.0,null
4.0,null
5.0,"This is the way Jack is meant to be. The nose is a bit anemic, but still pleasant. The palate is amazing. Rich, dense, sweet, like butterscotch, very spicy, and woody, but not very tannic. And considering it's filtered, it's surprisingly tame, even at full strength (though I definitely recommend a hearty dose of water). My favorite filtered, barrel strength whiskey. Again, this is what JD should be (but it still can't beat an unfiltered, uncut bourbon). Well worth the cost. In fact, I'm tempted to buy two or three more bottles to keep around."
3.0,Bananas/Banana bread on the nose and palate.
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,"Best expression Jack Daniels has ever put out.  This is how it should be enjoyed.  A word of advice, let this breath. I found that my bottle improved dramatically about 2 weeks after I opened it. The oxidation really helped."
5.0,null
4.0,Deep molasses and brown sugar flavor!  Incredibly smooth for a barrel proof whiskey. Please don't mix this one with coke
5.0,null
5.0,"Outstanding! Rich, sweet, spicy, woody, incredibly smooth for barrel proof. Finishing off my first bottle and looking forward for another one. Wonderful neat or with one big ice cube."
3.0,null
5.0,null
4.0,Gentleman JAck is better. Spicy note
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,Soo Good!
5.0,null
4.0,null
5.0,null
2.0,Just not great. Decent heat but flavor isn't even as good as plain old JD
4.0,null
3.0,null
4.0,null
2.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
5.0,null
5.0,null
5.0,"First 5-star product from Jack that I would drink again neat. Barrel is really coming out, but smooth and added heat from the higher proof makes this feel more genuine and less mainstream fad. Something in the water still seems to make people get rowdy, but I guess that's like McDonald's fries, we'll never learn the secret."
4.0,null
4.0,null
4.0,null
4.0,null
5.0,I sampled a 65% ABV. Very big vanilla and caramel notes. Really enjoyed them.
4.0,null
5.0,null
5.0,null
3.0,null
5.0,null
3.0,null
4.0,null
