star,comment
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
2.0,null
4.0,null
3.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,"Wonderful bottle with delicious fruity complexity. If this were a little cheaper I would have this on hand all the time. As it is, I enjoy the opprtunties I get to try this when they arise."
5.0,null
4.0,null
5.0,null
4.0,null
5.0,null
5.0,null
3.0,null
4.0,null
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,This will always hold a special place in my heart! So smooth.
3.0,null
4.0,Smoother than standard Janeson 12 year
4.0,Fantastic drop! Fruity and too easy to drink
3.0,Go to up
3.0,null
5.0,null
4.0,null
5.0,null
3.0,null
4.0,"Smooth, Full, sweet"
4.0,Good for any occasion
3.0,null
5.0,null
5.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
3.0,null
5.0,null
4.0,null
3.0,null
null,Xmas present to myself 2012
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
5.0,null
5.0,null
4.0,null
3.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,Quiet a good drop but I must say I somehow thought the 12 yo was a bit more complex and nicer all round. Would not buy again considering the price difference between the two.
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,"Very smooth, excellent Irish Whiskey"
5.0,null
5.0,null
5.0,null
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,Good but expekted more from it
5.0,null
4.0,null
5.0,null
4.0,null
4.0,null
3.0,null
5.0,null
3.0,null
4.0,null
5.0,null
4.0,null
4.0,null
5.0,null
5.0,null
4.0,null
4.0,null
4.0,null
4.0,null
5.0,null
